element_camara_off_date,element_camara_off_cpu_utilization,element_camara_off_total_power,element_camara_off_cpu_power,element_camara_off_gpu_power
2023-10-24 15:24:48,0.08644,46.89687,5.29688,41.60000
2023-10-24 15:24:49,0.01456,45.92231,4.36230,41.56000
2023-10-24 15:24:50,0.00801,45.77105,4.33105,41.44000
2023-10-24 15:24:51,0.01197,45.79937,4.35938,41.44000
2023-10-24 15:24:52,0.03150,46.27359,4.43359,41.84000
2023-10-24 15:24:53,0.13185,47.15195,5.50195,41.65000
2023-10-24 15:24:54,0.07906,46.04887,4.58887,41.46000
2023-10-24 15:24:55,0.08714,47.23399,4.58398,42.65000
2023-10-24 15:24:56,0.09983,46.19680,4.71680,41.48000
2023-10-24 15:24:57,0.06746,46.04027,4.53027,41.51000
2023-10-24 15:24:58,0.20578,48.50375,5.84375,42.66000
2023-10-24 15:24:59,0.17344,48.62766,5.34766,43.28000
2023-10-24 15:25:00,0.15785,47.46770,5.13770,42.33000
2023-10-24 15:25:01,0.15670,47.96785,4.79785,43.17000
2023-10-24 15:25:02,0.16863,47.41695,4.87695,42.54000
2023-10-24 15:25:03,0.15038,46.99817,4.61816,42.38000
2023-10-24 15:25:04,0.16351,46.26258,4.64258,41.62000
2023-10-24 15:25:05,0.15726,46.79644,4.85645,41.94000
2023-10-24 15:25:06,0.13872,46.91324,4.82324,42.09000
2023-10-24 15:25:07,0.14615,39.55785,4.54785,35.01000
2023-10-24 15:25:08,0.16484,39.15527,4.15527,35.00000
2023-10-24 15:25:09,0.15117,39.52937,4.35938,35.17000
2023-10-24 15:25:11,0.14783,32.51738,3.81738,28.70000
2023-10-24 15:25:12,0.14153,32.93433,3.94434,28.99000
2023-10-24 15:25:13,0.15586,33.09019,3.95020,29.14000
2023-10-24 15:25:14,0.15765,33.44148,4.27148,29.17000
2023-10-24 15:25:15,0.17695,32.79883,3.79883,29.00000
2023-10-24 15:25:16,0.22059,34.18242,4.23242,29.95000
2023-10-24 15:25:17,0.16772,33.03281,3.88281,29.15000
2023-10-24 15:25:18,0.15538,32.65090,3.67090,28.98000
2023-10-24 15:25:19,0.16365,33.53617,4.07617,29.46000
2023-10-24 15:25:20,0.17776,32.98008,3.83008,29.15000
2023-10-24 15:25:21,0.17647,33.46668,3.84668,29.62000
2023-10-24 15:25:22,0.17060,32.59332,3.90332,28.69000
2023-10-24 15:25:23,0.18051,32.18957,3.80957,28.38000
2023-10-24 15:25:24,0.17473,33.08555,3.93555,29.15000
2023-10-24 15:25:25,0.15413,33.62782,4.00781,29.62000
2023-10-24 15:25:26,0.17612,32.71539,4.02539,28.69000
2023-10-24 15:25:27,0.13582,32.35152,3.81152,28.54000
2023-10-24 15:25:28,0.16077,32.60375,3.59375,29.01000
2023-10-24 15:25:29,0.16471,32.67398,3.83398,28.84000
2023-10-24 15:25:30,0.17034,32.69559,3.72559,28.97000
2023-10-24 15:25:31,0.16793,33.21136,3.90137,29.31000
2023-10-24 15:25:32,0.16961,32.76929,3.77930,28.99000
2023-10-24 15:25:33,0.14669,33.37016,3.91016,29.46000
2023-10-24 15:25:34,0.15794,32.27242,3.73242,28.54000
2023-10-24 15:25:35,0.16908,32.19894,3.66895,28.53000
2023-10-24 15:25:36,0.15526,32.51691,3.83691,28.68000
2023-10-24 15:25:37,0.17830,32.41598,3.87598,28.54000
2023-10-24 15:25:38,0.16555,32.17637,3.77637,28.40000
2023-10-24 15:25:40,0.16121,32.87109,3.87109,29.00000
