element_camara_on_date,element_camara_on_cpu_utilization,element_camara_on_total_power,element_camara_on_cpu_power,element_camara_on_gpu_power
2023-10-24 01:06:51,0.04936,46.37078,4.55078,41.82000
2023-10-24 01:06:52,0.01759,46.29297,4.29297,42.00000
2023-10-24 01:06:53,0.00672,46.08437,4.23438,41.85000
2023-10-24 01:06:54,0.00587,46.05875,4.21875,41.84000
2023-10-24 01:06:55,0.03431,46.57500,4.37500,42.20000
2023-10-24 01:06:56,0.13378,47.45438,5.48438,41.97000
2023-10-24 01:06:57,0.08891,46.55531,4.44531,42.11000
2023-10-24 01:06:58,0.19428,49.30781,5.75781,43.55000
2023-10-24 01:06:59,0.17687,47.14265,4.97266,42.17000
2023-10-24 01:07:00,0.15572,47.20422,4.57422,42.63000
2023-10-24 01:07:01,0.18875,49.20453,4.89453,44.31000
2023-10-24 01:07:02,0.16457,47.30297,5.29297,42.01000
2023-10-24 01:07:03,0.17800,48.89953,5.01953,43.88000
2023-10-24 01:07:04,0.17722,48.20266,4.97266,43.23000
2023-10-24 01:07:05,0.17192,48.16359,4.93359,43.23000
2023-10-24 01:07:06,0.19239,47.27391,4.50391,42.77000
2023-10-24 01:07:07,0.16206,47.14297,4.54297,42.60000
2023-10-24 01:07:08,0.18090,47.13562,4.51563,42.62000
2023-10-24 01:07:09,0.17073,48.59141,4.69141,43.90000
2023-10-24 01:07:10,0.16878,47.85500,4.62500,43.23000
2023-10-24 01:07:11,0.17881,47.28406,4.66406,42.62000
2023-10-24 01:07:13,0.17678,40.32640,4.31641,36.01000
2023-10-24 01:07:14,0.15267,40.24109,4.12109,36.12000
2023-10-24 01:07:15,0.15123,39.81328,4.11328,35.70000
2023-10-24 01:07:16,0.14176,32.14250,3.56250,28.58000
2023-10-24 01:07:17,0.16593,32.78437,3.73438,29.05000
2023-10-24 01:07:18,0.17684,21.96828,3.23828,18.73000
2023-10-24 01:07:19,0.21026,32.17109,3.12109,29.05000
2023-10-24 01:07:20,0.18421,33.39109,3.87109,29.52000
2023-10-24 01:07:21,0.16923,33.85500,3.87500,29.98000
2023-10-24 01:07:22,0.15625,32.66719,3.61719,29.05000
2023-10-24 01:07:23,0.14503,32.53219,3.49219,29.04000
2023-10-24 01:07:24,0.15077,32.55609,3.49609,29.06000
2023-10-24 01:07:25,0.15857,32.26125,3.53125,28.73000
2023-10-24 01:07:26,0.14723,32.40953,3.51953,28.89000
2023-10-24 01:07:27,0.16145,33.21031,3.57031,29.64000
2023-10-24 01:07:28,0.16340,32.60859,3.55859,29.05000
2023-10-24 01:07:29,0.16456,32.90125,3.53125,29.37000
2023-10-24 01:07:30,0.14310,32.23609,3.49609,28.74000
2023-10-24 01:07:31,0.15078,32.98438,3.48438,29.50000
2023-10-24 01:07:32,0.17726,33.11234,3.90234,29.21000
2023-10-24 01:07:33,0.13656,32.22828,3.48828,28.74000
2023-10-24 01:07:34,0.17254,32.39781,3.50781,28.89000
2023-10-24 01:07:35,0.16321,32.25172,3.51172,28.74000
2023-10-24 01:07:37,0.15699,32.40172,3.51172,28.89000
2023-10-24 01:07:38,0.15628,32.47266,3.72266,28.75000
2023-10-24 01:07:39,0.17160,32.11188,3.67188,28.44000
2023-10-24 01:07:40,0.16419,32.06438,3.48438,28.58000
2023-10-24 01:07:41,0.14023,32.56781,3.50781,29.06000
2023-10-24 01:07:42,0.14592,32.35484,3.46484,28.89000
2023-10-24 01:07:43,0.16667,32.24781,3.50781,28.74000
2023-10-24 01:07:44,0.13778,32.06047,3.48047,28.58000
2023-10-24 01:07:45,0.15939,32.24781,3.50781,28.74000
2023-10-24 01:07:46,0.14932,32.19875,3.46875,28.73000
2023-10-24 01:07:47,0.15818,32.55609,3.49609,29.06000
2023-10-24 01:07:48,0.15088,32.20047,3.48047,28.72000
2023-10-24 01:07:49,0.13876,32.93468,3.55469,29.38000
2023-10-24 01:07:50,0.15575,32.27125,3.53125,28.74000
2023-10-24 01:07:51,0.16417,32.56172,3.51172,29.05000
2023-10-24 01:07:52,0.15880,32.50547,3.60547,28.90000
2023-10-24 01:07:53,0.14843,32.54437,3.48438,29.06000
2023-10-24 01:07:54,0.13071,32.44953,4.01953,28.43000
2023-10-24 01:07:55,0.13429,32.51875,3.46875,29.05000
2023-10-24 01:07:56,0.16214,32.27125,3.53125,28.74000
2023-10-24 01:07:57,0.15501,32.21656,3.47656,28.74000
2023-10-24 01:07:58,0.14649,31.91656,3.47656,28.44000
2023-10-24 01:07:59,0.14005,32.53437,3.48438,29.05000
2023-10-24 01:08:00,0.15059,32.40562,3.51563,28.89000
2023-10-24 01:08:01,0.14837,32.06828,3.48828,28.58000
2023-10-24 01:08:03,0.14671,32.06656,3.47656,28.59000
2023-10-24 01:08:04,0.14382,32.70438,3.48438,29.22000
2023-10-24 01:08:05,0.15320,21.55313,2.95313,18.60000
2023-10-24 01:08:06,0.16541,19.20016,2.66016,16.54000
2023-10-24 01:08:07,0.16321,18.63797,2.66797,15.97000
2023-10-24 01:08:08,0.17557,18.35078,2.55078,15.80000
2023-10-24 01:08:09,0.16752,18.03516,2.53516,15.50000
2023-10-24 01:08:10,0.16681,17.22125,2.53125,14.69000
2023-10-24 01:08:11,0.15896,17.57641,2.56641,15.01000
2023-10-24 01:08:12,0.16184,18.66297,2.54297,16.12000
2023-10-24 01:08:13,0.15102,18.64344,2.52344,16.12000
2023-10-24 01:08:14,0.17525,16.29078,2.55078,13.74000
2023-10-24 01:08:15,0.17738,46.74719,4.11719,42.63000
2023-10-24 01:08:16,0.15301,46.79047,4.48047,42.31000
