element_image_date,element_image_cpu_utilization,element_image_total_power,element_image_cpu_power,element_image_gpu_power
2023-10-23 23:40:27,0.15064,47.65586,5.75586,41.90000
2023-10-23 23:40:28,0.22952,48.72734,6.52734,42.20000
2023-10-23 23:40:29,0.04443,46.31852,4.47852,41.84000
2023-10-23 23:40:30,0.01004,45.97867,4.13867,41.84000
2023-10-23 23:40:31,0.02008,46.26390,4.25391,42.01000
2023-10-23 23:40:32,0.01267,45.98476,4.13477,41.85000
2023-10-23 23:40:33,0.02539,47.38125,4.28125,43.10000
2023-10-23 23:40:34,0.04209,46.51578,4.67578,41.84000
2023-10-23 23:40:35,0.00755,46.64844,4.14844,42.50000
2023-10-23 23:40:36,0.06471,45.99883,4.29883,41.70000
2023-10-23 23:40:37,0.03286,46.05289,4.21289,41.84000
2023-10-23 23:40:38,0.05467,45.94805,4.24805,41.70000
2023-10-23 23:40:39,0.01437,46.20898,4.20898,42.00000
2023-10-23 23:40:40,0.00754,45.96844,4.14844,41.82000
2023-10-23 23:40:41,0.00835,45.81719,4.11719,41.70000
2023-10-23 23:40:42,0.10579,47.30281,5.38281,41.92000
2023-10-23 23:40:43,0.01175,46.12539,4.27539,41.85000
2023-10-23 23:40:44,0.09748,47.05734,5.27734,41.78000
2023-10-23 23:40:45,0.09480,48.08344,4.77344,43.31000
2023-10-23 23:40:46,0.10135,62.06508,6.20508,55.86000
2023-10-23 23:40:47,0.13445,65.74969,6.42969,59.32000
2023-10-23 23:40:48,0.05566,61.39063,5.39063,56.00000
2023-10-23 23:40:49,0.01276,61.38313,5.20313,56.18000
2023-10-23 23:40:50,0.02439,43.71539,4.52539,39.19000
2023-10-23 23:40:51,0.01256,43.11117,3.95117,39.16000
2023-10-23 23:40:52,0.02603,40.37492,4.04492,36.33000
2023-10-23 23:40:53,0.01603,38.87211,3.66211,35.21000
2023-10-23 23:41:02,0.09306,47.54414,4.99414,42.55000
2023-10-23 23:41:03,0.07445,41.54953,4.51953,37.03000
2023-10-23 23:41:04,0.18026,43.52547,5.60547,37.92000
2023-10-23 23:41:05,0.11251,40.34297,4.79297,35.55000
2023-10-23 23:41:06,0.02101,38.65242,3.73242,34.92000
2023-10-23 23:41:07,0.01005,38.72406,3.66406,35.06000
2023-10-23 23:41:08,0.01557,32.48977,3.50977,28.98000
2023-10-23 23:41:09,0.05754,31.89500,3.62500,28.27000
2023-10-23 23:41:10,0.00729,31.42211,3.16211,28.26000
2023-10-23 23:41:11,0.06816,19.61172,2.76172,16.85000
2023-10-23 23:41:12,0.03364,20.72492,2.29492,18.43000
2023-10-23 23:41:13,0.06454,15.52820,2.40820,13.12000
2023-10-23 23:41:14,0.01651,15.72844,2.14844,13.58000
2023-10-23 23:41:15,0.01127,14.99883,2.04883,12.95000
2023-10-23 23:41:16,0.01180,16.20453,2.14453,14.06000
2023-10-23 23:41:17,0.11542,16.24602,3.16602,13.08000
2023-10-23 23:41:18,0.02107,15.77727,2.19727,13.58000
2023-10-23 23:41:19,0.09500,45.91383,4.42383,41.49000
2023-10-23 23:41:20,0.06296,48.34117,4.70117,43.64000
2023-10-23 23:41:21,0.09139,61.61398,6.08398,55.53000
2023-10-23 23:41:22,0.12281,63.89719,5.86719,58.03000
2023-10-23 23:41:23,0.11542,61.92250,6.06250,55.86000
2023-10-23 23:41:24,0.02757,61.11586,5.25586,55.86000
2023-10-23 23:41:25,0.01174,61.22703,5.20703,56.02000
2023-10-23 23:41:26,0.02250,61.38461,5.22461,56.16000
2023-10-23 23:41:28,0.03440,61.45203,5.33203,56.12000
2023-10-23 23:41:29,0.00837,61.33969,5.17969,56.16000
2023-10-23 23:41:37,0.14174,66.76773,6.67773,60.09000
2023-10-23 23:41:38,0.11080,62.40586,5.75586,56.65000
2023-10-23 23:41:39,0.09734,65.13836,6.06836,59.07000
2023-10-23 23:41:40,0.12457,64.32594,6.58594,57.74000
2023-10-23 23:41:41,0.22816,66.12992,7.66992,58.46000
2023-10-23 23:41:42,0.04818,62.24867,5.63867,56.61000
2023-10-23 23:41:43,0.01930,64.40836,5.31836,59.09000
2023-10-23 23:41:44,0.04866,62.53563,5.76563,56.77000
2023-10-23 23:41:45,0.01423,64.18898,5.20898,58.98000
2023-10-23 23:41:46,0.05542,62.08508,5.45508,56.63000
2023-10-23 23:41:47,0.02879,62.03477,5.38477,56.65000
2023-10-23 23:41:48,0.05285,61.94984,5.33984,56.61000
2023-10-23 23:41:50,0.01086,62.17805,5.24805,56.93000
2023-10-23 23:41:51,0.01009,62.22688,5.29688,56.93000
2023-10-23 23:41:52,0.00503,61.85461,5.22461,56.63000
2023-10-23 23:41:53,0.11809,63.20086,6.38086,56.82000
