element_pdf_date,element_pdf_cpu_utilization,element_pdf_total_power,element_pdf_cpu_power,element_pdf_gpu_power
2023-10-23 23:12:24,0.23539,49.62317,6.74316,42.88000
2023-10-23 23:12:25,0.03960,46.49484,4.46484,42.03000
2023-10-23 23:12:26,0.01089,46.18019,4.20020,41.98000
2023-10-23 23:12:27,0.01250,46.15871,4.17871,41.98000
2023-10-23 23:12:28,0.02181,46.43832,4.27832,42.16000
2023-10-23 23:12:29,0.01207,46.36996,4.20996,42.16000
2023-10-23 23:12:30,0.01857,47.45414,4.24414,43.21000
2023-10-23 23:12:32,0.04501,46.69727,4.69727,42.00000
2023-10-23 23:12:33,0.00587,46.51601,4.16602,42.35000
2023-10-23 23:12:34,0.06734,46.30590,4.29590,42.01000
2023-10-23 23:12:35,0.03853,46.34703,4.20703,42.14000
2023-10-23 23:12:36,0.05307,39.27875,4.21875,35.06000
2023-10-23 23:12:37,0.01506,38.94535,3.73535,35.21000
2023-10-23 23:12:38,0.00755,38.53941,3.64941,34.89000
2023-10-23 23:12:39,0.00753,31.80988,3.37988,28.43000
2023-10-23 23:12:40,0.05593,31.87020,3.45020,28.42000
2023-10-23 23:12:41,0.00754,31.53816,3.11816,28.42000
2023-10-23 23:12:42,0.16014,62.63820,5.90820,56.73000
2023-10-23 23:12:43,0.05753,59.15113,5.66113,53.49000
2023-10-23 23:12:44,0.06525,59.41902,5.74902,53.67000
2023-10-23 23:12:45,0.01261,58.80930,5.02930,53.78000
2023-10-23 23:12:46,0.01006,58.83273,5.05273,53.78000
2023-10-23 23:12:47,0.01501,58.85492,5.04492,53.81000
2023-10-23 23:12:48,0.01092,59.09281,5.13281,53.96000
2023-10-23 23:12:49,0.01006,58.99566,5.05566,53.94000
2023-10-23 23:12:50,0.02015,59.25481,5.17480,54.08000
2023-10-23 23:12:51,0.00839,59.16301,5.08301,54.08000
2023-10-23 23:13:00,0.11362,62.24899,5.95898,56.29000
2023-10-23 23:13:01,0.19876,62.03746,7.14746,54.89000
2023-10-23 23:13:02,0.07510,59.99859,5.55859,54.44000
2023-10-23 23:13:03,0.11648,60.11840,5.85840,54.26000
2023-10-23 23:13:04,0.01849,59.65094,5.21094,54.44000
2023-10-23 23:13:05,0.00927,59.50105,5.08105,54.42000
2023-10-23 23:13:06,0.03048,62.67348,5.31348,57.36000
2023-10-23 23:13:07,0.03635,59.95469,5.55469,54.40000
2023-10-23 23:13:08,0.02775,59.94785,5.29785,54.65000
2023-10-23 23:13:09,0.06277,59.46461,5.22461,54.24000
2023-10-23 23:13:10,0.03936,59.60215,5.20215,54.40000
2023-10-23 23:13:11,0.05659,60.38094,5.21094,55.17000
2023-10-23 23:13:12,0.01007,59.45578,5.17578,54.28000
2023-10-23 23:13:13,0.00672,59.54449,5.10449,54.44000
2023-10-23 23:13:14,0.00753,59.33519,5.07520,54.26000
2023-10-23 23:13:15,0.06145,59.75152,5.31152,54.44000
2023-10-23 23:13:16,0.00588,59.34496,5.08496,54.26000
2023-10-23 23:13:17,0.16232,65.16644,7.35645,57.81000
2023-10-23 23:13:18,0.03817,60.06731,5.48730,54.58000
2023-10-23 23:13:19,0.02439,59.35231,5.11230,54.24000
2023-10-23 23:13:20,0.06365,63.31977,5.75977,57.56000
2023-10-23 23:13:21,0.01732,59.55918,5.15918,54.40000
2023-10-23 23:13:22,0.01638,59.52891,5.12891,54.40000
2023-10-23 23:13:23,0.01005,59.57676,5.17676,54.40000
2023-10-23 23:13:24,0.02224,59.55723,5.15723,54.40000
2023-10-23 23:13:25,0.02186,59.95512,5.24512,54.71000
2023-10-23 23:13:26,0.00929,59.70988,5.12988,54.58000
2023-10-23 23:13:35,0.19679,47.41168,6.22168,41.19000
2023-10-23 23:13:36,0.05281,43.31250,4.31250,39.00000
2023-10-23 23:13:37,0.01508,42.79605,3.95605,38.84000
2023-10-23 23:13:38,0.01091,39.41551,3.89551,35.52000
2023-10-23 23:13:39,0.02612,39.13855,3.76855,35.37000
2023-10-23 23:13:40,0.01256,39.03992,3.66992,35.37000
2023-10-23 23:13:41,0.01759,32.76059,3.35059,29.41000
2023-10-23 23:13:42,0.04519,32.28313,3.70313,28.58000
2023-10-23 23:13:43,0.01172,19.10664,3.05664,16.05000
2023-10-23 23:13:44,0.09332,21.21453,2.64453,18.57000
2023-10-23 23:13:45,0.03353,20.93887,2.33887,18.60000
2023-10-23 23:13:46,0.07233,16.07902,2.49902,13.58000
2023-10-23 23:13:47,0.01342,14.74988,2.12988,12.62000
2023-10-23 23:13:48,0.00672,15.05426,2.11426,12.94000
2023-10-23 23:13:49,0.00420,16.69113,2.16113,14.53000
2023-10-23 23:13:50,0.06212,16.09352,2.35352,13.74000
2023-10-23 23:13:51,0.00927,15.66496,2.08496,13.58000
2023-10-23 23:13:52,0.15314,66.22418,5.53418,60.69000
2023-10-23 23:13:53,0.02103,62.05848,5.43848,56.62000
