rocket_camara_off_date,rocket_camara_off_cpu_utilization,rocket_camara_off_total_power,rocket_camara_off_cpu_power,rocket_camara_off_gpu_power
2023-10-26 16:31:29,0.10836,45.91125,4.28125,41.63000
2023-10-26 16:31:30,0.10546,46.23953,4.26953,41.97000
2023-10-26 16:31:31,0.09647,45.87266,4.22266,41.65000
2023-10-26 16:31:32,0.08895,45.88438,4.23438,41.65000
2023-10-26 16:31:33,0.07480,46.02094,4.21094,41.81000
2023-10-26 16:31:34,0.07541,46.00922,4.19922,41.81000
2023-10-26 16:31:35,0.07376,45.83313,4.20313,41.63000
2023-10-26 16:31:36,0.12898,46.11078,4.30078,41.81000
2023-10-26 16:31:37,0.07901,46.90531,4.19531,42.71000
2023-10-26 16:31:38,0.14249,46.15391,4.50391,41.65000
2023-10-26 16:31:39,0.10995,45.93516,4.28516,41.65000
2023-10-26 16:31:40,0.06894,45.98922,4.19922,41.79000
2023-10-26 16:31:41,0.07549,45.82625,4.15625,41.67000
2023-10-26 16:31:42,0.07031,46.00922,4.19922,41.81000
2023-10-26 16:31:43,0.08818,45.87266,4.22266,41.65000
2023-10-26 16:31:44,0.07666,46.00531,4.19531,41.81000
2023-10-26 16:31:45,0.08036,46.01313,4.20313,41.81000
2023-10-26 16:31:47,0.07562,45.86875,4.21875,41.65000
2023-10-26 16:31:48,0.07908,45.97797,4.16797,41.81000
2023-10-26 16:31:49,0.08195,46.01141,4.19141,41.82000
2023-10-26 16:31:50,0.07236,45.83750,4.18750,41.65000
2023-10-26 16:31:51,0.07686,46.04438,4.23438,41.81000
2023-10-26 16:31:52,0.07294,45.82969,4.17969,41.65000
2023-10-26 16:31:53,0.07131,45.98188,4.17188,41.81000
2023-10-26 16:31:54,0.07161,45.80235,4.15234,41.65000
2023-10-26 16:31:55,0.07799,45.88094,4.21094,41.67000
2023-10-26 16:31:56,0.07502,45.97016,4.16016,41.81000
2023-10-26 16:31:57,0.07216,45.82625,4.15625,41.67000
2023-10-26 16:31:58,0.07414,39.09031,4.07031,35.02000
2023-10-26 16:31:59,0.07957,38.74313,3.70313,35.04000
2023-10-26 16:32:00,0.07890,38.84469,3.80469,35.04000
2023-10-26 16:32:01,0.08756,31.61016,3.41016,28.20000
2023-10-26 16:32:02,0.08158,31.52734,3.27734,28.25000
2023-10-26 16:32:03,0.08120,18.78859,3.05859,15.73000
2023-10-26 16:32:04,0.07398,19.35922,2.19922,17.16000
2023-10-26 16:32:05,0.08066,17.49047,2.23047,15.26000
2023-10-26 16:32:06,0.08176,17.50141,2.19141,15.31000
2023-10-26 16:32:07,0.11781,43.06141,3.94141,39.12000
2023-10-26 16:32:08,0.14129,42.65234,4.15234,38.50000
2023-10-26 16:32:09,0.10017,42.35563,4.01563,38.34000
2023-10-26 16:32:11,0.06667,42.44750,3.93750,38.51000
2023-10-26 16:32:12,0.13856,43.24328,4.11328,39.13000
2023-10-26 16:32:13,0.14505,42.78625,4.15625,38.63000
2023-10-26 16:32:14,0.12563,42.84203,4.33203,38.51000
2023-10-26 16:32:15,0.07732,42.46484,3.96484,38.50000
2023-10-26 16:32:16,0.08259,42.45703,3.95703,38.50000
2023-10-26 16:32:17,0.08284,42.50391,4.00391,38.50000
2023-10-26 16:32:18,0.07319,42.47875,3.96875,38.51000
2023-10-26 16:32:19,0.07838,42.62266,3.97266,38.65000
2023-10-26 16:32:20,0.06897,42.45140,3.94141,38.51000
2023-10-26 16:32:21,0.07949,42.44141,3.94141,38.50000
2023-10-26 16:32:22,0.07384,42.77094,3.96094,38.81000
2023-10-26 16:32:23,0.07868,42.61094,3.96094,38.65000
2023-10-26 16:32:24,0.06826,42.59531,3.94531,38.65000
2023-10-26 16:32:25,0.08341,42.46703,3.95703,38.51000
2023-10-26 16:32:26,0.07720,42.45313,3.95313,38.50000
2023-10-26 16:32:27,0.07498,42.47094,3.96094,38.51000
2023-10-26 16:32:28,0.10690,43.20594,4.08594,39.12000
2023-10-26 16:32:29,0.08707,42.68562,4.01563,38.67000
