rocket_camara_on_date,rocket_camara_on_cpu_utilization,rocket_camara_on_total_power,rocket_camara_on_cpu_power,rocket_camara_on_gpu_power
2023-10-26 14:19:15,0.16025,46.06533,3.71533,42.35000
2023-10-26 14:19:16,0.21394,47.61250,4.81250,42.80000
2023-10-26 14:19:17,0.20275,47.75424,4.84424,42.91000
2023-10-26 14:19:18,0.17607,48.31195,5.00195,43.31000
2023-10-26 14:19:19,0.16199,46.57018,4.68018,41.89000
2023-10-26 14:19:20,0.16485,46.59541,4.54541,42.05000
2023-10-26 14:19:21,0.17210,46.68695,4.62695,42.06000
2023-10-26 14:19:22,0.19485,47.47090,4.67090,42.80000
2023-10-26 14:19:23,0.25380,46.92293,5.00293,41.92000
2023-10-26 14:19:24,0.28653,47.21436,4.71436,42.50000
2023-10-26 14:19:25,0.20039,47.76176,4.80176,42.96000
2023-10-26 14:19:26,0.19676,47.21574,4.88574,42.33000
2023-10-26 14:19:27,0.18619,47.86518,4.80518,43.06000
2023-10-26 14:19:28,0.20911,47.44637,5.02637,42.42000
2023-10-26 14:19:29,0.15880,47.23533,4.71533,42.52000
2023-10-26 14:19:30,0.19077,47.67457,4.93457,42.74000
2023-10-26 14:19:31,0.21739,47.71404,4.89404,42.82000
2023-10-26 14:19:32,0.17809,47.18461,4.72461,42.46000
2023-10-26 14:19:33,0.18143,48.07695,5.12695,42.95000
2023-10-26 14:19:34,0.18419,48.56217,4.97217,43.59000
2023-10-26 14:19:35,0.19586,48.40359,4.93359,43.47000
2023-10-26 14:19:36,0.20570,47.85660,5.01660,42.84000
2023-10-26 14:19:37,0.19068,47.86248,5.04248,42.82000
2023-10-26 14:19:38,0.16385,47.78615,4.80615,42.98000
2023-10-26 14:19:39,0.23214,48.29096,4.98096,43.31000
2023-10-26 14:19:40,0.15776,48.10291,4.98291,43.12000
2023-10-26 14:19:42,0.16940,46.63535,4.73535,41.90000
2023-10-26 14:19:43,0.14655,46.88664,4.55664,42.33000
2023-10-26 14:19:44,0.17746,48.07262,4.93262,43.14000
2023-10-26 14:19:45,0.19381,47.80666,4.82666,42.98000
2023-10-26 14:19:46,0.17726,47.11879,4.75879,42.36000
2023-10-26 14:19:47,0.16344,46.63707,4.74707,41.89000
2023-10-26 14:19:48,0.14945,46.79229,4.59229,42.20000
2023-10-26 14:19:49,0.16482,47.22164,4.68164,42.54000
2023-10-26 14:19:50,0.19052,47.93102,4.79102,43.14000
2023-10-26 14:19:51,0.16596,48.01713,5.05713,42.96000
2023-10-26 14:19:52,0.19155,47.95350,4.83350,43.12000
2023-10-26 14:19:53,0.21807,47.89603,5.18604,42.71000
2023-10-26 14:19:54,0.18881,46.94160,4.89160,42.05000
2023-10-26 14:19:55,0.15149,47.63564,4.78564,42.85000
2023-10-26 14:19:56,0.22554,47.58174,4.78174,42.80000
2023-10-26 14:19:57,0.20626,40.82438,4.73438,36.09000
2023-10-26 14:19:58,0.20646,39.43250,4.31250,35.12000
2023-10-26 14:19:59,0.18279,40.14146,4.25146,35.89000
2023-10-26 14:20:00,0.21989,33.51147,4.25146,29.26000
2023-10-26 14:20:01,0.22035,32.88943,3.91943,28.97000
2023-10-26 14:20:02,0.19211,32.87162,3.91162,28.96000
2023-10-26 14:20:03,0.20304,32.56303,3.60303,28.96000
2023-10-26 14:20:04,0.20593,32.64412,3.72412,28.92000
2023-10-26 14:20:05,0.19893,32.52195,3.75195,28.77000
2023-10-26 14:20:06,0.21761,33.71764,4.82764,28.89000
2023-10-26 14:20:07,0.17919,34.20789,5.33789,28.87000
2023-10-26 14:20:08,0.16145,33.45529,4.67529,28.78000
2023-10-26 14:20:09,0.18403,32.16176,3.80176,28.36000
2023-10-26 14:20:10,0.16695,32.04406,3.66406,28.38000
2023-10-26 14:20:11,0.14212,31.93691,3.58691,28.35000
2023-10-26 14:20:12,0.19099,32.94748,3.66748,29.28000
2023-10-26 14:20:13,0.18622,32.83695,3.87695,28.96000
2023-10-26 14:20:14,0.23063,32.23500,3.87500,28.36000
2023-10-26 14:20:16,0.18374,32.23315,3.72314,28.51000
2023-10-26 14:20:17,0.18723,32.51189,3.69189,28.82000
2023-10-26 14:20:18,0.14516,31.78496,3.58496,28.20000
2023-10-26 14:20:19,0.17419,32.31723,3.65723,28.66000
2023-10-26 14:20:20,0.17622,32.55476,3.88477,28.67000
2023-10-26 14:20:21,0.19043,32.55779,3.73779,28.82000
2023-10-26 14:20:22,0.18039,32.73121,3.74121,28.99000
2023-10-26 14:20:23,0.18865,32.22850,3.70850,28.52000
2023-10-26 14:20:24,0.18190,32.65277,3.84277,28.81000
2023-10-26 14:20:25,0.20154,32.19301,3.83301,28.36000
2023-10-26 14:20:26,0.15584,32.40301,3.58301,28.82000
2023-10-26 14:20:27,0.16667,32.69508,3.70508,28.99000
2023-10-26 14:20:28,0.16492,32.46064,3.66064,28.80000
2023-10-26 14:20:29,0.19810,31.88480,3.67480,28.21000
2023-10-26 14:20:30,0.17131,32.20932,3.54932,28.66000
2023-10-26 14:20:31,0.15313,32.57584,3.73584,28.84000
2023-10-26 14:20:32,0.17662,32.43660,3.76660,28.67000
2023-10-26 14:20:33,0.16765,32.16016,3.66016,28.50000
2023-10-26 14:20:34,0.17821,32.55584,3.73584,28.82000
2023-10-26 14:20:35,0.17757,32.84705,3.72705,29.12000
2023-10-26 14:20:36,0.16330,31.90963,3.61963,28.29000
2023-10-26 14:20:37,0.18235,32.03166,3.70166,28.33000
2023-10-26 14:20:38,0.17062,31.91744,3.62744,28.29000
2023-10-26 14:20:39,0.18013,32.33102,3.54102,28.79000
2023-10-26 14:20:40,0.19245,31.84307,3.64307,28.20000
2023-10-26 14:20:41,0.14550,31.67695,3.62695,28.05000
2023-10-26 14:20:42,0.12639,31.86195,3.50195,28.36000
2023-10-26 14:20:43,0.14140,32.07545,3.58545,28.49000
2023-10-26 14:20:44,0.13367,31.79080,3.57080,28.22000
2023-10-26 14:20:45,0.16216,32.21348,3.56348,28.65000
2023-10-26 14:20:47,0.14912,31.78396,3.56396,28.22000
2023-10-26 14:20:48,0.14613,32.47074,3.51074,28.96000
2023-10-26 14:20:49,0.17267,18.92068,3.20068,15.72000
2023-10-26 14:20:50,0.11915,20.31908,2.55908,17.76000
2023-10-26 14:20:51,0.15285,21.89727,2.69727,19.20000
2023-10-26 14:20:52,0.16034,15.88641,2.81641,13.07000
2023-10-26 14:20:53,0.17632,46.48486,3.98486,42.50000
2023-10-26 14:20:54,0.18052,46.80254,4.60254,42.20000
2023-10-26 14:20:55,0.14940,45.97320,4.53320,41.44000
2023-10-26 14:20:56,0.16486,46.25922,4.69922,41.56000
2023-10-26 14:20:57,0.18778,46.81695,4.62695,42.19000
2023-10-26 14:20:58,0.18468,46.29877,4.73877,41.56000
2023-10-26 14:20:59,0.21597,46.26969,4.67969,41.59000
2023-10-26 14:21:00,0.19516,47.30893,4.64893,42.66000
2023-10-26 14:21:01,0.20324,47.07973,4.71973,42.36000
2023-10-26 14:21:02,0.17718,46.19061,4.62061,41.57000
2023-10-26 14:21:03,0.20723,46.42930,4.52930,41.90000
2023-10-26 14:21:04,0.16916,46.16033,4.59033,41.57000
2023-10-26 14:21:05,0.15656,46.78984,4.58984,42.20000
2023-10-26 14:21:06,0.17043,46.22219,4.49219,41.73000
2023-10-26 14:21:07,0.15231,47.19102,4.54102,42.65000
2023-10-26 14:21:08,0.17406,47.02371,4.55371,42.47000
2023-10-26 14:21:09,0.18464,46.60721,4.63721,41.97000
2023-10-26 14:21:10,0.17586,46.43156,4.60156,41.83000
2023-10-26 14:21:11,0.18248,46.26906,4.53906,41.73000
2023-10-26 14:21:12,0.16123,46.19728,4.46729,41.73000
2023-10-26 14:21:13,0.16848,46.33180,4.59180,41.74000
2023-10-26 14:21:14,0.15186,46.25588,4.52588,41.73000
2023-10-26 14:21:15,0.18287,46.25902,4.49902,41.76000
2023-10-26 14:21:16,0.18817,47.26867,4.63867,42.63000
2023-10-26 14:21:17,0.17368,46.29348,4.56348,41.73000
2023-10-26 14:21:18,0.17851,46.37623,4.63623,41.74000
2023-10-26 14:21:20,0.16739,46.19814,4.59814,41.60000
2023-10-26 14:21:21,0.17518,47.11279,4.61279,42.50000
2023-10-26 14:21:22,0.14795,46.56846,4.66846,41.90000
2023-10-26 14:21:23,0.14890,47.21713,4.55713,42.66000
2023-10-26 14:21:24,0.16135,46.41527,4.65527,41.76000
2023-10-26 14:21:25,0.15141,46.68902,4.49902,42.19000
2023-10-26 14:21:26,0.17893,46.80498,4.60498,42.20000
2023-10-26 14:21:27,0.16636,46.27834,4.54834,41.73000
2023-10-26 14:21:28,0.17260,47.32893,4.64893,42.68000
2023-10-26 14:21:29,0.20649,46.82856,4.76855,42.06000
2023-10-26 14:21:30,0.17439,47.20604,4.68604,42.52000
2023-10-26 14:21:31,0.18388,47.57879,4.75879,42.82000
2023-10-26 14:21:32,0.20018,47.74244,4.75244,42.99000
2023-10-26 14:21:33,0.20807,47.92223,4.78223,43.14000
2023-10-26 14:21:34,0.16939,47.19447,4.83447,42.36000
2023-10-26 14:21:35,0.19477,40.20293,4.75293,35.45000
2023-10-26 14:21:36,0.15118,39.73396,4.31396,35.42000
2023-10-26 14:21:37,0.18214,39.13967,4.15967,34.98000
2023-10-26 14:21:38,0.16579,32.81689,3.81689,29.00000
2023-10-26 14:21:39,0.19112,32.15770,3.63770,28.52000
2023-10-26 14:21:40,0.20178,29.71584,3.73584,25.98000
2023-10-26 14:21:41,0.17443,21.27029,3.05029,18.22000
2023-10-26 14:21:42,0.15182,21.59721,2.88721,18.71000
2023-10-26 14:21:43,0.17743,17.87057,3.08057,14.79000
2023-10-26 14:21:44,0.17316,17.79809,2.53809,15.26000
2023-10-26 14:21:45,0.14973,15.77371,2.55371,13.22000
2023-10-26 14:21:46,0.18016,45.12158,3.12158,42.00000
2023-10-26 14:21:47,0.18064,46.45219,4.74219,41.71000
2023-10-26 14:21:48,0.17682,46.06387,4.46387,41.60000
2023-10-26 14:21:49,0.17135,46.02973,4.46973,41.56000
2023-10-26 14:21:50,0.14273,46.02604,4.43604,41.59000
2023-10-26 14:21:52,0.15234,46.67537,4.50537,42.17000
2023-10-26 14:21:53,0.16401,46.21705,4.47705,41.74000
2023-10-26 14:21:54,0.15842,46.38221,4.51221,41.87000
2023-10-26 14:21:55,0.13937,46.20729,4.46729,41.74000
2023-10-26 14:21:56,0.14564,46.64043,4.44043,42.20000
2023-10-26 14:21:57,0.15780,46.06316,4.49316,41.57000
2023-10-26 14:21:58,0.16578,46.25832,4.52832,41.73000
2023-10-26 14:21:59,0.15060,46.10732,4.50732,41.60000
2023-10-26 14:22:00,0.15947,46.54560,4.49561,42.05000
2023-10-26 14:22:01,0.14286,46.12613,4.53613,41.59000
2023-10-26 14:22:02,0.15540,46.19313,4.45313,41.74000
2023-10-26 14:22:03,0.16502,46.57246,4.52246,42.05000
2023-10-26 14:22:04,0.16370,46.23168,4.47168,41.76000
2023-10-26 14:22:05,0.15231,46.42930,4.52930,41.90000
2023-10-26 14:22:06,0.14605,46.21340,4.48340,41.73000
2023-10-26 14:22:07,0.16530,46.25902,4.49902,41.76000
2023-10-26 14:22:08,0.14544,46.10781,4.50781,41.60000
2023-10-26 14:22:09,0.17344,47.28059,4.60059,42.68000
2023-10-26 14:22:10,0.17949,47.17332,4.65332,42.52000
2023-10-26 14:22:11,0.16197,47.30816,4.61816,42.69000
2023-10-26 14:22:12,0.21767,47.62711,4.78711,42.84000
2023-10-26 14:22:13,0.17297,46.41910,4.57910,41.84000
2023-10-26 14:22:14,0.18256,46.83008,4.58008,42.25000
2023-10-26 14:22:15,0.17301,47.68508,4.45508,43.23000
2023-10-26 14:22:16,0.15804,46.42055,4.56055,41.86000
2023-10-26 14:22:17,0.15529,46.17559,4.47559,41.70000
2023-10-26 14:22:18,0.16285,46.24172,4.51172,41.73000
2023-10-26 14:22:19,0.14410,46.45250,4.56250,41.89000
2023-10-26 14:22:20,0.14298,46.39293,4.50293,41.89000
2023-10-26 14:22:21,0.15560,46.95082,4.59082,42.36000
2023-10-26 14:22:23,0.14844,46.09219,4.49219,41.60000
2023-10-26 14:22:24,0.15371,46.59172,4.51172,42.08000
2023-10-26 14:22:25,0.15303,46.20875,4.46875,41.74000
2023-10-26 14:22:26,0.16334,46.70258,4.64258,42.06000
2023-10-26 14:22:27,0.16309,46.40879,4.50879,41.90000
2023-10-26 14:22:28,0.13922,46.52559,4.47559,42.05000
2023-10-26 14:22:29,0.15511,46.42683,4.50684,41.92000
2023-10-26 14:22:30,0.15451,46.45711,4.53711,41.92000
2023-10-26 14:22:31,0.17919,46.37184,4.63184,41.74000
2023-10-26 14:22:32,0.16551,39.36426,4.36426,35.00000
2023-10-26 14:22:33,0.15833,38.80879,4.00879,34.80000
2023-10-26 14:22:34,0.16681,38.92141,3.94141,34.98000
2023-10-26 14:22:35,0.17054,32.15942,3.64941,28.51000
2023-10-26 14:22:36,0.18529,31.70828,3.48828,28.22000
2023-10-26 14:22:37,0.13935,21.41145,3.48145,17.93000
2023-10-26 14:22:38,0.16998,18.83453,2.64453,16.19000
2023-10-26 14:22:39,0.17597,19.88984,2.58984,17.30000
2023-10-26 14:22:40,0.17197,15.63273,2.55273,13.08000
2023-10-26 14:22:41,0.14831,16.09687,2.54688,13.55000
2023-10-26 14:22:42,0.15217,15.59465,2.51465,13.08000
2023-10-26 14:22:43,0.15983,16.17754,2.47754,13.70000
2023-10-26 14:22:44,0.17934,17.30684,2.50684,14.80000
2023-10-26 14:22:45,0.15537,17.09777,2.46777,14.63000
2023-10-26 14:22:46,0.16382,17.43707,2.49707,14.94000
2023-10-26 14:22:47,0.16487,16.34098,2.50098,13.84000
2023-10-26 14:22:48,0.16338,15.28809,2.53809,12.75000
2023-10-26 14:22:49,0.17877,15.84059,2.60059,13.24000
2023-10-26 14:22:50,0.18146,17.02344,2.52344,14.50000
2023-10-26 14:22:52,0.16160,15.25219,2.49219,12.76000
2023-10-26 14:22:53,0.18004,42.29000,4.00000,38.29000
2023-10-26 14:22:54,0.17029,42.52316,4.24316,38.28000
2023-10-26 14:22:55,0.17019,43.08226,4.32227,38.76000
2023-10-26 14:22:56,0.18395,42.76934,4.31934,38.45000
2023-10-26 14:22:57,0.16364,43.41938,4.35938,39.06000
2023-10-26 14:22:58,0.18031,42.72762,4.30762,38.42000
