rocket_image_date,rocket_image_cpu_utilization,rocket_image_total_power,rocket_image_cpu_power,rocket_image_gpu_power
2023-10-24 22:02:50,0.17977,50.01422,6.07422,43.94000
2023-10-24 22:02:51,0.17942,49.30148,6.02148,43.28000
2023-10-24 22:02:52,0.04678,46.38461,4.22461,42.16000
2023-10-24 22:02:53,0.02443,47.48227,4.07227,43.41000
2023-10-24 22:02:54,0.05268,47.66781,4.25781,43.41000
2023-10-24 22:02:55,0.02176,46.07836,4.06836,42.01000
2023-10-24 22:02:57,0.01920,47.15766,4.09766,43.06000
2023-10-24 22:02:58,0.06306,46.56453,4.39453,42.17000
2023-10-24 22:02:59,0.01800,47.48492,4.04492,43.44000
2023-10-24 22:03:00,0.07363,46.33187,4.17188,42.16000
2023-10-24 22:03:01,0.03805,46.29945,4.18945,42.11000
2023-10-24 22:03:02,0.06056,46.15648,4.14648,42.01000
2023-10-24 22:03:03,0.00503,46.01781,4.00781,42.01000
2023-10-24 22:03:04,0.00335,46.17195,4.00195,42.17000
2023-10-24 22:03:05,0.00587,46.03586,4.00586,42.03000
2023-10-24 22:03:06,0.09244,46.95531,4.94531,42.01000
2023-10-24 22:03:07,0.00921,46.01195,4.00195,42.01000
2023-10-24 22:03:08,0.09949,46.50805,4.49805,42.01000
2023-10-24 22:03:09,0.02662,46.20125,4.03125,42.17000
2023-10-24 22:03:10,0.09628,46.65047,4.48047,42.17000
2023-10-24 22:03:11,0.00988,46.04711,4.03711,42.01000
2023-10-24 22:03:12,0.06461,46.39656,4.22656,42.17000
2023-10-24 22:03:13,0.00593,45.96484,3.96484,42.00000
2023-10-24 22:03:14,0.01174,45.99047,3.98047,42.01000
2023-10-24 22:03:15,0.00422,45.94555,3.93555,42.01000
2023-10-24 22:03:16,0.00694,45.79703,3.95703,41.84000
2023-10-24 22:03:17,0.00606,45.81266,3.97266,41.84000
2023-10-24 22:03:18,0.02128,46.07031,4.07031,42.00000
2023-10-24 22:03:19,0.06250,46.09570,4.09570,42.00000
2023-10-24 22:03:28,0.17210,49.12711,6.03711,43.09000
2023-10-24 22:03:29,0.20897,43.64024,6.49023,37.15000
2023-10-24 22:03:30,0.07089,39.74336,3.94336,35.80000
2023-10-24 22:03:31,0.01813,39.62133,3.61133,36.01000
2023-10-24 22:03:32,0.07832,40.10922,3.94922,36.16000
2023-10-24 22:03:33,0.01709,38.79445,3.56445,35.23000
2023-10-24 22:03:34,0.01173,39.51664,3.55664,35.96000
2023-10-24 22:03:35,0.05518,32.17203,3.58203,28.59000
2023-10-24 22:03:36,0.00768,31.39492,3.04492,28.35000
2023-10-24 22:03:37,0.06685,21.69289,2.96289,18.73000
2023-10-24 22:03:38,0.03772,20.86133,2.11133,18.75000
2023-10-24 22:03:39,0.06266,18.29453,2.39453,15.90000
2023-10-24 22:03:40,0.01500,14.12656,1.97656,12.15000
2023-10-24 22:03:41,0.00351,14.53625,1.90625,12.63000
2023-10-24 22:03:42,0.00419,16.01336,1.94336,14.07000
2023-10-24 22:03:43,0.10859,41.37891,3.62891,37.75000
2023-10-24 22:03:44,0.00820,41.47070,3.72070,37.75000
2023-10-24 22:03:46,0.07530,42.00203,4.08203,37.92000
2023-10-24 22:03:47,0.05445,41.83164,3.93164,37.90000
2023-10-24 22:03:48,0.01165,41.55070,3.72070,37.83000
2023-10-24 22:03:49,0.08319,42.05039,4.15039,37.90000
2023-10-24 22:03:50,0.01062,41.80414,3.74414,38.06000
2023-10-24 22:03:51,0.05649,42.00727,3.94727,38.06000
2023-10-24 22:03:52,0.00251,41.59336,3.69336,37.90000
2023-10-24 22:03:53,0.00834,41.62852,3.72852,37.90000
2023-10-24 22:03:54,0.00584,41.56602,3.66602,37.90000
2023-10-24 22:03:55,0.00418,41.56648,3.64648,37.92000
2023-10-24 22:03:56,0.01174,41.64070,3.72070,37.92000
2023-10-24 22:03:57,0.03074,41.62734,3.77734,37.85000
2023-10-24 22:03:58,0.07525,41.85539,3.77539,38.08000
2023-10-24 22:04:06,0.17515,49.04305,5.62305,43.42000
2023-10-24 22:04:07,0.10911,47.45227,4.82227,42.63000
2023-10-24 22:04:08,0.09275,47.19477,4.38477,42.81000
2023-10-24 22:04:09,0.09229,47.67500,4.37500,43.30000
2023-10-24 22:04:10,0.12941,48.13625,5.15625,42.98000
2023-10-24 22:04:11,0.19382,49.44899,5.95898,43.49000
2023-10-24 22:04:12,0.09237,47.44765,4.59766,42.85000
2023-10-24 22:04:13,0.05307,46.50000,4.50000,42.00000
2023-10-24 22:04:14,0.06412,46.79031,4.32031,42.47000
2023-10-24 22:04:15,0.06740,46.19164,4.18164,42.01000
2023-10-24 22:04:16,0.04471,46.13867,4.13867,42.00000
2023-10-24 22:04:17,0.05374,46.42453,4.14453,42.28000
2023-10-24 22:04:18,0.02869,46.34750,4.18750,42.16000
2023-10-24 22:04:19,0.00710,46.04515,4.03516,42.01000
2023-10-24 22:04:20,0.01086,46.05492,4.04492,42.01000
2023-10-24 22:04:21,0.11602,47.48539,5.02539,42.46000
2023-10-24 22:04:22,0.01550,46.07617,4.07617,42.00000
2023-10-24 22:04:23,0.04271,46.38094,4.21094,42.17000
2023-10-24 22:04:24,0.02852,46.34898,4.20898,42.14000
2023-10-24 22:04:25,0.05780,46.39781,4.25781,42.14000
2023-10-24 22:04:26,0.04758,46.17211,4.16211,42.01000
2023-10-24 22:04:27,0.00967,46.00469,4.05469,41.95000
2023-10-24 22:04:28,0.09375,39.12031,4.07031,35.05000
2023-10-24 22:04:29,0.02502,38.63422,3.57422,35.06000
2023-10-24 22:04:30,0.04282,33.00805,3.49805,29.51000
2023-10-24 22:04:31,0.02020,31.49422,3.07422,28.42000
2023-10-24 22:04:32,0.02941,31.50047,3.23047,28.27000
2023-10-24 22:04:33,0.01348,17.97258,2.39258,15.58000
2023-10-24 22:04:34,0.03177,18.85234,2.15234,16.70000
2023-10-24 22:04:44,0.01508,46.07687,4.04688,42.03000
2023-10-24 22:04:45,0.02061,45.94226,4.07227,41.87000
2023-10-24 22:04:46,0.01368,45.83414,3.99414,41.84000
2023-10-24 22:04:47,0.01013,45.92812,4.07813,41.85000
2023-10-24 22:04:48,0.01738,46.05273,4.05273,42.00000
2023-10-24 22:04:49,0.01362,46.20687,4.04688,42.16000
2023-10-24 22:04:50,0.00839,46.50516,4.03516,42.47000
2023-10-24 22:04:51,0.01342,46.36250,4.06250,42.30000
2023-10-24 22:04:52,0.00924,46.06055,4.06055,42.00000
2023-10-24 22:04:53,0.00921,46.20883,4.04883,42.16000
2023-10-24 22:04:54,0.00168,46.14047,3.98047,42.16000
2023-10-24 22:04:55,0.02007,46.36906,4.03906,42.33000
2023-10-24 22:04:56,0.00931,45.95937,4.10938,41.85000
2023-10-24 22:04:57,0.00589,46.00977,4.00977,42.00000
