rocket_message_date,rocket_message_cpu_utilization,rocket_message_total_power,rocket_message_cpu_power,rocket_message_gpu_power
2023-10-24 21:53:05,0.18491,49.57789,6.08789,43.49000
2023-10-24 21:53:07,0.17647,48.42664,5.80664,42.62000
2023-10-24 21:53:08,0.04041,45.52844,4.14844,41.38000
2023-10-24 21:53:09,0.03345,47.36641,4.06641,43.30000
2023-10-24 21:53:10,0.04810,46.66312,4.20313,42.46000
2023-10-24 21:53:11,0.01674,45.79961,4.09961,41.70000
2023-10-24 21:53:12,0.01678,48.14250,4.06250,44.08000
2023-10-24 21:53:13,0.01341,46.02102,4.04102,41.98000
2023-10-24 21:53:14,0.01681,46.31305,4.12305,42.19000
2023-10-24 21:53:15,0.04937,46.33008,4.33008,42.00000
2023-10-24 21:53:16,0.00840,46.02148,4.02148,42.00000
2023-10-24 21:53:17,0.00420,45.97875,3.96875,42.01000
2023-10-24 21:53:18,0.08732,46.57250,4.56250,42.01000
2023-10-24 21:53:19,0.02005,46.18297,4.04297,42.14000
2023-10-24 21:53:20,0.04806,46.22141,4.19141,42.03000
2023-10-24 21:53:21,0.00594,46.12703,3.95703,42.17000
2023-10-24 21:53:22,0.01427,40.35976,4.00977,36.35000
2023-10-24 21:53:23,0.00754,39.67758,3.51758,36.16000
2023-10-24 21:53:24,0.00669,39.67781,3.50781,36.17000
2023-10-24 21:53:32,0.16750,50.51406,6.16406,44.35000
2023-10-24 21:53:33,0.17647,42.89101,5.79102,37.10000
2023-10-24 21:53:34,0.03486,39.78000,3.75000,36.03000
2023-10-24 21:53:35,0.03596,40.69656,3.72656,36.97000
2023-10-24 21:53:36,0.05957,39.81664,3.80664,36.01000
2023-10-24 21:53:37,0.00754,38.78055,3.56055,35.22000
2023-10-24 21:53:38,0.01930,32.57859,3.55859,29.02000
2023-10-24 21:53:39,0.01084,31.63664,3.05664,28.58000
2023-10-24 21:53:40,0.03930,31.72680,3.21680,28.51000
2023-10-24 21:53:41,0.01757,18.32008,2.58008,15.74000
2023-10-24 21:53:42,0.00840,18.08344,2.02344,16.06000
2023-10-24 21:53:43,0.02167,19.39031,2.07031,17.32000
2023-10-24 21:53:44,0.09683,45.92594,4.08594,41.84000
2023-10-24 21:53:45,0.01485,45.92984,4.08984,41.84000
2023-10-24 21:53:47,0.05576,46.28976,4.25977,42.03000
2023-10-24 21:53:48,0.00929,45.96289,3.96289,42.00000
2023-10-24 21:53:49,0.00680,45.97656,3.97656,42.00000
2023-10-24 21:53:50,0.00730,46.06273,4.05273,42.01000
2023-10-24 21:53:59,0.17940,48.34219,5.24219,43.10000
2023-10-24 21:54:00,0.17815,50.29485,6.21484,44.08000
2023-10-24 21:54:01,0.18662,49.67961,6.09961,43.58000
2023-10-24 21:54:02,0.04657,46.43367,4.26367,42.17000
2023-10-24 21:54:03,0.02439,47.12383,4.17383,42.95000
2023-10-24 21:54:04,0.04087,46.09063,4.14063,41.95000
2023-10-24 21:54:05,0.01477,47.92961,4.09961,43.83000
2023-10-24 21:54:06,0.01759,46.39766,4.09766,42.30000
2023-10-24 21:54:07,0.01370,46.68719,4.11719,42.57000
2023-10-24 21:54:08,0.03008,46.58195,4.25195,42.33000
2023-10-24 21:54:09,0.00671,46.20492,4.04492,42.16000
2023-10-24 21:54:10,0.01087,46.21078,4.05078,42.16000
2023-10-24 21:54:11,0.07770,46.78500,4.62500,42.16000
2023-10-24 21:54:12,0.01343,46.39055,4.06055,42.33000
2023-10-24 21:54:13,0.05912,46.52336,4.19336,42.33000
2023-10-24 21:54:14,0.00835,46.16586,4.00586,42.16000
2023-10-24 21:54:15,0.00336,46.16586,4.00586,42.16000
2023-10-24 21:54:16,0.00754,46.19906,4.03906,42.16000
2023-10-24 21:54:17,0.00635,46.19734,4.02734,42.17000
2023-10-24 21:54:25,0.09941,48.63078,4.55078,44.08000
2023-10-24 21:54:26,0.15183,48.10797,4.66797,43.44000
2023-10-24 21:54:27,0.19002,49.66383,6.17383,43.49000
2023-10-24 21:54:28,0.19314,49.61664,6.30664,43.31000
2023-10-24 21:54:29,0.08991,41.17390,4.25391,36.92000
2023-10-24 21:54:30,0.00674,39.82086,3.63086,36.19000
2023-10-24 21:54:31,0.06740,40.63961,3.84961,36.79000
2023-10-24 21:54:32,0.01674,39.11961,3.59961,35.52000
2023-10-24 21:54:33,0.01265,39.11227,3.57227,35.54000
2023-10-24 21:54:34,0.03515,32.15031,3.57031,28.58000
2023-10-24 21:54:35,0.00503,31.57805,2.99805,28.58000
2023-10-24 21:54:36,0.00586,31.56437,2.98438,28.58000
2023-10-24 21:54:37,0.10813,32.28344,3.52344,28.76000
2023-10-24 21:54:38,0.02183,31.82813,3.07813,28.75000
2023-10-24 21:54:39,0.06518,32.16195,3.25195,28.91000
2023-10-24 21:54:41,0.01187,31.79664,3.05664,28.74000
2023-10-24 21:54:42,0.00776,31.93320,3.03320,28.90000
2023-10-24 21:54:43,0.00425,31.88828,2.98828,28.90000
2023-10-24 21:54:44,0.00847,31.66125,3.03125,28.63000
2023-10-24 21:54:52,0.18824,49.43695,6.12695,43.31000
2023-10-24 21:54:53,0.19843,49.94445,6.56445,43.38000
2023-10-24 21:54:54,0.08127,46.81180,4.34180,42.47000
2023-10-24 21:54:55,0.00589,46.37688,4.04688,42.33000
2023-10-24 21:54:56,0.07738,47.82992,4.41992,43.41000
2023-10-24 21:54:57,0.01593,46.08812,4.07813,42.01000
2023-10-24 21:54:58,0.01468,47.29445,4.06445,43.23000
2023-10-24 21:54:59,0.02431,46.48750,4.18750,42.30000
2023-10-24 21:55:00,0.02006,46.43086,4.13086,42.30000
2023-10-24 21:55:01,0.03188,46.62422,4.32422,42.30000
2023-10-24 21:55:02,0.01379,46.38227,4.07227,42.31000
2023-10-24 21:55:03,0.00622,46.38274,4.05273,42.33000
2023-10-24 21:55:04,0.11728,46.88680,4.71680,42.17000
2023-10-24 21:55:05,0.01092,46.41985,4.08984,42.33000
2023-10-24 21:55:06,0.05709,46.72391,4.25391,42.47000
2023-10-24 21:55:07,0.00776,46.40227,4.07227,42.33000
2023-10-24 21:55:08,0.00503,46.34906,4.03906,42.31000
2023-10-24 21:55:09,0.00257,46.35297,4.04297,42.31000
2023-10-24 21:55:10,0.00530,46.39445,4.06445,42.33000
2023-10-24 21:55:18,0.16335,49.77328,5.61328,44.16000
2023-10-24 21:55:19,0.17052,50.09742,6.35742,43.74000
2023-10-24 21:55:20,0.17001,48.20242,5.73242,42.47000
2023-10-24 21:55:21,0.02222,46.58524,4.11523,42.47000
2023-10-24 21:55:22,0.06349,40.21797,3.91797,36.30000
2023-10-24 21:55:23,0.02457,38.82961,3.59961,35.23000
2023-10-24 21:55:24,0.01419,33.62023,3.49023,30.13000
2023-10-24 21:55:25,0.02944,31.86891,3.12891,28.74000
2023-10-24 21:55:26,0.00850,31.62883,3.04883,28.58000
2023-10-24 21:55:27,0.03763,18.42359,2.68359,15.74000
2023-10-24 21:55:28,0.01222,17.29930,2.02930,15.27000
2023-10-24 21:55:29,0.00421,18.03461,1.97461,16.06000
2023-10-24 21:55:30,0.09436,46.17172,4.01172,42.16000
2023-10-24 21:55:31,0.01261,46.22664,4.05664,42.17000
2023-10-24 21:55:32,0.06620,46.52680,4.21680,42.31000
2023-10-24 21:55:33,0.00182,46.34906,4.03906,42.31000
2023-10-24 21:55:35,0.00885,46.40813,4.07813,42.33000
2023-10-24 21:55:36,0.00428,46.16414,3.99414,42.17000
2023-10-24 21:55:37,0.00428,46.15805,3.99805,42.16000
2023-10-24 21:55:45,0.16821,49.62039,6.15039,43.47000
2023-10-24 21:55:46,0.19027,49.95680,6.21680,43.74000
2023-10-24 21:55:47,0.04971,46.62563,4.26563,42.36000
2023-10-24 21:55:48,0.01753,47.47180,4.09180,43.38000
2023-10-24 21:55:49,0.06995,47.88078,4.30078,43.58000
2023-10-24 21:55:50,0.01257,46.22641,4.06641,42.16000
2023-10-24 21:55:51,0.02189,47.36203,4.08203,43.28000
2023-10-24 21:55:52,0.01849,46.53422,4.07422,42.46000
2023-10-24 21:55:53,0.02586,46.72898,4.20898,42.52000
2023-10-24 21:55:54,0.01684,46.48383,4.17383,42.31000
2023-10-24 21:55:55,0.01338,46.35688,4.04688,42.31000
2023-10-24 21:55:56,0.01184,46.97930,4.02930,42.95000
2023-10-24 21:55:57,0.09114,47.07250,4.56250,42.51000
2023-10-24 21:55:58,0.02969,46.53313,4.20313,42.33000
2023-10-24 21:55:59,0.05654,46.66922,4.19922,42.47000
2023-10-24 21:56:00,0.00586,46.51930,4.02930,42.49000
2023-10-24 21:56:01,0.00587,46.37102,4.04102,42.33000
2023-10-24 21:56:02,0.00759,46.34516,4.03516,42.31000
