rocket_pdf_date,rocket_pdf_cpu_utilization,rocket_pdf_total_power,rocket_pdf_cpu_power,rocket_pdf_gpu _power
2023-10-24 22:17:35,0.14452,48.25656,4.97656,43.28000
2023-10-24 22:17:36,0.19215,49.92492,6.29492,43.63000
2023-10-24 22:17:37,0.18761,50.49149,6.27148,44.22000
2023-10-24 22:17:38,0.05882,46.25023,4.24023,42.01000
2023-10-24 22:17:39,0.03666,46.73328,4.11328,42.62000
2023-10-24 22:17:40,0.04205,46.35164,4.18164,42.17000
2023-10-24 22:17:41,0.01426,47.02367,4.01367,43.01000
2023-10-24 22:17:42,0.05793,46.82867,4.63867,42.19000
2023-10-24 22:17:43,0.00838,45.97320,4.03320,41.94000
2023-10-24 22:17:44,0.07204,46.30453,4.14453,42.16000
2023-10-24 22:17:45,0.03359,46.32227,4.07227,42.25000
2023-10-24 22:17:46,0.05476,45.96133,4.11133,41.85000
2023-10-24 22:17:47,0.01841,46.03930,4.02930,42.01000
2023-10-24 22:17:48,0.01005,46.01781,4.00781,42.01000
2023-10-24 22:17:49,0.00335,45.96875,3.96875,42.00000
2023-10-24 22:17:50,0.07209,46.47656,4.47656,42.00000
2023-10-24 22:17:51,0.00671,46.18367,4.01367,42.17000
2023-10-24 22:17:52,0.07608,46.62875,4.46875,42.16000
2023-10-24 22:17:53,0.02540,46.18969,4.17969,42.01000
2023-10-24 22:17:54,0.07119,40.28195,4.25195,36.03000
2023-10-24 22:17:55,0.00421,39.51390,3.50391,36.01000
2023-10-24 22:17:56,0.05743,40.05312,3.70313,36.35000
2023-10-24 22:17:57,0.00673,38.51484,3.46484,35.05000
2023-10-24 22:17:58,0.00924,38.57172,3.51172,35.06000
2023-10-24 22:17:59,0.00921,31.79914,3.36914,28.43000
2023-10-24 22:18:00,0.00502,31.37922,2.94922,28.43000
2023-10-24 22:18:01,0.00251,31.37727,2.94727,28.43000
2023-10-24 22:18:02,0.01170,19.47898,2.45898,17.02000
2023-10-24 22:18:03,0.02680,18.03281,2.13281,15.90000
2023-10-24 22:18:04,0.05811,18.72766,2.34766,16.38000
2023-10-24 22:18:13,0.17726,48.96648,6.14648,42.82000
2023-10-24 22:18:14,0.19404,49.04836,6.06836,42.98000
2023-10-24 22:18:15,0.03697,46.19531,4.19531,42.00000
2023-10-24 22:18:16,0.02104,47.19617,4.07617,43.12000
2023-10-24 22:18:17,0.05690,47.29578,4.17578,43.12000
2023-10-24 22:18:18,0.01461,46.24789,4.08789,42.16000
2023-10-24 22:18:19,0.01977,47.36406,4.16406,43.20000
2023-10-24 22:18:20,0.05673,46.66805,4.49805,42.17000
2023-10-24 22:18:21,0.01952,47.91523,4.11523,43.80000
2023-10-24 22:18:22,0.06843,46.34555,4.18555,42.16000
