rocket_zip_date,rocket_zip_cpu_utilization,rocket_zip_total_power,rocket_zip_cpu_power,rocket_zip_gpu_power
2023-10-24 22:32:04,0.18144,48.81500,6.12500,42.69000
2023-10-24 22:32:05,0.20554,49.73250,6.31250,43.42000
2023-10-24 22:32:06,0.04565,45.90899,4.20898,41.70000
2023-10-24 22:32:07,0.01256,47.16664,4.05664,43.11000
2023-10-24 22:32:08,0.06762,47.59180,4.34180,43.25000
2023-10-24 22:32:09,0.01342,45.92078,4.05078,41.87000
2023-10-24 22:32:10,0.02046,47.78695,4.12695,43.66000
2023-10-24 22:32:11,0.05729,46.62328,4.61328,42.01000
2023-10-24 22:32:12,0.01258,45.88445,4.06445,41.82000
2023-10-24 22:32:13,0.06957,46.05508,4.20508,41.85000
2023-10-24 22:32:14,0.03223,46.07617,4.07617,42.00000
2023-10-24 22:32:15,0.05748,45.89547,4.10547,41.79000
2023-10-24 22:32:16,0.00769,46.02562,4.01563,42.01000
2023-10-24 22:32:17,0.00502,45.84000,4.00000,41.84000
2023-10-24 22:32:18,0.01514,45.85195,4.00195,41.85000
2023-10-24 22:32:19,0.08020,46.43203,4.58203,41.85000
2023-10-24 22:32:20,0.01003,45.82633,3.98633,41.84000
2023-10-24 22:32:21,0.09512,46.38758,4.51758,41.87000
2023-10-24 22:32:22,0.01765,45.87539,4.02539,41.85000
2023-10-24 22:32:23,0.08098,46.29898,4.45898,41.84000
2023-10-24 22:32:24,0.01555,46.03516,4.03516,42.00000
2023-10-24 22:32:25,0.06755,46.33969,4.17969,42.16000
2023-10-24 22:32:26,0.00891,45.99828,3.98828,42.01000
2023-10-24 22:32:27,0.00598,46.04906,4.03906,42.01000
2023-10-24 22:32:28,0.00799,45.83633,3.98633,41.85000
2023-10-24 22:32:29,0.01066,45.74102,4.04102,41.70000
2023-10-24 22:32:30,0.00697,45.86367,4.01367,41.85000
2023-10-24 22:32:31,0.00949,45.95586,4.00586,41.95000
2023-10-24 22:32:33,0.04156,46.05914,4.11914,41.94000
2023-10-24 22:32:42,0.16583,49.02906,6.03906,42.99000
2023-10-24 22:32:43,0.20388,42.92328,6.11328,36.81000
2023-10-24 22:32:44,0.04450,39.73461,3.72461,36.01000
2023-10-24 22:32:45,0.01844,40.23617,3.57617,36.66000
2023-10-24 22:32:46,0.06071,40.31227,3.82227,36.49000
2023-10-24 22:32:47,0.01186,38.76102,3.54102,35.22000
2023-10-24 22:32:48,0.01431,32.92180,3.59180,29.33000
2023-10-24 22:32:49,0.06611,32.00422,3.57422,28.43000
2023-10-24 22:32:50,0.01676,32.19516,3.03516,29.16000
2023-10-24 22:32:51,0.06370,19.14367,2.76367,16.38000
2023-10-24 22:32:52,0.04020,20.74234,2.15234,18.59000
2023-10-24 22:32:53,0.06308,18.98125,2.28125,16.70000
2023-10-24 22:32:54,0.02259,15.08266,1.97266,13.11000
2023-10-24 22:32:55,0.00671,14.23188,1.92188,12.31000
2023-10-24 22:32:56,0.00251,14.87187,1.92188,12.95000
2023-10-24 22:32:57,0.07712,41.19461,2.97461,38.22000
2023-10-24 22:32:58,0.00671,41.96070,3.72070,38.24000
2023-10-24 22:32:59,0.09184,42.47461,4.22461,38.25000
2023-10-24 22:33:00,0.06239,43.37898,4.20898,39.17000
2023-10-24 22:33:01,0.02330,42.02711,3.78711,38.24000
2023-10-24 22:33:02,0.02678,43.08102,3.79102,39.29000
2023-10-24 22:33:03,0.02857,42.20860,3.80859,38.40000
2023-10-24 22:33:04,0.00588,41.97195,3.75195,38.22000
2023-10-24 22:33:05,0.00754,42.13977,3.75977,38.38000
2023-10-24 22:33:06,0.00457,42.02703,3.70703,38.32000
2023-10-24 22:33:07,0.00100,42.05359,3.68359,38.37000
2023-10-24 22:33:08,0.00697,42.26461,3.72461,38.54000
2023-10-24 22:33:09,0.01635,42.07422,3.82422,38.25000
2023-10-24 22:33:10,0.07387,42.37117,3.95117,38.42000
2023-10-24 22:33:19,0.17075,49.14945,6.18945,42.96000
2023-10-24 22:33:20,0.18228,49.27586,6.00586,43.27000
2023-10-24 22:33:21,0.03544,45.98602,4.16602,41.82000
2023-10-24 22:33:22,0.02929,47.63008,4.08008,43.55000
2023-10-24 22:33:23,0.03707,47.69320,4.28320,43.41000
2023-10-24 22:33:24,0.01425,46.26156,4.10156,42.16000
2023-10-24 22:33:25,0.01427,47.60742,4.10742,43.50000
2023-10-24 22:33:26,0.07125,46.65609,4.49609,42.16000
2023-10-24 22:33:27,0.01174,46.42422,4.07422,42.35000
2023-10-24 22:33:28,0.06616,46.14867,4.13867,42.01000
2023-10-24 22:33:29,0.01925,46.02539,4.02539,42.00000
2023-10-24 22:33:31,0.07293,45.98867,4.13867,41.85000
2023-10-24 22:33:32,0.01088,45.99680,3.96680,42.03000
2023-10-24 22:33:33,0.00338,45.99094,3.96094,42.03000
2023-10-24 22:33:34,0.00907,46.03930,4.02930,42.01000
2023-10-24 22:33:35,0.06609,46.36523,4.36523,42.00000
2023-10-24 22:33:36,0.01508,46.02367,4.01367,42.01000
2023-10-24 22:33:37,0.10904,46.48117,4.45117,42.03000
2023-10-24 22:33:38,0.02559,46.14672,4.13672,42.01000
2023-10-24 22:33:39,0.07609,47.87555,4.43555,43.44000
2023-10-24 22:33:40,0.01688,46.02758,4.01758,42.01000
2023-10-24 22:33:41,0.03367,41.01688,4.04688,36.97000
2023-10-24 22:33:42,0.02562,39.68234,3.65234,36.03000
2023-10-24 22:33:43,0.00510,39.55492,3.54492,36.01000
2023-10-24 22:33:44,0.00501,38.68094,3.46094,35.22000
2023-10-24 22:33:45,0.00376,38.67117,3.45117,35.22000
2023-10-24 22:33:46,0.00499,38.73000,3.50000,35.23000
2023-10-24 22:33:47,0.01488,31.56500,3.12500,28.44000
2023-10-24 22:33:48,0.08513,31.45406,3.16406,28.29000
2023-10-24 22:33:57,0.18813,49.11485,5.96484,43.15000
2023-10-24 22:33:58,0.19134,49.12352,6.35352,42.77000
2023-10-24 22:33:59,0.15528,47.59758,5.51758,42.08000
2023-10-24 22:34:00,0.01934,46.10765,4.09766,42.01000
2023-10-24 22:34:01,0.06097,47.82406,4.41406,43.41000
2023-10-24 22:34:02,0.01921,46.29500,4.12500,42.17000
2023-10-24 22:34:03,0.01173,47.28765,4.09766,43.19000
2023-10-24 22:34:04,0.06234,46.83969,4.67969,42.16000
2023-10-24 22:34:05,0.00840,46.22836,4.06836,42.16000
2023-10-24 22:34:06,0.06487,46.35922,4.19922,42.16000
2023-10-24 22:34:07,0.04080,46.09766,4.09766,42.00000
2023-10-24 22:34:08,0.05973,46.20797,4.16797,42.04000
2023-10-24 22:34:09,0.01419,46.04320,4.03320,42.01000
2023-10-24 22:34:10,0.00508,46.01195,4.00195,42.01000
2023-10-24 22:34:11,0.00920,46.04688,4.04688,42.00000
2023-10-24 22:34:12,0.07401,46.58015,4.41016,42.17000
2023-10-24 22:34:13,0.00617,46.03711,4.03711,42.00000
2023-10-24 22:34:14,0.11254,46.55539,4.52539,42.03000
2023-10-24 22:34:15,0.01174,46.05297,4.04297,42.01000
2023-10-24 22:34:16,0.07686,46.35781,4.50781,41.85000
2023-10-24 22:34:17,0.00773,46.04125,4.03125,42.01000
2023-10-24 22:34:18,0.05492,46.29102,4.29102,42.00000
2023-10-24 22:34:19,0.00842,46.02930,4.02930,42.00000
2023-10-24 22:34:20,0.00340,46.01367,4.01367,42.00000
2023-10-24 22:34:22,0.00765,46.07836,4.06836,42.01000
2023-10-24 22:34:23,0.00339,46.00266,3.97266,42.03000
2023-10-24 22:34:24,0.00265,45.99047,3.98047,42.01000
2023-10-24 22:34:25,0.01295,46.06445,4.06445,42.00000
2023-10-24 22:34:26,0.02993,46.17453,4.14453,42.03000
2023-10-24 22:34:35,0.17548,49.68414,6.24414,43.44000
2023-10-24 22:34:36,0.19270,42.95070,5.97070,36.98000
2023-10-24 22:34:37,0.04411,39.63883,3.79883,35.84000
2023-10-24 22:34:38,0.02128,41.10648,3.64648,37.46000
2023-10-24 22:34:39,0.05424,40.70515,3.78516,36.92000
2023-10-24 22:34:40,0.01007,39.01281,3.63281,35.38000
2023-10-24 22:34:41,0.01343,33.02953,3.51953,29.51000
2023-10-24 22:34:42,0.05219,32.20679,3.46680,28.74000
2023-10-24 22:34:43,0.01676,32.53422,3.07422,29.46000
2023-10-24 22:34:44,0.06460,18.38672,2.63672,15.75000
2023-10-24 22:34:45,0.04264,20.21547,2.10547,18.11000
2023-10-24 22:34:46,0.06124,16.20055,2.31055,13.89000
2023-10-24 22:34:47,0.01376,14.75875,1.96875,12.79000
2023-10-24 22:34:48,0.00273,15.17820,1.90820,13.27000
2023-10-24 22:34:49,0.01205,15.07094,1.96094,13.11000
2023-10-24 22:34:50,0.07257,41.71586,3.00586,38.71000
2023-10-24 22:34:51,0.00670,42.09289,3.71289,38.38000
2023-10-24 22:34:52,0.09267,42.64734,4.27734,38.37000
2023-10-24 22:34:53,0.05435,43.88852,4.22852,39.66000
2023-10-24 22:34:54,0.03137,42.17297,3.79297,38.38000
2023-10-24 22:34:55,0.01682,43.25414,3.74414,39.51000
2023-10-24 22:34:56,0.05830,42.40914,3.86914,38.54000
2023-10-24 22:34:57,0.01120,42.13977,3.75977,38.38000
2023-10-24 22:34:58,0.01075,42.15586,3.75586,38.40000
2023-10-24 22:34:59,0.00874,42.32148,3.77148,38.55000
2023-10-24 22:35:00,0.00929,41.95438,3.73438,38.22000
2023-10-24 22:35:01,0.00586,42.09336,3.69336,38.40000
2023-10-24 22:35:02,0.01274,42.19492,3.79492,38.40000
2023-10-24 22:35:03,0.05458,42.41195,4.00195,38.41000
2023-10-24 22:35:12,0.18460,49.75500,6.12500,43.63000
2023-10-24 22:35:13,0.21197,49.18312,6.45313,42.73000
