skype_camara_off_date,skype_camara_off_cpu_utilization,skype_camara_off_total_power,skype_camara_off_cpu_power,skype_camara_off_gpu_power
2023-10-23 15:18:37,0.07917,16.40961,2.34961,14.06000
2023-10-23 15:18:38,0.08598,15.86164,2.43164,13.43000
2023-10-23 15:18:39,0.08347,15.46352,2.35352,13.11000
2023-10-23 15:18:41,0.08641,15.30156,2.35156,12.95000
2023-10-23 15:18:42,0.08249,15.28766,2.34766,12.94000
2023-10-23 15:18:43,0.08010,16.57133,2.36133,14.21000
2023-10-23 15:18:44,0.08784,17.08453,2.39453,14.69000
2023-10-23 15:18:45,0.08110,16.13062,2.39063,13.74000
2023-10-23 15:18:46,0.08445,15.77547,2.35547,13.42000
2023-10-23 15:18:47,0.08863,15.30352,2.35352,12.95000
2023-10-23 15:18:48,0.09030,15.60961,2.34961,13.26000
2023-10-23 15:18:49,0.08418,14.71430,2.40430,12.31000
2023-10-23 15:18:50,0.09098,16.39570,2.34570,14.05000
2023-10-23 15:18:51,0.07956,16.57352,2.35352,14.22000
2023-10-23 15:18:52,0.08598,15.61547,2.35547,13.26000
2023-10-23 15:18:53,0.08878,15.79914,2.36914,13.43000
2023-10-23 15:18:54,0.08278,15.02258,2.39258,12.63000
2023-10-23 15:18:55,0.08208,15.48867,2.38867,13.10000
2023-10-23 15:18:56,0.08750,16.57719,2.36719,14.21000
2023-10-23 15:18:57,0.08110,16.60281,2.38281,14.22000
2023-10-23 15:18:58,0.08829,15.36383,2.42383,12.94000
2023-10-23 15:18:59,0.09116,15.67625,2.40625,13.27000
2023-10-23 15:19:00,0.10072,15.20969,2.42969,12.78000
2023-10-23 15:19:01,0.09545,15.36969,2.42969,12.94000
2023-10-23 15:19:03,0.09455,16.74867,2.38867,14.36000
2023-10-23 15:19:04,0.09035,15.12586,2.50586,12.62000
2023-10-23 15:19:05,0.08124,15.45547,2.35547,13.10000
2023-10-23 15:19:06,0.08417,15.30523,2.36523,12.94000
2023-10-23 15:19:07,0.08361,15.28789,2.33789,12.95000
2023-10-23 15:19:08,0.08389,14.81961,2.34961,12.47000
2023-10-23 15:19:09,0.08138,16.75063,2.39063,14.36000
2023-10-23 15:19:10,0.08431,16.12281,2.38281,13.74000
2023-10-23 15:19:11,0.08375,15.60961,2.34961,13.26000
2023-10-23 15:19:12,0.09167,15.64305,2.37305,13.27000
2023-10-23 15:19:13,0.08961,14.70453,2.39453,12.31000
2023-10-23 15:19:14,0.09385,15.14547,2.35547,12.79000
2023-10-23 15:19:15,0.08165,16.83875,2.46875,14.37000
2023-10-23 15:19:16,0.08765,15.32867,2.38867,12.94000
2023-10-23 15:19:17,0.09138,15.16109,2.37109,12.79000
2023-10-23 15:19:18,0.08235,15.48891,2.37891,13.11000
2023-10-23 15:19:19,0.08750,15.29570,2.34570,12.95000
2023-10-23 15:19:20,0.08475,14.50352,2.35352,12.15000
2023-10-23 15:19:21,0.08446,15.13375,2.34375,12.79000
2023-10-23 15:19:22,0.08024,15.29742,2.35742,12.94000
2023-10-23 15:19:23,0.09412,15.30156,2.35156,12.95000
2023-10-23 15:19:25,0.08913,16.61820,2.40820,14.21000
2023-10-23 15:19:26,0.07970,16.44672,2.38672,14.06000
2023-10-23 15:19:27,0.07873,15.96086,2.38086,13.58000
2023-10-23 15:19:28,0.07970,14.82547,2.35547,12.47000
2023-10-23 15:19:29,0.08739,16.91430,2.40430,14.51000
2023-10-23 15:19:30,0.08235,15.01430,2.40430,12.61000
2023-10-23 15:19:31,0.08347,14.82938,2.35938,12.47000
2023-10-23 15:19:32,0.09030,16.26133,2.36133,13.90000
2023-10-23 15:19:33,0.08347,16.72133,2.36133,14.36000
2023-10-23 15:19:34,0.08959,15.50039,2.40039,13.10000
2023-10-23 15:19:35,0.09478,14.72406,2.41406,12.31000
2023-10-23 15:19:36,0.09622,15.06336,2.44336,12.62000
2023-10-23 15:19:37,0.09273,16.92820,2.40820,14.52000
2023-10-23 15:19:38,0.09059,15.19430,2.40430,12.79000
2023-10-23 15:19:39,0.09237,15.16109,2.37109,12.79000
2023-10-23 15:19:40,0.11026,15.03797,2.41797,12.62000
2023-10-23 15:19:41,0.08278,14.82352,2.35352,12.47000
2023-10-23 15:19:42,0.08970,14.96375,2.34375,12.62000
2023-10-23 15:19:43,0.08985,16.71570,2.34570,14.37000
2023-10-23 15:19:44,0.08081,15.80086,2.38086,13.42000
2023-10-23 15:19:45,0.08788,16.49703,2.45703,14.04000
2023-10-23 15:19:47,0.08487,15.63109,2.37109,13.26000
2023-10-23 15:19:48,0.08667,15.04016,2.41016,12.63000
2023-10-23 15:19:49,0.09536,15.13570,2.34570,12.79000
2023-10-23 15:19:50,0.08946,14.85672,2.38672,12.47000
2023-10-23 15:19:51,0.08902,14.80984,2.33984,12.47000
2023-10-23 15:19:52,0.08670,15.01477,2.38477,12.63000
2023-10-23 15:19:53,0.07886,16.57742,2.35742,14.22000
2023-10-23 15:19:54,0.08333,17.05305,2.37305,14.68000
2023-10-23 15:19:55,0.08194,15.31914,2.36914,12.95000
2023-10-23 15:19:56,0.08641,14.93664,2.30664,12.63000
2023-10-23 15:19:57,0.08347,15.45547,2.35547,13.10000
2023-10-23 15:19:58,0.08569,15.22344,2.27344,12.95000
2023-10-23 15:19:59,0.08932,14.89953,2.26953,12.63000
2023-10-23 15:20:00,0.08626,14.91711,2.28711,12.63000
2023-10-23 15:20:01,0.08418,14.89367,2.26367,12.63000
2023-10-23 15:20:02,0.08929,16.34516,2.28516,14.06000
2023-10-23 15:20:03,0.08193,15.23125,2.28125,12.95000
2023-10-23 15:20:04,0.09114,15.11789,2.33789,12.78000
2023-10-23 15:20:05,0.08923,14.94055,2.31055,12.63000
2023-10-23 15:20:06,0.08908,14.91687,2.29688,12.62000
2023-10-23 15:20:07,0.09452,16.39594,2.33594,14.06000
2023-10-23 15:20:09,0.09068,16.67273,2.30273,14.37000
2023-10-23 15:20:10,0.08362,15.25078,2.30078,12.95000
2023-10-23 15:20:11,0.09284,15.60789,2.33789,13.27000
2023-10-23 15:20:12,0.09661,14.87430,2.40430,12.47000
2023-10-23 15:20:13,0.10156,14.29664,2.30664,11.99000
2023-10-23 15:20:14,0.09408,16.39008,2.33008,14.06000
2023-10-23 15:20:15,0.09275,15.56297,2.29297,13.27000
2023-10-23 15:20:16,0.09067,17.77687,2.29688,15.48000
2023-10-23 15:20:17,0.08177,15.54516,2.28516,13.26000
2023-10-23 15:20:18,0.07705,14.92102,2.29102,12.63000
2023-10-23 15:20:19,0.08932,16.35273,2.30273,14.05000
2023-10-23 15:20:20,0.08935,15.72688,2.29688,13.43000
2023-10-23 15:20:21,0.08733,15.32695,2.37695,12.95000
2023-10-23 15:20:22,0.09192,15.45766,2.34766,13.11000
2023-10-23 15:20:23,0.09472,14.95617,2.32617,12.63000
2023-10-23 15:20:24,0.09467,15.13570,2.34570,12.79000
2023-10-23 15:20:25,0.08516,14.76492,2.29492,12.47000
2023-10-23 15:20:26,0.09228,16.34101,2.29102,14.05000
2023-10-23 15:20:27,0.08433,15.56469,2.30469,13.26000
2023-10-23 15:20:28,0.08191,17.62469,2.30469,15.32000
2023-10-23 15:20:29,0.08162,16.98101,2.29102,14.69000
2023-10-23 15:20:31,0.08944,15.42055,2.31055,13.11000
2023-10-23 15:20:32,0.08418,16.02516,2.28516,13.74000
2023-10-23 15:20:33,0.08037,14.91125,2.28125,12.63000
2023-10-23 15:20:34,0.09259,15.26836,2.31836,12.95000
2023-10-23 15:20:35,0.09672,16.32344,2.27344,14.05000
2023-10-23 15:20:36,0.09550,16.51117,2.45117,14.06000
2023-10-23 15:20:37,0.09058,15.59227,2.32227,13.27000
2023-10-23 15:20:38,0.08853,16.35688,2.29688,14.06000
2023-10-23 15:20:39,0.08502,15.57078,2.30078,13.27000
2023-10-23 15:20:40,0.08376,14.93664,2.30664,12.63000
2023-10-23 15:20:41,0.09528,14.95813,2.32813,12.63000
2023-10-23 15:20:42,0.08941,16.21422,2.32422,13.89000
2023-10-23 15:20:43,0.10549,16.20289,2.46289,13.74000
2023-10-23 15:20:44,0.09123,15.26836,2.31836,12.95000
2023-10-23 15:20:45,0.09762,15.23516,2.28516,12.95000
2023-10-23 15:20:46,0.08423,14.96008,2.33008,12.63000
2023-10-23 15:20:47,0.09213,16.38008,2.33008,14.05000
2023-10-23 15:20:48,0.09146,15.77719,2.36719,13.41000
2023-10-23 15:20:49,0.08291,15.44008,2.33008,13.11000
2023-10-23 15:20:50,0.08950,15.24492,2.29492,12.95000
2023-10-23 15:20:51,0.08220,15.23711,2.28711,12.95000
2023-10-23 15:20:53,0.09136,14.93859,2.30859,12.63000
2023-10-23 15:20:54,0.09462,16.35859,2.30859,14.05000
2023-10-23 15:20:55,0.09528,16.42719,2.36719,14.06000
2023-10-23 15:20:56,0.08447,15.71711,2.28711,13.43000
2023-10-23 15:20:57,0.08784,15.55320,2.28320,13.27000
2023-10-23 15:20:58,0.08319,14.94250,2.31250,12.63000
2023-10-23 15:20:59,0.09488,14.97766,2.34766,12.63000
2023-10-23 15:21:00,0.08615,16.20273,2.30273,13.90000
2023-10-23 15:21:01,0.08603,16.35688,2.29688,14.06000
2023-10-23 15:21:02,0.08814,15.87492,2.29492,13.58000
2023-10-23 15:21:03,0.07935,16.35492,2.29492,14.06000
2023-10-23 15:21:04,0.09149,15.89641,2.31641,13.58000
2023-10-23 15:21:05,0.09623,15.91789,2.33789,13.58000
2023-10-23 15:21:06,0.09434,14.93664,2.30664,12.63000
2023-10-23 15:21:07,0.09663,14.96008,2.33008,12.63000
2023-10-23 15:21:08,0.08532,15.09469,2.30469,12.79000
2023-10-23 15:21:09,0.08193,16.41938,2.35938,14.06000
2023-10-23 15:21:10,0.08659,16.06422,2.32422,13.74000
2023-10-23 15:21:11,0.09347,15.28398,2.33398,12.95000
2023-10-23 15:21:12,0.10000,14.97570,2.34570,12.63000
2023-10-23 15:21:13,0.09353,14.46836,2.31836,12.15000
2023-10-23 15:21:15,0.08977,14.93859,2.30859,12.63000
2023-10-23 15:21:16,0.09227,16.41133,2.36133,14.05000
2023-10-23 15:21:17,0.08193,15.86711,2.28711,13.58000
2023-10-23 15:21:18,0.08629,15.56492,2.29492,13.27000
2023-10-23 15:21:19,0.09184,15.55336,2.44336,13.11000
2023-10-23 15:21:20,0.08839,14.85867,2.38867,12.47000
2023-10-23 15:21:21,0.09612,15.09445,2.31445,12.78000
2023-10-23 15:21:22,0.10283,16.40375,2.34375,14.06000
2023-10-23 15:21:23,0.09188,17.03180,2.34180,14.69000
2023-10-23 15:21:24,0.09622,15.62133,2.36133,13.26000
2023-10-23 15:21:25,0.08981,15.79914,2.36914,13.43000
2023-10-23 15:21:26,0.08319,14.69477,2.38477,12.31000
2023-10-23 15:21:27,0.07831,15.64867,2.38867,13.26000
2023-10-23 15:21:28,0.08172,16.28062,2.39063,13.89000
2023-10-23 15:21:29,0.09609,16.51094,2.46094,14.05000
2023-10-23 15:21:30,0.09173,16.47992,2.41992,14.06000
2023-10-23 15:21:31,0.09058,15.68773,2.42773,13.26000
2023-10-23 15:21:32,0.08677,15.35211,2.41211,12.94000
2023-10-23 15:21:33,0.08290,15.36016,2.41016,12.95000
2023-10-23 15:21:34,0.09047,15.41461,2.47461,12.94000
2023-10-23 15:21:35,0.11076,15.06922,2.44922,12.62000
2023-10-23 15:21:37,0.08818,15.36602,2.41602,12.95000
2023-10-23 15:21:38,0.08545,16.46406,2.41406,14.05000
2023-10-23 15:21:39,0.08566,16.14992,2.41992,13.73000
2023-10-23 15:21:40,0.09014,16.59039,2.40039,14.19000
2023-10-23 15:21:41,0.08390,15.20750,2.43750,12.77000
2023-10-23 15:21:42,0.09353,15.52578,2.42578,13.10000
2023-10-23 15:21:43,0.08807,14.90945,2.43945,12.47000
2023-10-23 15:21:44,0.10000,14.56602,2.41602,12.15000
2023-10-23 15:21:45,0.09222,16.45430,2.40430,14.05000
2023-10-23 15:21:46,0.08732,16.16773,2.42773,13.74000
2023-10-23 15:21:47,0.09286,15.83211,2.41211,13.42000
