skype_cam_on_date,skype_camara_on_cpu_utilization,skype_camara_on_total_power,skype_camara_on_cpu_ Power,skype_camara_on_gpu_power
2023-10-23 18:10:37,0.10953,38.64391,4.00391,34.64000
2023-10-23 18:10:38,0.10866,38.45156,4.10156,34.35000
2023-10-23 18:10:39,0.11592,31.33187,3.42188,27.91000
2023-10-23 18:10:40,0.12083,31.29844,3.39844,27.90000
2023-10-23 18:10:41,0.13927,20.28844,3.14844,17.14000
2023-10-23 18:10:42,0.12211,20.19594,2.58594,17.61000
2023-10-23 18:10:43,0.10487,19.71641,2.56641,17.15000
2023-10-23 18:10:44,0.11429,15.36359,2.43359,12.93000
2023-10-23 18:10:45,0.10678,15.30109,2.37109,12.93000
2023-10-23 18:10:46,0.12730,16.87938,2.35938,14.52000
2023-10-23 18:10:47,0.11775,14.96156,2.35156,12.61000
2023-10-23 18:10:48,0.11101,15.49406,2.41406,13.08000
2023-10-23 18:10:50,0.11279,15.19578,2.42578,12.77000
2023-10-23 18:10:51,0.13805,14.90531,2.44531,12.46000
2023-10-23 18:10:52,0.10389,14.83672,2.38672,12.45000
2023-10-23 18:10:53,0.10957,15.13328,2.36328,12.77000
2023-10-23 18:10:54,0.12526,15.24641,2.31641,12.93000
2023-10-23 18:10:55,0.13048,15.33234,2.40234,12.93000
2023-10-23 18:10:56,0.13793,14.84062,2.39063,12.45000
2023-10-23 18:10:57,0.10289,15.15672,2.38672,12.77000
2023-10-23 18:10:58,0.11324,16.69547,2.35547,14.34000
2023-10-23 18:10:59,0.11274,16.53938,2.35938,14.18000
2023-10-23 18:11:00,0.11785,17.52797,2.41797,15.11000
2023-10-23 18:11:01,0.11111,14.96937,2.35938,12.61000
2023-10-23 18:11:02,0.14502,16.66609,2.49609,14.17000
2023-10-23 18:11:03,0.14086,16.41672,2.38672,14.03000
2023-10-23 18:11:04,0.11568,16.73672,2.38672,14.35000
2023-10-23 18:11:05,0.11020,14.83062,2.39063,12.44000
