skype_image_date,skype_image_cpu_utilization,skype_image_total_power,skype_image_cpu_power,skype_image_gpu_power
2023-10-23 02:27:26,0.05268,46.02781,4.50781,41.52000
2023-10-23 02:27:27,0.08663,46.13313,4.45313,41.68000
2023-10-23 02:27:28,0.01518,45.85906,4.28906,41.57000
2023-10-23 02:27:29,0.05308,46.18656,4.47656,41.71000
2023-10-23 02:27:30,0.08655,46.77375,5.09375,41.68000
2023-10-23 02:27:31,0.07968,46.14500,4.62500,41.52000
2023-10-23 02:27:32,0.06063,46.86719,4.86719,42.00000
2023-10-23 02:27:33,0.02154,45.73094,4.21094,41.52000
2023-10-23 02:27:34,0.06533,46.55375,4.84375,41.71000
2023-10-23 02:27:35,0.06091,45.69594,4.33594,41.36000
2023-10-23 02:27:36,0.03440,45.78219,4.24219,41.54000
2023-10-23 02:27:37,0.10269,46.68312,4.95313,41.73000
2023-10-23 02:27:38,0.06292,46.33875,4.71875,41.62000
2023-10-23 02:27:39,0.03361,46.01125,4.28125,41.73000
2023-10-23 02:27:40,0.06061,47.18344,4.52344,42.66000
2023-10-23 02:27:41,0.11650,46.83625,5.15625,41.68000
2023-10-23 02:27:42,0.09528,48.33750,5.18750,43.15000
2023-10-23 02:27:43,0.12249,46.61750,4.93750,41.68000
2023-10-23 02:27:44,0.05946,46.21687,4.54688,41.67000
2023-10-23 02:27:45,0.01795,45.89094,4.21094,41.68000
2023-10-23 02:27:46,0.00673,45.84406,4.16406,41.68000
2023-10-23 02:27:47,0.01316,45.85188,4.17188,41.68000
2023-10-23 02:27:48,0.02285,45.95219,4.24219,41.71000
2023-10-23 02:27:49,0.01256,45.89656,4.22656,41.67000
2023-10-23 02:27:50,0.00921,45.79969,4.17969,41.62000
2023-10-23 02:27:59,0.06041,46.29531,4.44531,41.85000
2023-10-23 02:28:00,0.02661,39.13813,4.07813,35.06000
2023-10-23 02:28:01,0.03007,39.12625,3.90625,35.22000
2023-10-23 02:28:02,0.07500,39.47625,4.40625,35.07000
2023-10-23 02:28:03,0.05294,31.93937,3.60938,28.33000
2023-10-23 02:28:04,0.12606,32.74031,4.32031,28.42000
2023-10-23 02:28:05,0.03175,18.80375,3.09375,15.71000
2023-10-23 02:28:06,0.05686,19.16125,2.78125,16.38000
2023-10-23 02:28:07,0.00587,19.62750,2.18750,17.44000
2023-10-23 02:28:08,0.09966,17.60156,2.60156,15.00000
2023-10-23 02:28:09,0.03775,17.12344,2.27344,14.85000
2023-10-23 02:28:10,0.08446,15.94719,2.36719,13.58000
2023-10-23 02:28:11,0.01667,15.00094,2.21094,12.79000
2023-10-23 02:28:12,0.08932,15.82687,3.04688,12.78000
2023-10-23 02:28:13,0.02773,15.98219,2.24219,13.74000
2023-10-23 02:28:14,0.17256,41.74250,4.31250,37.43000
2023-10-23 02:28:15,0.03283,41.82250,4.06250,37.76000
2023-10-23 02:28:16,0.14114,43.41500,4.87500,38.54000
2023-10-23 02:28:17,0.07491,41.84000,4.25000,37.59000
2023-10-23 02:28:18,0.02592,41.82969,3.92969,37.90000
2023-10-23 02:28:19,0.01265,41.60938,3.85938,37.75000
2023-10-23 02:28:20,0.01020,41.63281,3.88281,37.75000
2023-10-23 02:28:21,0.03630,41.87344,4.02344,37.85000
2023-10-23 02:28:22,0.01426,41.68312,3.95313,37.73000
2023-10-23 02:28:23,0.01007,41.60500,3.87500,37.73000
2023-10-23 02:28:32,0.05273,46.34219,4.49219,41.85000
2023-10-23 02:28:33,0.02306,46.08812,4.32813,41.76000
2023-10-23 02:28:34,0.03521,46.16813,4.32813,41.84000
2023-10-23 02:28:35,0.06483,46.73969,4.92969,41.81000
2023-10-23 02:28:36,0.04790,46.13187,4.42188,41.71000
2023-10-23 02:28:37,0.13378,47.25406,5.41406,41.84000
2023-10-23 02:28:38,0.02825,46.31656,4.22656,42.09000
