skype_message_date,skype_message_cpu_utilization,skype_message_total_power,skype_message_cpu_power,skype_message_gpu_power
2023-10-23 02:16:28,0.05871,43.11781,4.25781,38.86000
2023-10-23 02:16:29,0.02470,38.73000,4.00000,34.73000
2023-10-23 02:16:30,0.04569,38.65969,3.92969,34.73000
2023-10-23 02:16:31,0.08959,39.23469,4.30469,34.93000
2023-10-23 02:16:33,0.05528,31.61594,3.58594,28.03000
2023-10-23 02:16:34,0.08586,31.94219,3.99219,27.95000
2023-10-23 02:16:35,0.02109,18.69156,3.10156,15.59000
2023-10-23 02:16:36,0.02010,17.60188,2.17188,15.43000
2023-10-23 02:16:37,0.01594,17.09844,2.14844,14.95000
2023-10-23 02:16:38,0.04882,16.55031,2.57031,13.98000
2023-10-23 02:16:39,0.05705,15.92781,2.50781,13.42000
2023-10-23 02:16:40,0.02007,14.22031,2.07031,12.15000
2023-10-23 02:16:41,0.01510,14.82687,2.04688,12.78000
2023-10-23 02:16:42,0.14151,41.57969,3.67969,37.90000
2023-10-23 02:16:43,0.04027,42.06781,4.00781,38.06000
2023-10-23 02:16:51,0.05151,45.99437,4.48438,41.51000
2023-10-23 02:16:52,0.06866,45.81688,4.29688,41.52000
2023-10-23 02:16:54,0.02269,45.86031,4.32031,41.54000
2023-10-23 02:16:55,0.05892,46.49688,4.79688,41.70000
2023-10-23 02:16:56,0.04348,45.68875,4.46875,41.22000
2023-10-23 02:16:57,0.07983,46.15750,4.93750,41.22000
2023-10-23 02:16:58,0.01684,45.72750,4.18750,41.54000
2023-10-23 02:16:59,0.01092,45.68406,4.16406,41.52000
2023-10-23 02:17:00,0.01089,45.83625,4.15625,41.68000
2023-10-23 02:17:01,0.02097,45.84531,4.19531,41.65000
2023-10-23 02:17:02,0.03529,46.12531,4.44531,41.68000
2023-10-23 02:17:03,0.01424,45.84187,4.17188,41.67000
2023-10-23 02:17:04,0.00821,46.31187,4.17188,42.14000
2023-10-23 02:17:05,0.14375,46.40156,4.85156,41.55000
2023-10-23 02:17:06,0.06419,46.18375,4.34375,41.84000
2023-10-23 02:17:07,0.08420,46.49625,4.65625,41.84000
2023-10-23 02:17:15,0.02909,46.08219,4.24219,41.84000
2023-10-23 02:17:16,0.04401,46.14750,4.43750,41.71000
2023-10-23 02:17:17,0.07065,46.13969,4.42969,41.71000
2023-10-23 02:17:18,0.03212,46.18375,4.34375,41.84000
2023-10-23 02:17:19,0.07818,46.63562,5.01563,41.62000
2023-10-23 02:17:20,0.09966,46.48594,5.08594,41.40000
2023-10-23 02:17:21,0.02101,46.00406,4.16406,41.84000
2023-10-23 02:17:22,0.02277,47.91656,4.22656,43.69000
2023-10-23 02:17:23,0.03620,46.27344,4.27344,42.00000
2023-10-23 02:17:24,0.03943,46.04594,4.33594,41.71000
2023-10-23 02:17:25,0.02192,46.24500,4.37500,41.87000
2023-10-23 02:17:26,0.01591,39.38969,4.17969,35.21000
2023-10-23 02:17:27,0.04706,39.53656,4.22656,35.31000
2023-10-23 02:17:28,0.12370,39.73344,4.52344,35.21000
2023-10-23 02:17:29,0.04279,32.05500,3.62500,28.43000
2023-10-23 02:17:38,0.06443,40.22813,4.07813,36.15000
2023-10-23 02:17:39,0.05594,39.05594,3.83594,35.22000
2023-10-23 02:17:40,0.02261,39.14188,3.92188,35.22000
2023-10-23 02:17:41,0.04645,39.41312,4.20313,35.21000
2023-10-23 02:17:42,0.03425,31.63875,3.46875,28.17000
2023-10-23 02:17:43,0.10263,32.38500,4.12500,28.26000
2023-10-23 02:17:44,0.01884,19.10062,2.89063,16.21000
2023-10-23 02:17:45,0.01689,17.79656,2.22656,15.57000
2023-10-23 02:17:46,0.01254,18.58312,2.20313,16.38000
2023-10-23 02:17:47,0.04202,15.53625,2.65625,12.88000
2023-10-23 02:17:48,0.05802,14.66562,2.51563,12.15000
2023-10-23 02:17:49,0.03133,14.80969,2.17969,12.63000
2023-10-23 02:17:50,0.02058,14.90719,2.11719,12.79000
2023-10-23 02:17:51,0.18357,41.76719,3.86719,37.90000
2023-10-23 02:17:52,0.02433,41.86094,3.96094,37.90000
2023-10-23 02:18:01,0.01327,46.15094,4.21094,41.94000
2023-10-23 02:18:02,0.06867,46.36562,4.51563,41.85000
2023-10-23 02:18:03,0.01963,46.18375,4.34375,41.84000
2023-10-23 02:18:04,0.01741,46.12125,4.28125,41.84000
2023-10-23 02:18:05,0.05345,46.69656,4.72656,41.97000
2023-10-23 02:18:06,0.16028,47.11406,5.41406,41.70000
2023-10-23 02:18:07,0.03578,46.21875,4.21875,42.00000
