skype_pdf_date,skype_pdf_cpu_utilization,skype_pdf_total_power,skype_pdf_cpu_power,skype_pdf_gpu_power
2023-10-23 02:52:28,0.04927,46.09031,4.57031,41.52000
2023-10-23 02:52:29,0.06949,46.03812,4.32813,41.71000
2023-10-23 02:52:30,0.02966,45.84813,4.32813,41.52000
2023-10-23 02:52:31,0.06672,46.39500,4.87500,41.52000
2023-10-23 02:52:32,0.04431,46.23125,4.53125,41.70000
2023-10-23 02:52:33,0.13300,46.99031,5.32031,41.67000
2023-10-23 02:52:34,0.03535,46.26031,4.32031,41.94000
2023-10-23 02:52:35,0.05369,46.29219,4.74219,41.55000
2023-10-23 02:52:36,0.01515,45.74062,4.14063,41.60000
2023-10-23 02:52:37,0.07239,38.76219,3.99219,34.77000
2023-10-23 02:52:38,0.03812,38.50219,3.74219,34.76000
2023-10-23 02:52:39,0.13647,32.57281,4.38281,28.19000
2023-10-23 02:52:40,0.04107,31.90281,3.63281,28.27000
2023-10-23 02:52:41,0.01094,31.29531,3.19531,28.10000
2023-10-23 02:52:42,0.00503,20.49531,2.69531,17.80000
2023-10-23 02:52:43,0.07997,32.03625,3.65625,28.38000
2023-10-23 02:52:44,0.04209,31.75031,3.32031,28.43000
2023-10-23 02:52:45,0.10651,32.60219,4.24219,28.36000
2023-10-23 02:52:46,0.07746,32.35719,3.61719,28.74000
2023-10-23 02:52:47,0.01171,31.41844,3.14844,28.27000
2023-10-23 02:52:48,0.01087,31.43188,3.17188,28.26000
2023-10-23 02:52:50,0.00923,31.57625,3.15625,28.42000
2023-10-23 02:52:51,0.00776,31.48094,3.21094,28.27000
2023-10-23 02:52:52,0.01004,31.50438,3.23438,28.27000
2023-10-23 02:52:53,0.01289,31.67000,3.25000,28.42000
2023-10-23 02:53:01,0.04869,45.99656,4.47656,41.52000
2023-10-23 02:53:02,0.03427,45.98719,4.36719,41.62000
2023-10-23 02:53:03,0.02284,45.88562,4.26563,41.62000
2023-10-23 02:53:04,0.01486,45.61000,4.25000,41.36000
2023-10-23 02:53:05,0.09074,46.99125,5.28125,41.71000
2023-10-23 02:53:06,0.10000,46.67219,4.99219,41.68000
2023-10-23 02:53:07,0.09628,47.24656,4.97656,42.27000
2023-10-23 02:53:08,0.05640,46.48469,4.80469,41.68000
2023-10-23 02:53:09,0.00575,45.85969,4.17969,41.68000
2023-10-23 02:53:10,0.08654,46.01094,4.46094,41.55000
2023-10-23 02:53:11,0.03691,45.91219,4.24219,41.67000
2023-10-23 02:53:12,0.06661,45.85594,4.33594,41.52000
2023-10-23 02:53:13,0.10636,47.17594,5.33594,41.84000
2023-10-23 02:53:14,0.01240,45.90437,4.23438,41.67000
2023-10-23 02:53:15,0.06809,46.21781,4.50781,41.71000
2023-10-23 02:53:16,0.12825,46.85969,5.17969,41.68000
2023-10-23 02:53:17,0.03804,46.12188,4.42188,41.70000
2023-10-23 02:53:19,0.13368,47.24969,5.42969,41.82000
2023-10-23 02:53:20,0.07526,47.63750,4.68750,42.95000
2023-10-23 02:53:21,0.00589,46.02969,4.17969,41.85000
2023-10-23 02:53:22,0.01195,46.05312,4.20313,41.85000
2023-10-23 02:53:23,0.00714,45.89094,4.21094,41.68000
2023-10-23 02:53:24,0.01178,45.87312,4.20313,41.67000
2023-10-23 02:53:25,0.00842,46.08219,4.24219,41.84000
2023-10-23 02:53:26,0.01426,46.01406,4.16406,41.85000
2023-10-23 02:53:34,0.03456,39.70219,3.99219,35.71000
2023-10-23 02:53:35,0.08807,39.11687,4.04688,35.07000
2023-10-23 02:53:36,0.01852,39.03812,3.82813,35.21000
2023-10-23 02:53:37,0.07423,33.02937,4.60938,28.42000
2023-10-23 02:53:38,0.03378,31.90344,3.52344,28.38000
2023-10-23 02:53:39,0.10811,32.51781,4.25781,28.26000
2023-10-23 02:53:40,0.03559,22.23500,2.87500,19.36000
2023-10-23 02:53:41,0.06224,19.32031,2.82031,16.50000
2023-10-23 02:53:42,0.04814,46.74500,3.87500,42.87000
2023-10-23 02:53:43,0.07550,45.87156,4.35156,41.52000
2023-10-23 02:53:44,0.04013,46.10906,4.28906,41.82000
2023-10-23 02:53:45,0.06337,46.14687,4.29688,41.85000
2023-10-23 02:53:46,0.01841,46.00219,4.24219,41.76000
2023-10-23 02:53:47,0.11409,46.83469,5.05469,41.78000
2023-10-23 02:53:48,0.04279,46.29656,4.47656,41.82000
2023-10-23 02:53:50,0.09228,46.90125,5.03125,41.87000
2023-10-23 02:53:51,0.05201,46.38562,4.51563,41.87000
2023-10-23 02:53:52,0.10806,46.95937,5.10938,41.85000
2023-10-23 02:53:53,0.04388,46.24844,4.39844,41.85000
2023-10-23 02:53:54,0.08004,46.31469,4.55469,41.76000
2023-10-23 02:53:55,0.02966,46.23844,4.39844,41.84000
2023-10-23 02:53:56,0.00926,46.05875,4.21875,41.84000
2023-10-23 02:53:57,0.00923,46.02750,4.18750,41.84000
2023-10-23 02:53:58,0.01034,46.17969,4.17969,42.00000
2023-10-23 02:53:59,0.01423,45.97562,4.26563,41.71000
2023-10-23 02:54:07,0.03440,46.40969,4.42969,41.98000
2023-10-23 02:54:08,0.03853,46.32031,4.32031,42.00000
2023-10-23 02:54:09,0.04000,46.30312,4.45313,41.85000
2023-10-23 02:54:10,0.01887,45.97094,4.21094,41.76000
2023-10-23 02:54:11,0.13585,47.86531,5.69531,42.17000
2023-10-23 02:54:12,0.11796,47.37844,5.39844,41.98000
2023-10-23 02:54:13,0.04138,46.62875,4.46875,42.16000
2023-10-23 02:54:14,0.05894,46.79250,4.81250,41.98000
2023-10-23 02:54:15,0.01996,47.34312,4.20313,43.14000
2023-10-23 02:54:16,0.10153,46.37781,4.50781,41.87000
2023-10-23 02:54:18,0.04887,46.28469,4.30469,41.98000
2023-10-23 02:54:19,0.08333,46.23219,4.49219,41.74000
2023-10-23 02:54:20,0.07780,47.02344,5.02344,42.00000
2023-10-23 02:54:21,0.01014,46.21875,4.21875,42.00000
2023-10-23 02:54:22,0.01351,46.20313,4.20313,42.00000
2023-10-23 02:54:23,0.09467,46.97906,5.03906,41.94000
2023-10-23 02:54:24,0.05423,46.25281,4.38281,41.87000
