skype_zip_date,skype_zip_cpu_utilization,skype_zip_total_power,skype_zip_cpu_power,skype_gpu_zip_power
2023-10-23 02:39:50,0.02837,45.67250,4.31250,41.36000
2023-10-23 02:39:51,0.04487,45.84531,4.44531,41.40000
2023-10-23 02:39:52,0.03853,45.89500,4.37500,41.52000
2023-10-23 02:39:53,0.06724,46.01031,4.57031,41.44000
2023-10-23 02:39:54,0.06718,46.81313,4.95313,41.86000
2023-10-23 02:39:55,0.11034,46.65156,5.10156,41.55000
2023-10-23 02:39:56,0.03521,48.29594,4.33594,43.96000
2023-10-23 02:39:57,0.04831,45.84875,4.46875,41.38000
2023-10-23 02:39:58,0.01351,46.86625,4.15625,42.71000
2023-10-23 02:39:59,0.06434,45.78188,4.42188,41.36000
2023-10-23 02:40:00,0.04167,45.84031,4.32031,41.52000
2023-10-23 02:40:01,0.06124,45.59438,4.23438,41.36000
2023-10-23 02:40:02,0.01421,45.69625,4.15625,41.54000
2023-10-23 02:40:03,0.09556,46.42094,4.96094,41.46000
2023-10-23 02:40:04,0.05496,45.91125,4.53125,41.38000
2023-10-23 02:40:06,0.08781,46.52000,5.00000,41.52000
2023-10-23 02:40:07,0.03137,45.71594,4.33594,41.38000
2023-10-23 02:40:08,0.10409,48.87625,5.15625,43.72000
2023-10-23 02:40:09,0.08916,47.31375,4.84375,42.47000
2023-10-23 02:40:10,0.01091,45.71188,4.17188,41.54000
2023-10-23 02:40:11,0.00589,38.76719,3.86719,34.90000
2023-10-23 02:40:12,0.05122,38.92750,4.18750,34.74000
2023-10-23 02:40:13,0.00601,31.90063,3.64063,28.26000
2023-10-23 02:40:14,0.01273,31.48656,3.22656,28.26000
2023-10-23 02:40:15,0.01226,31.28406,3.16406,28.12000
2023-10-23 02:40:23,0.05664,39.71563,4.01563,35.70000
2023-10-23 02:40:24,0.02789,38.97969,3.92969,35.05000
2023-10-23 02:40:26,0.01435,38.65000,3.75000,34.90000
2023-10-23 02:40:27,0.02685,38.73781,3.75781,34.98000
2023-10-23 02:40:28,0.12060,32.74469,4.55469,28.19000
2023-10-23 02:40:29,0.07997,32.13500,3.87500,28.26000
2023-10-23 02:40:30,0.05686,32.39313,3.70313,28.69000
2023-10-23 02:40:31,0.02328,19.54125,2.53125,17.01000
2023-10-23 02:40:32,0.02595,20.58813,2.32813,18.26000
2023-10-23 02:40:33,0.06145,15.74656,2.47656,13.27000
2023-10-23 02:40:34,0.06628,17.03594,2.33594,14.70000
2023-10-23 02:40:35,0.08446,15.44531,2.69531,12.75000
2023-10-23 02:40:36,0.08557,16.69312,2.95313,13.74000
2023-10-23 02:40:37,0.03512,15.84000,2.25000,13.59000
2023-10-23 02:40:38,0.05369,16.81688,2.29688,14.52000
2023-10-23 02:40:39,0.08863,42.12250,4.06250,38.06000
2023-10-23 02:40:40,0.05308,43.50531,4.19531,39.31000
2023-10-23 02:40:41,0.09790,42.83812,4.82813,38.01000
2023-10-23 02:40:42,0.05592,42.23188,4.17188,38.06000
2023-10-23 02:40:43,0.01026,41.97187,3.92188,38.05000
2023-10-23 02:40:44,0.01346,41.97187,3.92188,38.05000
2023-10-23 02:40:45,0.03585,41.99875,3.96875,38.03000
2023-10-23 02:40:46,0.02727,42.07563,4.01563,38.06000
2023-10-23 02:40:47,0.01034,41.96406,3.91406,38.05000
2023-10-23 02:40:48,0.01245,42.13969,3.92969,38.21000
2023-10-23 02:40:56,0.05277,46.18000,4.50000,41.68000
2023-10-23 02:40:57,0.02170,45.95344,4.27344,41.68000
2023-10-23 02:40:58,0.02305,45.99688,4.29688,41.70000
