zoom_camara_off_date,zoom_camara_off_cpu_utilization,zoom_camara_off_total_power,zoom_camara_off_cpu_power,zoom_camara_off_gpu_power
2023-10-23 04:46:32,0.05763,14.70438,2.23438,12.47000
2023-10-23 04:46:33,0.06356,15.54125,2.28125,13.26000
2023-10-23 04:46:34,0.05847,15.56469,2.30469,13.26000
2023-10-23 04:46:35,0.06081,15.06688,2.29688,12.77000
2023-10-23 04:46:36,0.06764,15.10250,2.31250,12.79000
2023-10-23 04:46:37,0.07482,15.93937,2.35938,13.58000
2023-10-23 04:46:38,0.05670,15.06688,2.29688,12.77000
2023-10-23 04:46:39,0.05357,15.20344,2.27344,12.93000
2023-10-23 04:46:40,0.06314,15.23906,2.28906,12.95000
2023-10-23 04:46:41,0.06365,15.59031,2.32031,13.27000
2023-10-23 04:46:42,0.06868,14.81375,2.34375,12.47000
2023-10-23 04:46:43,0.06703,15.12594,2.33594,12.79000
2023-10-23 04:46:44,0.06503,15.42594,2.33594,13.09000
2023-10-23 04:46:45,0.05993,15.26594,2.33594,12.93000
2023-10-23 04:46:46,0.06166,15.59594,2.33594,13.26000
2023-10-23 04:46:47,0.05776,15.25469,2.30469,12.95000
2023-10-23 04:46:48,0.06336,15.25469,2.30469,12.95000
2023-10-23 04:46:49,0.06121,14.91125,2.28125,12.63000
2023-10-23 04:46:50,0.05690,15.05562,2.26563,12.79000
2023-10-23 04:46:51,0.06485,15.23906,2.28906,12.95000
2023-10-23 04:46:52,0.05790,15.27031,2.32031,12.95000
2023-10-23 04:46:53,0.06526,15.23906,2.28906,12.95000
2023-10-23 04:46:54,0.07338,15.88250,2.31250,13.57000
2023-10-23 04:46:55,0.07706,15.66063,2.39063,13.27000
2023-10-23 04:46:56,0.06503,15.23125,2.28125,12.95000
2023-10-23 04:46:58,0.07232,15.57031,2.32031,13.25000
2023-10-23 04:46:59,0.05678,14.88781,2.25781,12.63000
2023-10-23 04:47:00,0.06319,14.79031,2.32031,12.47000
2023-10-23 04:47:01,0.05986,14.56000,2.25000,12.31000
2023-10-23 04:47:02,0.06690,15.20000,2.25000,12.95000
2023-10-23 04:47:03,0.05822,15.38344,2.27344,13.11000
2023-10-23 04:47:04,0.06843,15.08687,2.29688,12.79000
2023-10-23 04:47:05,0.06623,15.40687,2.29688,13.11000
2023-10-23 04:47:06,0.07326,15.26250,2.31250,12.95000
