zoom_camara_on_date,zoom_camara_on_cpu_utilization,zoom_camara_on_total_power,zoom_camara_on_cpu_power,zoom_camara_on_gpu_power
2023-10-23 14:32:47,0.12563,38.79258,3.89258,34.90000
2023-10-23 14:32:48,0.13922,32.08015,3.66016,28.42000
2023-10-23 14:36:30,0.12692,46.15242,4.48242,41.67000
2023-10-23 14:36:31,0.13754,45.92836,4.56836,41.36000
2023-10-23 14:36:32,0.12478,46.36148,4.52148,41.84000
2023-10-23 14:36:33,0.10336,45.82875,4.46875,41.36000
2023-10-23 14:36:34,0.11931,45.82289,4.46289,41.36000
2023-10-23 14:36:35,0.12772,39.11289,4.21289,34.90000
2023-10-23 14:36:37,0.12542,38.73219,3.99219,34.74000
2023-10-23 14:36:38,0.13468,32.25242,3.98242,28.27000
2023-10-23 14:36:39,0.14777,31.59609,3.49609,28.10000
2023-10-23 14:36:40,0.14830,31.74828,3.48828,28.26000
2023-10-23 14:36:41,0.15275,21.04031,3.07031,17.97000
2023-10-23 14:36:42,0.15804,19.99187,2.67188,17.32000
2023-10-23 14:36:43,0.14923,20.04484,2.71484,17.33000
2023-10-23 14:36:44,0.15728,17.56273,2.55273,15.01000
2023-10-23 14:36:45,0.15688,15.14930,2.52930,12.62000
2023-10-23 14:36:46,0.14226,15.61172,2.51172,13.10000
2023-10-23 14:36:47,0.13719,17.16656,2.47656,14.69000
2023-10-23 14:36:48,0.13230,15.54141,2.44141,13.10000
2023-10-23 14:36:49,0.13265,14.75922,2.44922,12.31000
2023-10-23 14:36:50,0.13136,15.49844,2.39844,13.10000
2023-10-23 14:36:51,0.11008,14.82352,2.35352,12.47000
2023-10-23 14:36:52,0.11568,14.70063,2.39063,12.31000
2023-10-23 14:36:53,0.11990,15.99406,2.41406,13.58000
2023-10-23 14:36:54,0.12458,15.23703,2.45703,12.78000
2023-10-23 14:36:55,0.13036,15.54727,2.44727,13.10000
2023-10-23 14:36:56,0.13709,16.65359,2.43359,14.22000
2023-10-23 14:36:57,0.12944,15.68383,2.42383,13.26000
2023-10-23 14:36:58,0.12306,14.93289,2.46289,12.47000
2023-10-23 14:37:00,0.13003,15.06141,2.44141,12.62000
2023-10-23 14:37:01,0.12500,15.14930,2.52930,12.62000
2023-10-23 14:37:02,0.14526,16.36070,2.47070,13.89000
2023-10-23 14:37:03,0.14130,16.09953,2.51953,13.58000
2023-10-23 14:37:04,0.12947,14.45094,2.46094,11.99000
2023-10-23 14:37:05,0.15469,15.61367,2.51367,13.10000
2023-10-23 14:37:06,0.12446,16.08977,2.50977,13.58000
2023-10-23 14:37:07,0.14468,16.72344,2.52344,14.20000
2023-10-23 14:37:08,0.13036,15.28781,2.50781,12.78000
2023-10-23 14:37:09,0.13294,17.31875,2.46875,14.85000
2023-10-23 14:37:10,0.11715,15.59219,2.49219,13.10000
2023-10-23 14:37:11,0.12121,14.99930,2.52930,12.47000
2023-10-23 14:37:12,0.13259,16.53047,2.48047,14.05000
2023-10-23 14:37:13,0.13532,14.96805,2.49805,12.47000
2023-10-23 14:37:14,0.12988,15.06164,2.43164,12.63000
2023-10-23 14:37:15,0.13835,14.98758,2.51758,12.47000
2023-10-23 14:37:16,0.13649,17.26594,2.58594,14.68000
2023-10-23 14:37:17,0.14919,14.73180,2.59180,12.14000
2023-10-23 14:37:18,0.12489,15.38180,2.59180,12.79000
2023-10-23 14:37:19,0.12670,15.46539,2.52539,12.94000
