zoom_message_date,zoom_message_cpu_utilization,zoom_message_total_power,zoom_message_cpu_power,zoom_meassage_gpu_power
2023-10-23 03:06:58,0.08101,46.00687,4.29688,41.71000
2023-10-23 03:06:59,0.13475,46.45000,4.75000,41.70000
2023-10-23 03:07:00,0.09211,45.99688,4.29688,41.70000
2023-10-23 03:07:01,0.07791,45.86250,4.31250,41.55000
2023-10-23 03:07:02,0.01361,45.84063,4.14063,41.70000
2023-10-23 03:07:03,0.03177,46.08875,4.21875,41.87000
2023-10-23 03:07:05,0.04417,39.18844,4.14844,35.04000
2023-10-23 03:07:06,0.09030,39.59625,4.90625,34.69000
2023-10-23 03:07:07,0.07860,39.78719,4.86719,34.92000
2023-10-23 03:07:08,0.02007,31.49281,3.38281,28.11000
2023-10-23 03:07:09,0.01599,31.27406,3.16406,28.11000
2023-10-23 03:07:10,0.00422,29.23031,3.07031,26.16000
2023-10-23 03:07:11,0.03367,18.98531,2.44531,16.54000
2023-10-23 03:07:12,0.01342,19.38313,2.20313,17.18000
2023-10-23 03:07:13,0.01007,15.57844,2.14844,13.43000
2023-10-23 03:07:14,0.01923,16.04062,2.14063,13.90000
2023-10-23 03:07:15,0.00845,15.02594,2.08594,12.94000
2023-10-23 03:07:23,0.08977,46.16188,4.42188,41.74000
2023-10-23 03:07:24,0.09037,46.34344,4.52344,41.82000
2023-10-23 03:07:25,0.10948,46.36469,4.55469,41.81000
2023-10-23 03:07:26,0.05694,46.08406,4.41406,41.67000
2023-10-23 03:07:27,0.02349,46.60469,4.30469,42.30000
2023-10-23 03:07:28,0.03472,46.11344,4.27344,41.84000
2023-10-23 03:07:30,0.02308,45.92812,4.32813,41.60000
2023-10-23 03:07:31,0.08138,46.89750,5.43750,41.46000
2023-10-23 03:07:32,0.08305,47.10250,5.56250,41.54000
2023-10-23 03:07:33,0.01091,45.76219,4.24219,41.52000
2023-10-23 03:07:34,0.01174,45.79344,4.27344,41.52000
2023-10-23 03:07:35,0.00755,45.76219,4.24219,41.52000
2023-10-23 03:07:36,0.03125,46.11750,4.43750,41.68000
2023-10-23 03:07:37,0.00923,45.92219,4.24219,41.68000
2023-10-23 03:07:38,0.01589,45.77000,4.25000,41.52000
2023-10-23 03:07:39,0.01007,45.95344,4.27344,41.68000
2023-10-23 03:07:40,0.00671,45.74313,4.20313,41.54000
2023-10-23 03:07:48,0.08054,46.49094,4.46094,42.03000
2023-10-23 03:07:50,0.10965,46.51000,4.50000,42.01000
2023-10-23 03:07:51,0.08530,46.24562,4.26563,41.98000
2023-10-23 03:07:52,0.10067,46.44375,4.59375,41.85000
2023-10-23 03:07:53,0.01756,45.97500,4.12500,41.85000
2023-10-23 03:07:54,0.01943,46.00281,4.13281,41.87000
2023-10-23 03:07:55,0.02265,45.88750,4.18750,41.70000
2023-10-23 03:07:56,0.08696,47.11937,5.35938,41.76000
2023-10-23 03:07:57,0.02517,45.90281,4.38281,41.52000
2023-10-23 03:07:58,0.00755,45.61813,4.07813,41.54000
2023-10-23 03:07:59,0.00923,45.77813,4.07813,41.70000
2023-10-23 03:08:00,0.00842,46.20375,4.09375,42.11000
2023-10-23 03:08:01,0.03283,45.86250,4.31250,41.55000
2023-10-23 03:08:02,0.02174,39.25500,3.87500,35.38000
2023-10-23 03:08:03,0.00839,38.37719,3.61719,34.76000
2023-10-23 03:08:04,0.01846,38.40062,3.64063,34.76000
2023-10-23 03:08:05,0.01258,31.44406,3.16406,28.28000
2023-10-23 03:08:14,0.07021,41.09250,4.31250,36.78000
2023-10-23 03:08:15,0.08160,40.90344,4.27344,36.63000
2023-10-23 03:08:16,0.08276,39.18875,3.96875,35.22000
2023-10-23 03:08:17,0.11423,39.80563,4.26563,35.54000
2023-10-23 03:08:18,0.03547,38.91031,3.82031,35.09000
2023-10-23 03:08:19,0.02736,31.99031,3.57031,28.42000
2023-10-23 03:08:20,0.03832,31.77938,3.35938,28.42000
2023-10-23 03:08:21,0.09215,32.54437,4.48438,28.06000
2023-10-23 03:08:22,0.03986,19.48688,2.79688,16.69000
2023-10-23 03:08:23,0.01268,18.84250,2.31250,16.53000
2023-10-23 03:08:24,0.01365,15.36563,2.26563,13.10000
2023-10-23 03:08:25,0.01689,17.08062,2.14063,14.94000
2023-10-23 03:08:26,0.02759,15.10812,2.32813,12.78000
2023-10-23 03:08:27,0.01140,14.80188,2.17188,12.63000
2023-10-23 03:08:28,0.01254,15.27188,2.17188,13.10000
