zoom_pdf_date,zoom_pdf_cpu_utilization,zoom_pdf_total_power,zoom_pdf_cpu_power,zoom_pdf_gpu_power
2023-10-23 03:44:25,0.05241,46.28250,4.31250,41.97000
2023-10-23 03:44:26,0.10017,46.16844,4.64844,41.52000
2023-10-23 03:44:27,0.08136,45.73875,4.21875,41.52000
2023-10-23 03:44:28,0.11571,46.16219,4.49219,41.67000
2023-10-23 03:44:29,0.07299,46.00031,4.32031,41.68000
2023-10-23 03:44:30,0.03596,46.04625,4.15625,41.89000
2023-10-23 03:44:31,0.02258,46.22656,4.22656,42.00000
2023-10-23 03:44:32,0.05000,46.14906,4.78906,41.36000
2023-10-23 03:44:33,0.00503,45.56156,4.10156,41.46000
2023-10-23 03:44:34,0.02181,45.69969,4.17969,41.52000
2023-10-23 03:44:35,0.00755,45.63375,4.09375,41.54000
2023-10-23 03:44:36,0.01102,45.69625,4.15625,41.54000
2023-10-23 03:44:37,0.00587,45.63375,4.09375,41.54000
2023-10-23 03:44:38,0.00920,45.63375,4.09375,41.54000
2023-10-23 03:44:39,0.01254,45.61031,4.07031,41.54000
2023-10-23 03:44:40,0.02768,45.82906,4.28906,41.54000
2023-10-23 03:44:41,0.00755,38.75938,3.85938,34.90000
2023-10-23 03:44:42,0.06888,40.33781,4.00781,36.33000
2023-10-23 03:44:43,0.07927,39.91813,4.07813,35.84000
2023-10-23 03:44:44,0.03547,31.38563,3.26563,28.12000
2023-10-23 03:44:45,0.01095,31.42844,3.14844,28.28000
2023-10-23 03:44:46,0.01413,19.42844,2.89844,16.53000
2023-10-23 03:44:47,0.01436,18.93219,2.24219,16.69000
2023-10-23 03:44:48,0.00839,18.10312,2.20313,15.90000
2023-10-23 03:44:49,0.00920,14.73938,2.10938,12.63000
2023-10-23 03:44:58,0.09044,46.15437,4.48438,41.67000
2023-10-23 03:44:59,0.09175,46.17281,4.63281,41.54000
2023-10-23 03:45:00,0.07517,46.01469,4.30469,41.71000
2023-10-23 03:45:01,0.09492,46.15844,4.64844,41.51000
2023-10-23 03:45:02,0.01510,46.09000,4.25000,41.84000
2023-10-23 03:45:03,0.03199,46.13688,4.29688,41.84000
2023-10-23 03:45:04,0.02007,46.01375,4.34375,41.67000
2023-10-23 03:45:05,0.04849,46.39500,4.87500,41.52000
2023-10-23 03:45:06,0.01010,46.27875,4.21875,42.06000
2023-10-23 03:45:07,0.01839,45.77781,4.25781,41.52000
2023-10-23 03:45:08,0.01254,45.73875,4.21875,41.52000
2023-10-23 03:45:09,0.01431,45.58656,4.22656,41.36000
2023-10-23 03:45:10,0.00671,45.73094,4.21094,41.52000
2023-10-23 03:45:11,0.00252,45.86750,4.18750,41.68000
2023-10-23 03:45:12,0.01661,45.73875,4.21875,41.52000
2023-10-23 03:45:13,0.01599,45.63906,4.28906,41.35000
2023-10-23 03:45:14,0.00503,46.05094,4.21094,41.84000
2023-10-23 03:45:15,0.07550,47.18594,4.58594,42.60000
2023-10-23 03:45:16,0.08051,47.81594,4.58594,43.23000
2023-10-23 03:45:17,0.04111,45.86375,4.34375,41.52000
2023-10-23 03:45:18,0.01171,45.77000,4.25000,41.52000
2023-10-23 03:45:19,0.00839,45.89875,4.21875,41.68000
2023-10-23 03:45:20,0.01338,45.79000,4.25000,41.54000
2023-10-23 03:45:21,0.00503,45.87969,4.17969,41.70000
2023-10-23 03:45:22,0.00587,45.87531,4.19531,41.68000
2023-10-23 03:45:31,0.08073,46.34063,4.39063,41.95000
