zoom_zip_date,zoom_zip_cpu_utilization,zoom_zip_total_power,zoom_zip_cpu_power,zoom_zip_gpu_power
2023-10-23 03:31:01,0.06081,40.10250,4.31250,35.79000
2023-10-23 03:31:02,0.09680,40.10375,4.09375,36.01000
2023-10-23 03:31:03,0.08333,39.68594,3.83594,35.85000
2023-10-23 03:31:04,0.11356,39.27594,4.08594,35.19000
2023-10-23 03:31:05,0.04545,38.86469,3.80469,35.06000
2023-10-23 03:31:06,0.03620,31.94563,3.51563,28.43000
2023-10-23 03:31:07,0.02097,31.51000,3.25000,28.26000
2023-10-23 03:31:08,0.09917,32.53094,4.46094,28.07000
2023-10-23 03:31:09,0.08473,19.92844,3.89844,16.03000
2023-10-23 03:31:10,0.08221,21.28437,3.48438,17.80000
2023-10-23 03:31:11,0.01342,15.50219,2.24219,13.26000
2023-10-23 03:31:12,0.00929,16.03281,2.13281,13.90000
2023-10-23 03:31:13,0.00839,15.97594,2.08594,13.89000
2023-10-23 03:31:14,0.00755,14.85812,2.07813,12.78000
2023-10-23 03:31:15,0.01174,15.36375,2.09375,13.27000
2023-10-23 03:31:16,0.03190,15.10250,2.31250,12.79000
2023-10-23 03:31:17,0.00505,15.15687,2.04688,13.11000
2023-10-23 03:31:18,0.07601,43.34125,3.53125,39.81000
2023-10-23 03:31:19,0.07881,43.20187,4.17188,39.03000
2023-10-23 03:31:20,0.02027,41.82188,3.92188,37.90000
2023-10-23 03:31:21,0.00587,41.71250,3.81250,37.90000
2023-10-23 03:31:22,0.00505,42.02125,3.78125,38.24000
2023-10-23 03:31:23,0.01589,41.74031,3.82031,37.92000
2023-10-23 03:31:24,0.00421,41.66563,3.76563,37.90000
2023-10-23 03:31:25,0.00917,41.65562,3.76563,37.89000
2023-10-23 03:31:34,0.00585,46.09000,4.25000,41.84000
2023-10-23 03:31:35,0.08868,46.38594,4.83594,41.55000
2023-10-23 03:31:36,0.08389,46.06062,4.39063,41.67000
2023-10-23 03:31:37,0.07348,46.02156,4.35156,41.67000
2023-10-23 03:31:38,0.08475,46.22500,4.37500,41.85000
2023-10-23 03:31:39,0.09576,46.42406,4.41406,42.01000
2023-10-23 03:31:40,0.02525,46.01594,4.33594,41.68000
2023-10-23 03:31:41,0.10702,47.31094,5.71094,41.60000
2023-10-23 03:31:42,0.08528,46.89375,5.59375,41.30000
2023-10-23 03:31:43,0.06438,46.75031,5.07031,41.68000
2023-10-23 03:31:44,0.00503,45.86750,4.18750,41.68000
2023-10-23 03:31:45,0.00758,45.90656,4.22656,41.68000
2023-10-23 03:31:46,0.01338,45.63344,4.27344,41.36000
2023-10-23 03:31:47,0.00507,45.70750,4.18750,41.52000
2023-10-23 03:31:48,0.01421,45.69750,4.18750,41.51000
2023-10-23 03:31:49,0.01642,45.81688,4.29688,41.52000
2023-10-23 03:31:50,0.00943,45.78563,4.26563,41.52000
2023-10-23 03:31:51,0.06711,47.19375,4.59375,42.60000
2023-10-23 03:31:52,0.07712,47.08719,4.61719,42.47000
2023-10-23 03:31:53,0.03620,45.88500,4.37500,41.51000
2023-10-23 03:31:54,0.00753,45.73875,4.21875,41.52000
2023-10-23 03:31:55,0.00920,45.73875,4.21875,41.52000
2023-10-23 03:31:56,0.00671,45.76656,4.22656,41.54000
2023-10-23 03:31:57,0.01007,45.83688,4.29688,41.54000
2023-10-23 03:31:58,0.00671,39.22187,4.17188,35.05000
2023-10-23 03:32:07,0.03428,39.81156,4.10156,35.71000
2023-10-23 03:32:08,0.01520,39.42656,3.72656,35.70000
2023-10-23 03:32:09,0.02425,38.75156,3.85156,34.90000
2023-10-23 03:32:10,0.00503,38.51719,3.61719,34.90000
2023-10-23 03:32:11,0.01254,38.66719,3.61719,35.05000
2023-10-23 03:32:12,0.02104,31.86406,3.41406,28.45000
2023-10-23 03:32:13,0.01431,31.57625,3.15625,28.42000
2023-10-23 03:32:14,0.08110,32.50125,4.28125,28.22000
2023-10-23 03:32:15,0.09398,20.01969,3.67969,16.34000
2023-10-23 03:32:16,0.08273,31.71156,3.60156,28.11000
2023-10-23 03:32:17,0.00601,31.17031,3.07031,28.10000
2023-10-23 03:32:18,0.00755,31.01250,3.06250,27.95000
2023-10-23 03:32:19,0.02097,31.28969,3.17969,28.11000
2023-10-23 03:32:20,0.01727,31.26844,3.14844,28.12000
2023-10-23 03:32:21,0.00545,31.18250,3.06250,28.12000
2023-10-23 03:32:22,0.01727,31.28188,3.17188,28.11000
2023-10-23 03:32:23,0.00601,31.22156,3.10156,28.12000
2023-10-23 03:32:24,0.06503,32.51656,3.47656,29.04000
2023-10-23 03:32:25,0.06803,32.07344,3.52344,28.55000
2023-10-23 03:32:26,0.03620,31.36000,3.25000,28.11000
2023-10-23 03:32:27,0.00755,31.20375,3.09375,28.11000
2023-10-23 03:32:28,0.00755,31.18813,3.07813,28.11000
2023-10-23 03:32:29,0.01003,31.19813,3.07813,28.12000
2023-10-23 03:32:30,0.01431,31.24500,3.12500,28.12000
2023-10-23 03:32:31,0.00768,31.18031,3.07031,28.11000
2023-10-23 03:32:40,0.07958,46.84187,4.67188,42.17000
2023-10-23 03:32:41,0.12091,46.53531,4.69531,41.84000
2023-10-23 03:32:42,0.08703,46.55812,4.57813,41.98000
2023-10-23 03:32:43,0.03297,45.84813,4.32813,41.52000
2023-10-23 03:32:44,0.01003,46.21094,4.21094,42.00000
2023-10-23 03:32:45,0.01268,45.92000,4.25000,41.67000
2023-10-23 03:32:46,0.02685,45.92688,4.29688,41.63000
2023-10-23 03:32:47,0.10326,47.08437,5.48438,41.60000
2023-10-23 03:32:48,0.08696,47.18250,5.56250,41.62000
2023-10-23 03:32:49,0.08516,47.05156,5.35156,41.70000
2023-10-23 03:32:50,0.01174,45.76656,4.22656,41.54000
2023-10-23 03:32:51,0.00882,45.89875,4.21875,41.68000
2023-10-23 03:32:52,0.00421,45.71531,4.19531,41.52000
2023-10-23 03:32:53,0.02437,46.03594,4.33594,41.70000
2023-10-23 03:32:54,0.01174,45.75094,4.21094,41.54000
2023-10-23 03:32:55,0.02143,46.02031,4.32031,41.70000
2023-10-23 03:32:56,0.00587,45.72313,4.20313,41.52000
2023-10-23 03:32:58,0.07331,48.10750,4.68750,43.42000
2023-10-23 03:32:59,0.07770,47.79187,4.67188,43.12000
2023-10-23 03:33:00,0.03237,46.25406,4.41406,41.84000
2023-10-23 03:33:01,0.01017,45.79344,4.27344,41.52000
2023-10-23 03:33:02,0.00707,39.61750,3.93750,35.68000
2023-10-23 03:33:03,0.00815,39.48906,3.78906,35.70000
2023-10-23 03:33:04,0.01003,38.49781,3.75781,34.74000
2023-10-23 03:33:05,0.00906,38.47438,3.73438,34.74000
2023-10-23 03:33:13,0.09516,46.62437,4.48438,42.14000
2023-10-23 03:33:14,0.08076,46.50281,4.38281,42.12000
2023-10-23 03:33:15,0.11111,40.56094,4.71094,35.85000
2023-10-23 03:33:16,0.04392,39.47344,3.77344,35.70000
2023-10-23 03:33:17,0.01339,39.43438,3.73438,35.70000
2023-10-23 03:33:18,0.00587,38.70063,3.64063,35.06000
2023-10-23 03:33:19,0.03147,38.86531,3.69531,35.17000
2023-10-23 03:33:20,0.10137,39.78531,4.94531,34.84000
