Attempts,zoom_zip_total_power,zoom_message_total_power,zoom_image_total_power,zoom_pdf_total_power,zoom_camera_on_total_power,zoom_camera_off_total_power,skype_image_total_power,skype_pdf_total_power,skype_zip_total_power,skype_message_total_power,skype_camera_on_total_power,skype_camera_off_total_power,rocket_image_total_power,rocket_message_total_power,rocket_zip_total_power,rocket_camera_on_total_power,rocket_camera_off_total_power,rocket_pdf_total_power,element_zip_total_power,element_message_total_power,element_pdf_total_power,element_image_total_power,element_camera_off_total_power,element_camera_on_total_power
1,1912.046,1146.802,1776.629,1757.706,2719.454,2388.405,1832.209,1787.192,1860.133,908.05,5394.496,5465.476,1708.799,695.778,1811.064,4693.94116,4507.1974,1707.665,2478.426,791.72,1751.139,1427.536,4353.552,5825.594
2,1913.264,1079.526,1723.585,1743.9,2401.572,2294.174,1720.551,1507.914,1861.919,789.156,5116.864,4291.607,1762.151,910.101,1912.214,5101.6028,4546.24124,1366.616,2407.196,959.478,1686.136,1606.815,5011.52,3990.863
3,1895.778,1168.667,1818.83,1608.797,2404.001,2164.535,1770.303,1598.115,1851.467,910.082,5250.611,5391.983,1544.424,676.382,1940.906,4845.69788,5052.66372,1458.789,2272.947,780.655,1657.074,1837.931,5284.985,5710.198
4,1782.738,898.987,1850.437,1721.403,2470.731,2184.665,1498.562,1820.213,2003.826,700.834,5176.956,4001.467,1738.566,911.793,1727.323,5027.3812,5051.46064,1533.121,2352.754,960.531,1814.595,1871.907,4056.523,5706.63
5,1944.079,1165.389,1663.805,1815.711,2517.204,2180.861,1542.155,1865.614,2010.111,913.653,4160.269,3875.992,1725.631,729.541,1903.859,5025.58152,4027.08696,1587.583,2390.017,691.803,1843.631,1924.083,4293.184,5185.353
6,1910.247,1072.143,1453.553,1847.661,2550.632,2197.88,1695.035,1754.188,1366.071,706.303,3942.691,4056.861,1822.144,909.565,1672.153,4621.61444,4441.91672,1743.345,2423.419,956.701,1687.789,1754.066,5647.979,5703.114
7,1901.416,1170.728,1454.56,1746.888,2527.171,2157.608,1850.105,1809.763,1934.722,908.404,5243.653,4831.364,1715.735,811.809,1915.111,4535.13892,2936.29872,1827.898,2557.065,821.566,1742.406,1855.475,5211.285,6532.527
8,1600.178,1094.51,1508.626,1429.839,2511.594,2161.657,1738.938,1636.737,1448.585,817.222,5175.873,3688.304,1368.204,914.407,1907.08,4283.44108,4190.1512,1275.631,2415.612,962.176,1830.194,1574.484,5184.629,5257.779
9,1919.69,1174.6,1778.938,1485.477,2499.619,2169.48,1764.187,1706.358,1817.205,924.931,4004.026,3919.415,1757.034,803.963,1897.482,4312.42868,4159.13376,1362.923,2356.072,779.528,1636.69,1757.611,5911.215,5730.878
10,1895.973,1091.615,1755.419,1559.615,2490.222,2176.231,1553.073,1864.463,1859.179,782.179,5717.571,4265.087,1529.204,910.948,1915.585,4650.62548,3655.15948,1767.752,2454.036,955.546,1874.992,1833.382,5800.596,5309.892
11,1903.318,1173.106,1799.439,1757.983,2490.222,2349.244,1721.703,1765.12,1650.397,913.951,4107.635,3897.5,1734.835,734.174,1900.391,4411.67224,3701.075,1746.313,1984.675,785.974,1648.216,1832.75,4133.714,5204.84
12,1844.372,1091.971,1747.633,1759.747,2490.222,2194.245,1838.891,1776.501,1914.638,826.93,5113.442,4813.155,1734.859,908.295,1897.686,4629.2292,3681.45308,1557.924,1954.225,953.21,1546.463,1920.937,5257.697,5690.099
13,1934.152,1166.705,1843.895,1835.321,2490.222,2323.339,1723.841,1793.731,1763.502,928.572,5163.842,4192.382,1829.472,799.29,1898.052,4214.8754,3945.65816,1691.921,2097.376,776.494,1832.637,1758.247,5189.872,5764.531
14,1991.979,1081.662,1779.986,1417.87,2507.303,2402.483,1815.193,1752.162,1848.857,847.032,5179.533,5325.586,1271.765,906.38,1810.059,3994.03084,3704.23172,1725.762,2303.076,957.101,1762.486,1799.125,5263.202,5471.437
15,1906.14,1167.583,1536.201,1767.375,2555.079,2352.908,1435.188,1801.932,1929.907,922.355,5331.058,3806.843,1720.632,800.378,1885.279,3870.12292,3704.07616,1832.34,2289.642,812.655,1917.13,1565.789,5299.803,5714.417
16,1516.091,1082.381,1614.551,1607.895,2579.211,2299.668,1754.468,1850.593,1953.478,714.548,5631.865,4005.069,1771.081,908.328,1895.743,4393.54364,3931.08628,1290.042,2246.287,952.487,2050.062,1604.132,5793.012,5231.457
17,1904.643,1172.621,1760.511,1770.753,2602.449,2327.429,1626.037,1717.226,1823.831,923.792,5148.586,3909.641,1491.228,796.082,1809.612,4382.48696,3902.87896,1727.166,2189.834,804.116,1992.986,1798.175,5836.485,5303.276
18,1922.565,1092.783,1792.776,1784.158,2572.042,2281.703,1775.787,1817.549,1931.845,863.174,5052.683,5188.663,1698.98,914.386,1839.603,4715.97932,3712.953,1462.314,2165.396,951.098,2094.438,1918.005,5255.802,5473.944
19,1904.295,1169.81,1733.316,1811.226,2570.793,2280.861,1838.963,1796.91,1918.313,911.73,5706.816,5387.218,1738.263,802.3,1864.731,4195.98432,3967.2932,1538.532,2142.431,800.898,2088.203,1754.685,5227.405,5709.241
20,1906.668,1092.602,1845.114,1361.179,2573.718,2280.336,1719.246,1529.095,1932.052,882.464,5110.404,5400.047,1818.876,905.515,1847.357,4359.05076,3946.0584,1684.753,2124.688,954.429,2164.605,1421.143,5838.389,5696.31
