Date,CPU Utilization,CPU Power
2023-10-23 23:35:30,0.03886,1.63937
2023-10-23 23:35:31,0.05191,1.46985
2023-10-23 23:35:32,0.00503,0.98340
2023-10-23 23:35:33,0.00168,0.69886
2023-10-23 23:35:34,0.00334,0.53071
2023-10-23 23:35:35,0.00084,0.33771
2023-10-23 23:35:36,0.00503,0.99151
2023-10-23 23:35:37,0.00253,0.26437
2023-10-23 23:35:38,0.00084,0.52897
2023-10-23 23:35:39,0.00169,0.07455
2023-10-23 23:35:40,0.00167,0.12669
2023-10-23 23:35:41,0.00092,0.03989
2023-10-23 23:35:42,0.00085,0.13155
2023-10-23 23:35:43,0.00169,0.38139
2023-10-23 23:35:44,0.00091,0.31166
2023-10-23 23:35:45,0.00545,0.22291
2023-10-23 23:35:46,0.00093,0.46636
2023-10-23 23:35:47,0.07607,3.07322
2023-10-23 23:35:48,0.00924,2.02980
2023-10-23 23:35:49,0.00608,0.89090
2023-10-23 23:35:50,0.02646,1.92086
2023-10-23 23:35:51,0.00271,0.66650
2023-10-23 23:35:52,0.00087,0.58854
2023-10-23 23:35:53,0.00171,0.70807
2023-10-23 23:35:54,0.00085,0.37667
2023-10-23 23:35:55,0.00335,0.79832
2023-10-23 23:35:57,0.00084,0.88053
