Date,CPU Utilization,CPU Power
2023-10-24 15:46:07,0.03990,1.55599
2023-10-24 15:46:08,0.00171,0.54102
2023-10-24 15:46:09,0.00172,0.79297
2023-10-24 15:46:10,0.00091,0.39435
2023-10-24 15:46:11,0.00271,0.29412
2023-10-24 15:46:12,0.00719,0.28544
2023-10-24 15:46:13,0.01430,0.73548
2023-10-24 15:46:14,0.01451,0.72706
2023-10-24 15:46:15,0.01778,0.86457
2023-10-24 15:46:16,0.00253,0.18544
2023-10-24 15:46:17,0.04499,1.51823
2023-10-24 15:46:18,0.05798,2.06073
2023-10-24 15:46:19,0.05410,2.19844
2023-10-24 15:46:20,0.03980,1.10020
2023-10-24 15:46:21,0.03283,1.00039
2023-10-24 15:46:22,0.03939,1.03472
2023-10-24 15:46:23,0.04526,1.30611
2023-10-24 15:46:24,0.05664,1.81888
2023-10-24 15:46:25,0.05066,1.48225
2023-10-24 15:46:26,0.04937,1.58447
2023-10-24 15:46:27,0.05291,1.40109
2023-10-24 15:46:28,0.04463,1.18284
2023-10-24 15:46:29,0.04637,1.36729
2023-10-24 15:46:30,0.04094,1.22279
2023-10-24 15:46:31,0.05282,1.34699
2023-10-24 15:46:32,0.03387,0.92353
2023-10-24 15:46:33,0.05667,1.30768
2023-10-24 15:46:34,0.03538,0.71611
2023-10-24 15:46:36,0.04282,0.96339
2023-10-24 15:46:37,0.04843,1.05975
2023-10-24 15:46:38,0.02818,0.70976
2023-10-24 15:46:39,0.02844,0.72235
2023-10-24 15:46:40,0.02814,0.66643
2023-10-24 15:46:41,0.06176,1.29876
2023-10-24 15:46:42,0.02952,0.73310
2023-10-24 15:46:43,0.05297,1.21948
2023-10-24 15:46:44,0.06080,1.42762
2023-10-24 15:46:45,0.04299,1.02043
2023-10-24 15:46:46,0.05539,1.13097
2023-10-24 15:46:47,0.04991,1.12646
2023-10-24 15:46:48,0.04083,0.94203
2023-10-24 15:46:49,0.04891,1.12009
2023-10-24 15:46:50,0.06368,1.27907
2023-10-24 15:46:51,0.05196,1.16337
2023-10-24 15:46:52,0.04471,1.00928
2023-10-24 15:46:53,0.04585,1.03622
2023-10-24 15:46:54,0.03824,0.89597
2023-10-24 15:46:56,0.03928,0.98570
2023-10-24 15:46:57,0.04207,0.90801
2023-10-24 15:46:58,0.04846,1.23141
2023-10-24 15:46:59,0.03025,0.75875
2023-10-24 15:47:00,0.04097,1.15168
2023-10-24 15:47:01,0.04851,1.22092
2023-10-24 15:47:02,0.04288,1.10414
2023-10-24 15:47:03,0.03606,0.87366
2023-10-24 15:47:04,0.04263,1.14455
2023-10-24 15:47:05,0.04465,1.08914
2023-10-24 15:47:06,0.05193,1.17346
2023-10-24 15:47:07,0.04714,1.03223
2023-10-24 15:47:08,0.03719,1.12603
2023-10-24 15:47:09,0.04978,1.37347
2023-10-24 15:47:10,0.04452,1.19704
2023-10-24 15:47:11,0.05156,1.22134
2023-10-24 15:47:12,0.03713,0.98673
2023-10-24 15:47:13,0.03898,0.94629
2023-10-24 15:47:14,0.04632,1.07744
2023-10-24 15:47:15,0.03491,0.79114
2023-10-24 15:47:16,0.04399,1.02344
2023-10-24 15:47:17,0.04822,1.10035
2023-10-24 15:47:18,0.04117,1.02379
2023-10-24 15:47:19,0.05909,1.34806
2023-10-24 15:47:21,0.03491,0.87138
2023-10-24 15:47:22,0.05507,1.21895
2023-10-24 15:47:23,0.04484,0.94799
2023-10-24 15:47:24,0.04003,1.18430
2023-10-24 15:47:25,0.05156,1.28315
2023-10-24 15:47:26,0.03283,0.85522
2023-10-24 15:47:27,0.03801,1.03510
2023-10-24 15:47:28,0.04344,1.06740
2023-10-24 15:47:29,0.04124,1.10739
2023-10-24 15:47:30,0.04534,1.22623
2023-10-24 15:47:31,0.04307,1.07301
2023-10-24 15:47:32,0.04649,1.23350
2023-10-24 15:47:33,0.04611,1.17394
2023-10-24 15:47:34,0.03195,0.83532
2023-10-24 15:47:35,0.04246,1.00156
2023-10-24 15:47:36,0.04170,1.00872
2023-10-24 15:47:37,0.05030,1.26695
2023-10-24 15:47:38,0.03797,1.05415
2023-10-24 15:47:39,0.03574,0.94484
2023-10-24 15:47:40,0.04542,1.20460
2023-10-24 15:47:41,0.03833,0.93390
2023-10-24 15:47:42,0.03541,0.78427
2023-10-24 15:47:43,0.03398,0.82382
2023-10-24 15:47:44,0.03905,0.95800
2023-10-24 15:47:45,0.03738,0.92714
2023-10-24 15:47:46,0.04588,1.17214
2023-10-24 15:47:48,0.04034,1.05657
2023-10-24 15:47:49,0.05219,1.33927
2023-10-24 15:47:50,0.02972,0.74344
2023-10-24 15:47:51,0.04388,1.11719
2023-10-24 15:47:52,0.05225,1.08497
2023-10-24 15:47:53,0.05195,1.31185
2023-10-24 15:47:54,0.05205,1.29702
2023-10-24 15:47:55,0.05193,1.19415
2023-10-24 15:47:56,0.03148,0.74439
2023-10-24 15:47:57,0.05819,1.36276
2023-10-24 15:47:58,0.03982,0.98498
2023-10-24 15:47:59,0.04089,1.08685
2023-10-24 15:48:00,0.05371,1.18610
2023-10-24 15:48:01,0.05681,1.25222
2023-10-24 15:48:02,0.03604,0.86511
2023-10-24 15:48:03,0.04374,1.03340
2023-10-24 15:48:04,0.03766,0.92115
2023-10-24 15:48:05,0.03359,0.79918
2023-10-24 15:48:06,0.05184,1.25397
2023-10-24 15:48:07,0.04603,1.11674
2023-10-24 15:48:08,0.03733,0.85424
2023-10-24 15:48:09,0.03401,0.78580
2023-10-24 15:48:10,0.03288,0.87868
2023-10-24 15:48:11,0.05451,1.13971
2023-10-24 15:48:12,0.04174,0.96189
2023-10-24 15:48:13,0.05898,1.33628
2023-10-24 15:48:14,0.03796,0.99808
2023-10-24 15:48:15,0.04706,1.07842
2023-10-24 15:48:17,0.05082,1.11952
2023-10-24 15:48:18,0.04444,1.01842
2023-10-24 15:48:19,0.04907,1.29356
2023-10-24 15:48:20,0.05338,1.22236
2023-10-24 15:48:21,0.04596,1.13636
2023-10-24 15:48:22,0.03517,0.81293
2023-10-24 15:48:23,0.04766,1.24770
2023-10-24 15:48:24,0.04473,1.10816
2023-10-24 15:48:25,0.04224,1.13677
2023-10-24 15:48:26,0.04076,1.06882
2023-10-24 15:48:27,0.04269,1.03984
2023-10-24 15:48:28,0.05201,1.13487
2023-10-24 15:48:29,0.05430,1.15853
2023-10-24 15:48:30,0.03972,1.05682
2023-10-24 15:48:31,0.05072,1.28651
2023-10-24 15:48:32,0.03302,0.88057
2023-10-24 15:48:33,0.05348,1.36864
2023-10-24 15:48:34,0.04965,1.32946
2023-10-24 15:48:35,0.06095,1.44918
2023-10-24 15:48:36,0.04142,0.94048
2023-10-24 15:48:37,0.04193,0.93870
2023-10-24 15:48:38,0.04653,1.03404
2023-10-24 15:48:39,0.04840,1.13589
2023-10-24 15:48:40,0.03593,0.95127
2023-10-24 15:48:41,0.03066,0.81493
2023-10-24 15:48:42,0.03556,0.86916
2023-10-24 15:48:43,0.05943,1.33529
2023-10-24 15:48:44,0.02809,0.72077
2023-10-24 15:48:45,0.03578,0.93305
2023-10-24 15:48:46,0.04491,1.15262
2023-10-24 15:48:47,0.05348,1.33114
2023-10-24 15:48:49,0.05717,1.18715
2023-10-24 15:48:50,0.06014,1.34480
2023-10-24 15:48:51,0.03925,0.94043
2023-10-24 15:48:52,0.05923,1.25966
2023-10-24 15:48:53,0.02986,0.77474
2023-10-24 15:48:54,0.05316,1.30050
2023-10-24 15:48:55,0.06245,1.48381
2023-10-24 15:48:56,0.05277,1.13920
2023-10-24 15:48:57,0.03525,0.93896
2023-10-24 15:48:58,0.04139,1.04836
2023-10-24 15:48:59,0.03578,1.02191
2023-10-24 15:49:00,0.03486,0.90160
2023-10-24 15:49:01,0.03498,0.97564
2023-10-24 15:49:02,0.04388,0.97679
2023-10-24 15:49:03,0.03469,0.95198
2023-10-24 15:49:04,0.05168,1.14285
2023-10-24 15:49:05,0.04073,0.99141
2023-10-24 15:49:06,0.04054,0.92455
2023-10-24 15:49:07,0.03925,1.02874
2023-10-24 15:49:08,0.05288,0.98337
2023-10-24 15:49:09,0.04553,1.12670
2023-10-24 15:49:10,0.06530,1.42030
2023-10-24 15:49:11,0.05021,1.11034
2023-10-24 15:49:12,0.06084,1.50797
2023-10-24 15:49:13,0.04167,1.10758
2023-10-24 15:49:14,0.04244,1.06113
2023-10-24 15:49:15,0.04202,0.98530
2023-10-24 15:49:17,0.04553,1.08947
2023-10-24 15:49:18,0.02979,0.75648
2023-10-24 15:49:19,0.03853,0.95643
2023-10-24 15:49:20,0.05325,1.18866
2023-10-24 15:49:21,0.05532,1.26063
2023-10-24 15:49:22,0.03536,0.90372
2023-10-24 15:49:23,0.03575,0.87484
2023-10-24 15:49:24,0.04293,1.11977
2023-10-24 15:49:25,0.04534,1.07470
2023-10-24 15:49:26,0.02821,0.69014
2023-10-24 15:49:27,0.02989,0.68247
2023-10-24 15:49:28,0.04479,0.96636
2023-10-24 15:49:29,0.04083,1.02498
2023-10-24 15:49:30,0.06808,1.59082
2023-10-24 15:49:31,0.05443,1.39191
2023-10-24 15:49:32,0.05030,1.29607
2023-10-24 15:49:33,0.04911,1.25938
2023-10-24 15:49:34,0.03650,0.89963
2023-10-24 15:49:35,0.03581,0.97400
2023-10-24 15:49:36,0.04740,1.11491
2023-10-24 15:49:37,0.05829,1.35771
2023-10-24 15:49:38,0.05005,1.15449
2023-10-24 15:49:39,0.04057,1.06613
2023-10-24 15:49:40,0.03486,0.61159
2023-10-24 15:49:41,0.03902,0.75399
2023-10-24 15:49:42,0.04359,1.13972
2023-10-24 15:49:44,0.04128,1.06687
2023-10-24 15:49:45,0.02821,0.71367
2023-10-24 15:49:46,0.04513,1.09891
2023-10-24 15:49:47,0.02759,0.68387
2023-10-24 15:49:48,0.06023,1.40577
2023-10-24 15:49:49,0.06103,1.38827
2023-10-24 15:49:50,0.04742,1.28985
2023-10-24 15:49:51,0.05330,1.13260
2023-10-24 15:49:52,0.04839,1.18413
2023-10-24 15:49:53,0.04473,1.28637
2023-10-24 15:49:54,0.05649,1.48189
2023-10-24 15:49:55,0.04205,1.15869
2023-10-24 15:49:56,0.03353,0.86899
2023-10-24 15:49:57,0.03111,0.81442
2023-10-24 15:49:58,0.04209,1.09331
2023-10-24 15:49:59,0.03866,1.03268
2023-10-24 15:50:00,0.03316,0.85614
2023-10-24 15:50:01,0.04626,1.35979
2023-10-24 15:50:02,0.04476,1.24531
2023-10-24 15:50:03,0.04414,1.16122
2023-10-24 15:50:04,0.05290,1.47038
2023-10-24 15:50:05,0.03960,1.13327
2023-10-24 15:50:06,0.05140,1.24860
2023-10-24 15:50:07,0.05496,1.50726
2023-10-24 15:50:08,0.05156,1.39334
2023-10-24 15:50:09,0.04817,1.08671
2023-10-24 15:50:10,0.04416,0.97181
2023-10-24 15:50:11,0.04950,1.07244
2023-10-24 15:50:12,0.04818,1.35460
2023-10-24 15:50:13,0.05560,1.33789
2023-10-24 15:50:14,0.04576,1.10263
2023-10-24 15:50:16,0.05387,1.34309
