Date,CPU Utilization,CPU Power
2023-10-24 02:47:06,0.04145,1.47307
2023-10-24 02:47:07,0.03869,1.37223
2023-10-24 02:47:08,0.03714,1.38398
2023-10-24 02:47:09,0.03559,1.23202
2023-10-24 02:47:10,0.02627,0.91456
2023-10-24 02:47:11,0.00783,0.31778
2023-10-24 02:47:12,0.01607,0.73568
2023-10-24 02:47:13,0.03475,1.08782
2023-10-24 02:47:14,0.06271,1.75516
2023-10-24 02:47:15,0.05734,1.51212
2023-10-24 02:47:16,0.05051,1.45020
2023-10-24 02:47:17,0.04591,1.31927
2023-10-24 02:47:18,0.02373,0.67696
2023-10-24 02:47:19,0.02211,0.57108
2023-10-24 02:47:20,0.02971,0.63711
2023-10-24 02:47:21,0.02707,0.64097
2023-10-24 02:47:22,0.02547,0.50047
2023-10-24 02:47:23,0.02636,0.45828
2023-10-24 02:47:24,0.02665,0.43270
2023-10-24 02:47:25,0.03273,0.50640
2023-10-24 02:47:26,0.02984,0.46461
2023-10-24 02:47:27,0.02705,0.43049
2023-10-24 02:47:28,0.03565,0.75276
2023-10-24 02:47:29,0.02455,0.66173
2023-10-24 02:47:30,0.02767,0.74881
2023-10-24 02:47:32,0.03818,1.01935
2023-10-24 02:47:33,0.02426,0.63147
2023-10-24 02:47:34,0.02456,0.63171
2023-10-24 02:47:35,0.04325,1.27970
2023-10-24 02:47:36,0.02806,0.83682
2023-10-24 02:47:37,0.03288,1.02130
2023-10-24 02:47:38,0.02017,0.60181
2023-10-24 02:47:39,0.02277,0.67955
2023-10-24 02:47:40,0.02450,0.74330
2023-10-24 02:47:41,0.02594,0.70486
2023-10-24 02:47:42,0.02474,0.70755
2023-10-24 02:47:43,0.03136,1.02007
2023-10-24 02:47:44,0.03066,1.03237
2023-10-24 02:47:45,0.02470,0.74269
2023-10-24 02:47:46,0.02641,0.79095
2023-10-24 02:47:47,0.03839,0.97699
2023-10-24 02:47:48,0.03411,0.90112
2023-10-24 02:47:49,0.03898,1.06242
2023-10-24 02:47:50,0.04688,1.35192
2023-10-24 02:47:51,0.02971,0.87149
2023-10-24 02:47:52,0.02292,0.72410
2023-10-24 02:47:53,0.02389,0.72361
