Date,CPU Utilization,CPU Power
2023-10-26 14:19:15,0.04816,1.11663
2023-10-26 14:19:16,0.07744,1.74208
2023-10-26 14:19:17,0.07302,1.74475
2023-10-26 14:19:18,0.06318,1.79496
2023-10-26 14:19:19,0.03801,1.09814
2023-10-26 14:19:20,0.03279,0.90406
2023-10-26 14:19:21,0.04167,1.12021
2023-10-26 14:19:22,0.03863,0.92595
2023-10-26 14:19:23,0.04563,0.89940
2023-10-26 14:19:24,0.06686,1.10002
2023-10-26 14:19:25,0.06583,1.57739
2023-10-26 14:19:26,0.06729,1.67088
2023-10-26 14:19:27,0.06085,1.57047
2023-10-26 14:19:28,0.08178,1.96587
2023-10-26 14:19:29,0.03948,1.17246
2023-10-26 14:19:30,0.06566,1.69841
2023-10-26 14:19:31,0.08141,1.83266
2023-10-26 14:19:32,0.05518,1.46396
2023-10-26 14:19:33,0.06414,1.81232
2023-10-26 14:19:34,0.06392,1.72550
2023-10-26 14:19:35,0.07420,1.86911
2023-10-26 14:19:36,0.08281,2.01967
2023-10-26 14:19:37,0.07881,2.08423
2023-10-26 14:19:38,0.05405,1.58553
2023-10-26 14:19:39,0.08929,1.91575
2023-10-26 14:19:40,0.05259,1.66097
2023-10-26 14:19:42,0.04581,1.28048
2023-10-26 14:19:43,0.03966,1.23297
2023-10-26 14:19:44,0.07149,1.98707
2023-10-26 14:19:45,0.06726,1.67501
2023-10-26 14:19:46,0.06177,1.65837
2023-10-26 14:19:47,0.05644,1.63945
2023-10-26 14:19:48,0.04114,1.26417
2023-10-26 14:19:49,0.06063,1.72226
2023-10-26 14:19:50,0.06172,1.55202
2023-10-26 14:19:51,0.06318,1.92530
2023-10-26 14:19:52,0.06205,1.56578
2023-10-26 14:19:53,0.08167,1.94218
2023-10-26 14:19:54,0.07605,1.97023
2023-10-26 14:19:55,0.03765,1.18950
2023-10-26 14:19:56,0.07971,1.68993
2023-10-26 14:19:57,0.07090,1.62744
2023-10-26 14:19:58,0.06967,1.45525
2023-10-26 14:19:59,0.06389,1.48595
2023-10-26 14:20:00,0.09398,1.81702
2023-10-26 14:20:01,0.08319,1.47963
2023-10-26 14:20:02,0.07299,1.48607
2023-10-26 14:20:03,0.07603,1.34915
2023-10-26 14:20:04,0.06610,1.19540
2023-10-26 14:20:05,0.06690,1.26187
2023-10-26 14:20:06,0.05504,1.22100
2023-10-26 14:20:07,0.03167,0.94357
2023-10-26 14:20:08,0.03635,1.05255
2023-10-26 14:20:09,0.06250,1.29116
2023-10-26 14:20:10,0.04966,1.08982
2023-10-26 14:20:11,0.03618,0.91303
2023-10-26 14:20:12,0.05676,1.08986
2023-10-26 14:20:13,0.06633,1.38083
2023-10-26 14:20:14,0.07841,1.31750
2023-10-26 14:20:16,0.05419,1.09807
2023-10-26 14:20:17,0.05867,1.15691
2023-10-26 14:20:18,0.03584,0.88518
2023-10-26 14:20:19,0.04424,0.92882
2023-10-26 14:20:20,0.05987,1.31971
2023-10-26 14:20:21,0.05739,1.12646
2023-10-26 14:20:22,0.05517,1.14416
2023-10-26 14:20:23,0.05590,1.09881
2023-10-26 14:20:24,0.06239,1.31805
