Date,CPU Utilization,CPU Power
2023-10-26 16:31:29,0.01365,0.53937
2023-10-26 16:31:30,0.00740,0.29962
2023-10-26 16:31:31,0.00649,0.28422
2023-10-26 16:31:32,0.00988,0.47049
2023-10-26 16:31:33,0.00787,0.44326
2023-10-26 16:31:34,0.00600,0.33403
2023-10-26 16:31:35,0.00515,0.29324
2023-10-26 16:31:36,0.03267,1.08953
2023-10-26 16:31:37,0.01274,0.67666
2023-10-26 16:31:38,0.01888,0.59690
2023-10-26 16:31:39,0.00611,0.23806
2023-10-26 16:31:40,0.00766,0.46658
2023-10-26 16:31:41,0.00594,0.32690
2023-10-26 16:31:42,0.00740,0.44202
2023-10-26 16:31:43,0.00727,0.34826
2023-10-26 16:31:44,0.00610,0.33372
2023-10-26 16:31:45,0.00893,0.46701
2023-10-26 16:31:47,0.00595,0.33181
2023-10-26 16:31:48,0.00595,0.31372
2023-10-26 16:31:49,0.00610,0.31213
2023-10-26 16:31:50,0.00697,0.40361
2023-10-26 16:31:51,0.01036,0.57093
2023-10-26 16:31:52,0.00594,0.34021
2023-10-26 16:31:53,0.00679,0.39732
2023-10-26 16:31:54,0.00682,0.39546
2023-10-26 16:31:55,0.00607,0.32752
2023-10-26 16:31:56,0.00597,0.33092
2023-10-26 16:31:57,0.00679,0.39118
2023-10-26 16:31:58,0.00649,0.35615
2023-10-26 16:31:59,0.00723,0.33665
2023-10-26 16:32:00,0.02394,1.15423
2023-10-26 16:32:01,0.00829,0.32307
2023-10-26 16:32:02,0.00733,0.29459
2023-10-26 16:32:03,0.00730,0.27493
2023-10-26 16:32:04,0.00595,0.17695
2023-10-26 16:32:05,0.00777,0.21498
2023-10-26 16:32:06,0.00775,0.20761
2023-10-26 16:32:07,0.03597,1.20348
2023-10-26 16:32:08,0.04193,1.23231
2023-10-26 16:32:09,0.02292,0.91883
2023-10-26 16:32:11,0.00684,0.40385
2023-10-26 16:32:12,0.04376,1.29893
2023-10-26 16:32:13,0.05290,1.51581
2023-10-26 16:32:14,0.01602,0.55241
2023-10-26 16:32:15,0.00765,0.39213
2023-10-26 16:32:16,0.00718,0.34409
2023-10-26 16:32:17,0.00769,0.37150
2023-10-26 16:32:18,0.00681,0.36919
2023-10-26 16:32:19,0.00631,0.31964
2023-10-26 16:32:20,0.00707,0.40425
2023-10-26 16:32:21,0.00684,0.33905
2023-10-26 16:32:22,0.00623,0.33405
2023-10-26 16:32:23,0.00592,0.29814
2023-10-26 16:32:24,0.00597,0.34521
2023-10-26 16:32:25,0.00710,0.33677
2023-10-26 16:32:26,0.00636,0.32555
2023-10-26 16:32:27,0.00610,0.32240
2023-10-26 16:32:28,0.02414,0.92263
2023-10-26 16:32:29,0.01268,0.58480
2023-10-26 16:32:30,0.00682,0.40304
2023-10-26 16:32:31,0.00912,0.43224
2023-10-26 16:32:32,0.00587,0.30986
2023-10-26 16:32:34,0.00726,0.37316
2023-10-26 16:32:35,0.00646,0.36009
2023-10-26 16:32:36,0.00738,0.38178
2023-10-26 16:32:37,0.00688,0.35347
2023-10-26 16:32:38,0.00614,0.36482
2023-10-26 16:32:39,0.00665,0.27750
2023-10-26 16:32:40,0.01127,0.54095
2023-10-26 16:32:41,0.00855,0.49066
2023-10-26 16:32:42,0.00678,0.33770
2023-10-26 16:32:43,0.00627,0.36410
2023-10-26 16:32:44,0.04731,1.42164
2023-10-26 16:32:45,0.01316,0.57523
2023-10-26 16:32:46,0.00610,0.32426
2023-10-26 16:32:47,0.00696,0.37463
2023-10-26 16:32:48,0.00680,0.37022
2023-10-26 16:32:49,0.03259,1.11382
2023-10-26 16:32:50,0.02310,0.91696
2023-10-26 16:32:51,0.00614,0.34932
2023-10-26 16:32:52,0.00594,0.32812
2023-10-26 16:32:53,0.00592,0.28316
2023-10-26 16:32:54,0.00632,0.33487
2023-10-26 16:32:55,0.02450,0.77092
2023-10-26 16:32:56,0.01233,0.48505
2023-10-26 16:32:58,0.00733,0.29427
2023-10-26 16:32:59,0.00735,0.22468
2023-10-26 16:33:00,0.00637,0.16093
2023-10-26 16:33:01,0.00627,0.17021
2023-10-26 16:33:02,0.00678,0.17315
2023-10-26 16:33:03,0.00511,0.15051
2023-10-26 16:33:04,0.00593,0.15752
2023-10-26 16:33:05,0.00676,0.17303
2023-10-26 16:33:06,0.00615,0.17220
2023-10-26 16:33:07,0.00748,0.22204
2023-10-26 16:33:08,0.00742,0.21794
2023-10-26 16:33:09,0.00644,0.16909
2023-10-26 16:33:10,0.00845,0.21821
2023-10-26 16:33:11,0.00638,0.16003
2023-10-26 16:33:12,0.00529,0.15278
2023-10-26 16:33:13,0.00736,0.20541
2023-10-26 16:33:14,0.00603,0.15775
2023-10-26 16:33:15,0.00644,0.17643
2023-10-26 16:33:16,0.00706,0.17533
2023-10-26 16:33:17,0.00626,0.18094
2023-10-26 16:33:18,0.00829,0.20750
2023-10-26 16:33:20,0.00647,0.17526
2023-10-26 16:33:21,0.00738,0.20563
2023-10-26 16:33:22,0.00624,0.17526
2023-10-26 16:33:23,0.00425,0.13326
2023-10-26 16:33:24,0.00626,0.15466
2023-10-26 16:33:25,0.00683,0.19669
2023-10-26 16:33:26,0.01724,0.43007
2023-10-26 16:33:27,0.05801,1.35807
2023-10-26 16:33:28,0.05101,1.28552
2023-10-26 16:33:29,0.03727,1.12656
2023-10-26 16:33:30,0.04201,1.32153
2023-10-26 16:33:31,0.03822,1.09879
2023-10-26 16:33:32,0.00638,0.29692
2023-10-26 16:33:33,0.00550,0.20488
2023-10-26 16:33:34,0.01638,0.59766
2023-10-26 16:33:35,0.02568,0.99852
2023-10-26 16:33:36,0.00640,0.29811
2023-10-26 16:33:37,0.03616,1.13901
2023-10-26 16:33:38,0.01112,0.57001
2023-10-26 16:33:39,0.05072,1.35519
2023-10-26 16:33:40,0.02580,1.00122
2023-10-26 16:33:41,0.04579,1.31485
2023-10-26 16:33:42,0.03379,1.06995
2023-10-26 16:33:44,0.00637,0.28927
2023-10-26 16:33:45,0.04102,1.23997
2023-10-26 16:33:46,0.02044,0.85557
2023-10-26 16:33:47,0.02470,0.90288
2023-10-26 16:33:48,0.05167,1.38711
2023-10-26 16:33:49,0.03207,1.00814
2023-10-26 16:33:50,0.03755,1.09645
2023-10-26 16:33:51,0.03220,0.94036
2023-10-26 16:33:52,0.03217,0.99540
2023-10-26 16:33:53,0.02233,0.57453
2023-10-26 16:33:54,0.03107,0.61000
2023-10-26 16:33:55,0.03626,0.63317
2023-10-26 16:33:56,0.03223,0.69913
2023-10-26 16:33:57,0.06636,1.64367
2023-10-26 16:33:58,0.03635,1.21629
2023-10-26 16:33:59,0.00665,0.35119
2023-10-26 16:34:00,0.01750,0.75083
2023-10-26 16:34:01,0.00550,0.29827
2023-10-26 16:34:02,0.01825,0.74523
2023-10-26 16:34:03,0.03307,1.08747
2023-10-26 16:34:04,0.02547,1.01499
2023-10-26 16:34:05,0.02458,0.97443
2023-10-26 16:34:06,0.04736,1.47667
2023-10-26 16:34:08,0.03108,1.13409
2023-10-26 16:34:09,0.00643,0.31713
2023-10-26 16:34:10,0.02439,0.93042
2023-10-26 16:34:11,0.01550,0.70888
2023-10-26 16:34:12,0.03918,1.28365
2023-10-26 16:34:13,0.00613,0.33315
2023-10-26 16:34:14,0.00687,0.40091
2023-10-26 16:34:15,0.00598,0.35783
2023-10-26 16:34:16,0.00606,0.32659
2023-10-26 16:34:17,0.00633,0.32690
2023-10-26 16:34:18,0.00643,0.36538
2023-10-26 16:34:19,0.00729,0.38254
2023-10-26 16:34:20,0.00638,0.33535
2023-10-26 16:34:21,0.00748,0.36504
2023-10-26 16:34:22,0.00593,0.32812
2023-10-26 16:34:23,0.00613,0.32721
2023-10-26 16:34:24,0.00602,0.32597
2023-10-26 16:34:25,0.00593,0.32031
2023-10-26 16:34:26,0.00687,0.40320
2023-10-26 16:34:27,0.00718,0.40587
2023-10-26 16:34:28,0.00611,0.35851
2023-10-26 16:34:29,0.00596,0.34756
2023-10-26 16:34:31,0.00614,0.37678
2023-10-26 16:34:32,0.00818,0.41041
2023-10-26 16:34:33,0.00753,0.37118
2023-10-26 16:34:34,0.00638,0.31038
2023-10-26 16:34:35,0.00631,0.31489
2023-10-26 16:34:36,0.00531,0.31143
2023-10-26 16:34:37,0.00513,0.33000
2023-10-26 16:34:38,0.00622,0.33925
2023-10-26 16:34:39,0.00645,0.35581
2023-10-26 16:34:40,0.00770,0.33944
2023-10-26 16:34:41,0.00642,0.29951
2023-10-26 16:34:42,0.00731,0.32180
2023-10-26 16:34:43,0.00601,0.25563
2023-10-26 16:34:44,0.00715,0.27778
2023-10-26 16:34:45,0.00640,0.17618
2023-10-26 16:34:46,0.00596,0.17742
2023-10-26 16:34:47,0.00728,0.17880
2023-10-26 16:34:48,0.00590,0.15284
2023-10-26 16:34:49,0.00727,0.18578
2023-10-26 16:34:50,0.00689,0.18368
2023-10-26 16:34:51,0.00655,0.16163
2023-10-26 16:34:52,0.02099,0.50262
2023-10-26 16:34:53,0.00916,0.45034
2023-10-26 16:34:55,0.03217,1.11111
2023-10-26 16:34:56,0.00640,0.29490
2023-10-26 16:34:57,0.01060,0.47784
2023-10-26 16:34:58,0.05102,1.44552
2023-10-26 16:34:59,0.07206,1.64068
2023-10-26 16:35:00,0.05196,1.69696
2023-10-26 16:35:01,0.06193,1.60589
2023-10-26 16:35:02,0.06266,1.69057
2023-10-26 16:35:03,0.04766,1.27014
2023-10-26 16:35:04,0.06197,1.53239
2023-10-26 16:35:05,0.00628,0.30048
2023-10-26 16:35:06,0.03358,1.04531
2023-10-26 16:35:07,0.05000,1.38893
2023-10-26 16:35:08,0.01408,0.52323
2023-10-26 16:35:09,0.02969,0.99275
2023-10-26 16:35:10,0.00544,0.23958
2023-10-26 16:35:11,0.00606,0.30908
2023-10-26 16:35:12,0.00526,0.27656
2023-10-26 16:35:13,0.01659,0.62380
2023-10-26 16:35:14,0.01972,0.55780
2023-10-26 16:35:15,0.01923,0.58924
2023-10-26 16:35:16,0.01902,0.55466
2023-10-26 16:35:17,0.01920,0.57818
2023-10-26 16:35:18,0.01721,0.51007
2023-10-26 16:35:19,0.01733,0.48590
2023-10-26 16:35:21,0.04939,1.07116
2023-10-26 16:35:22,0.04396,1.14567
2023-10-26 16:35:23,0.04636,1.10304
2023-10-26 16:35:24,0.04853,1.23370
2023-10-26 16:35:25,0.04666,1.15919
2023-10-26 16:35:26,0.05296,1.29609
2023-10-26 16:35:27,0.05484,1.21898
2023-10-26 16:35:28,0.05813,1.33291
2023-10-26 16:35:29,0.03676,1.05925
2023-10-26 16:35:30,0.03470,0.94927
2023-10-26 16:35:31,0.03277,0.98654
2023-10-26 16:35:32,0.06362,1.35660
2023-10-26 16:35:33,0.05221,1.36277
2023-10-26 16:35:34,0.05098,1.39160
2023-10-26 16:35:35,0.03413,1.02352
2023-10-26 16:35:36,0.04823,1.17008
2023-10-26 16:35:37,0.03938,1.14908
2023-10-26 16:35:38,0.02372,0.63982
2023-10-26 16:35:39,0.02004,0.50534
2023-10-26 16:35:40,0.04186,0.88406
2023-10-26 16:35:41,0.01754,0.38393
2023-10-26 16:35:42,0.02703,0.44259
2023-10-26 16:35:43,0.04039,0.70107
2023-10-26 16:35:44,0.04145,0.83163
2023-10-26 16:35:45,0.04858,1.23668
2023-10-26 16:35:46,0.03817,1.06537
2023-10-26 16:35:48,0.02262,0.74893
2023-10-26 16:35:49,0.03490,1.01103
2023-10-26 16:35:50,0.05511,1.37441
2023-10-26 16:35:51,0.01885,0.76989
2023-10-26 16:35:52,0.01770,0.56942
2023-10-26 16:35:53,0.01739,0.56890
2023-10-26 16:35:54,0.01883,0.67044
2023-10-26 16:35:55,0.01914,0.62968
2023-10-26 16:35:56,0.01673,0.61905
2023-10-26 16:35:57,0.01634,0.53223
2023-10-26 16:35:58,0.01825,0.65891
2023-10-26 16:35:59,0.01767,0.61594
2023-10-26 16:36:00,0.04545,1.16045
2023-10-26 16:36:01,0.02884,0.98131
2023-10-26 16:36:02,0.01840,0.64032
2023-10-26 16:36:03,0.01927,0.63025
2023-10-26 16:36:04,0.01918,0.61481
2023-10-26 16:36:05,0.01759,0.62789
2023-10-26 16:36:06,0.01940,0.69584
2023-10-26 16:36:07,0.04880,1.27228
2023-10-26 16:36:08,0.05313,1.35071
2023-10-26 16:36:09,0.05175,1.25700
2023-10-26 16:36:10,0.05162,1.30133
2023-10-26 16:36:11,0.02234,0.71621
2023-10-26 16:36:13,0.02107,0.68065
2023-10-26 16:36:14,0.07222,1.61839
2023-10-26 16:36:15,0.05282,1.26563
2023-10-26 16:36:16,0.07233,1.50867
2023-10-26 16:36:17,0.03276,0.98263
2023-10-26 16:36:18,0.02393,0.73794
2023-10-26 16:36:19,0.03330,0.95093
