Date,CPU Utilization,CPU Power
2023-10-24 21:59:17,0.11148,3.92839
2023-10-24 21:59:18,0.12300,3.95654
2023-10-24 21:59:19,0.02437,2.01399
2023-10-24 21:59:20,0.00520,0.92231
2023-10-24 21:59:21,0.01655,1.27142
2023-10-24 21:59:22,0.00340,1.61406
2023-10-24 21:59:23,0.00924,1.19408
2023-10-24 21:59:24,0.00363,0.91319
2023-10-24 21:59:25,0.00599,0.62475
2023-10-24 21:59:26,0.01173,2.65732
2023-10-24 21:59:27,0.00183,2.03418
2023-10-24 21:59:28,0.00092,0.58343
2023-10-24 21:59:29,0.05314,2.33669
2023-10-24 21:59:30,0.00419,1.85902
2023-10-24 21:59:31,0.01270,0.97390
2023-10-24 21:59:32,0.00084,0.67448
2023-10-24 21:59:33,0.00084,1.34701
2023-10-24 21:59:34,0.00084,0.37092
2023-10-24 21:59:35,0.00000,0.00000
