Date,CPU Utilization,CPU Power
2023-10-23 18:10:37,0.07191,2.62852
2023-10-23 18:10:38,0.06197,2.33917
2023-10-23 18:10:39,0.07353,2.17059
2023-10-23 18:10:40,0.08333,2.34375
2023-10-23 18:10:41,0.09132,2.06455
2023-10-23 18:10:42,0.08105,1.71653
2023-10-23 18:10:43,0.06124,1.49878
2023-10-23 18:10:44,0.06723,1.43153
2023-10-23 18:10:45,0.06864,1.52427
2023-10-23 18:10:46,0.07956,1.47461
2023-10-23 18:10:47,0.07594,1.51659
2023-10-23 18:10:48,0.06731,1.46364
2023-10-23 18:10:50,0.06566,1.41202
2023-10-23 18:10:51,0.06481,1.14810
2023-10-23 18:10:52,0.06588,1.51353
2023-10-23 18:10:53,0.07130,1.53801
2023-10-23 18:10:54,0.09006,1.66552
2023-10-23 18:10:55,0.08167,1.50376
2023-10-23 18:10:56,0.08142,1.41113
2023-10-23 18:10:57,0.06803,1.57800
2023-10-23 18:10:58,0.07317,1.52200
2023-10-23 18:10:59,0.06799,1.42283
2023-10-23 18:11:00,0.06566,1.34715
2023-10-23 18:11:01,0.07156,1.51960
2023-10-23 18:11:02,0.09848,1.69511
2023-10-23 18:11:03,0.09247,1.56685
2023-10-23 18:11:04,0.07839,1.61745
2023-10-23 18:11:05,0.07650,1.65961
2023-10-23 18:11:06,0.07533,1.54234
2023-10-23 18:11:07,0.07646,1.55544
2023-10-23 18:11:08,0.07143,1.54724
2023-10-23 18:11:09,0.06858,1.48125
2023-10-23 18:11:10,0.07545,1.47350
2023-10-23 18:11:11,0.07528,1.48954
2023-10-23 18:11:13,0.06949,1.45554
2023-10-23 18:11:14,0.07143,1.52957
2023-10-23 18:11:15,0.07292,1.57500
2023-10-23 18:11:16,0.07629,1.66741
2023-10-23 18:11:17,0.07678,1.55795
2023-10-23 18:11:18,0.07373,1.43596
2023-10-23 18:11:19,0.07119,1.58550
2023-10-23 18:11:20,0.07082,1.51302
2023-10-23 18:11:21,0.07473,1.58288
2023-10-23 18:11:22,0.07203,1.48423
2023-10-23 18:11:23,0.06937,1.45814
2023-10-23 18:11:24,0.07738,1.60629
2023-10-23 18:11:25,0.07373,1.69650
2023-10-23 18:11:26,0.07831,1.52673
2023-10-23 18:11:27,0.08470,1.61897
2023-10-23 18:11:28,0.06810,1.44577
2023-10-23 18:11:29,0.06757,1.48868
2023-10-23 18:11:30,0.06899,1.50729
2023-10-23 18:11:31,0.07860,1.58710
2023-10-23 18:11:32,0.07518,1.59737
2023-10-23 18:11:33,0.06633,1.42734
2023-10-23 18:11:34,0.07276,1.50799
2023-10-23 18:11:35,0.06973,1.54309
2023-10-23 18:11:36,0.07168,1.77494
2023-10-23 18:11:38,0.07843,1.54174
2023-10-23 18:11:39,0.06706,1.45549
2023-10-23 18:11:40,0.07119,1.54834
2023-10-23 18:11:41,0.06684,1.43054
2023-10-23 18:11:42,0.07719,1.58818
2023-10-23 18:11:43,0.07404,1.74944
2023-10-23 18:11:44,0.09363,1.67274
2023-10-23 18:11:45,0.06117,1.38053
2023-10-23 18:11:46,0.06960,1.54662
2023-10-23 18:11:47,0.07658,1.45578
2023-10-23 18:11:48,0.07326,1.41880
2023-10-23 18:11:49,0.06207,1.49596
2023-10-23 18:11:50,0.06367,1.54314
2023-10-23 18:11:51,0.07517,1.50301
2023-10-23 18:11:52,0.07216,1.57552
2023-10-23 18:11:53,0.07500,1.58288
2023-10-23 18:11:54,0.06503,1.49651
2023-10-23 18:11:55,0.06973,1.50897
2023-10-23 18:11:56,0.07046,1.53564
2023-10-23 18:11:57,0.07179,1.42986
2023-10-23 18:11:58,0.08219,1.64336
2023-10-23 18:12:00,0.07384,1.46752
2023-10-23 18:12:01,0.06621,1.44965
2023-10-23 18:12:02,0.06830,1.43215
2023-10-23 18:12:03,0.06961,1.53237
2023-10-23 18:12:04,0.06379,1.59647
2023-10-23 18:12:05,0.06667,1.51569
2023-10-23 18:12:06,0.07420,1.58288
2023-10-23 18:12:07,0.07107,1.47901
2023-10-23 18:12:08,0.07083,1.35045
2023-10-23 18:12:09,0.07277,1.71790
2023-10-23 18:12:10,0.07281,1.64582
2023-10-23 18:12:11,0.07358,1.49189
2023-10-23 18:12:12,0.07308,1.57552
2023-10-23 18:12:13,0.07492,1.47199
2023-10-23 18:12:14,0.06997,1.53494
2023-10-23 18:12:15,0.07632,1.67781
2023-10-23 18:12:16,0.07168,1.53455
2023-10-23 18:12:17,0.07755,1.55117
2023-10-23 18:12:18,0.06541,1.49345
2023-10-23 18:12:19,0.07107,1.53809
2023-10-23 18:12:20,0.07306,1.57628
2023-10-23 18:12:21,0.07210,1.62000
2023-10-23 18:12:22,0.07644,1.50288
2023-10-23 18:12:24,0.06983,1.44036
2023-10-23 18:12:25,0.07664,1.54578
2023-10-23 18:12:26,0.07847,1.49690
2023-10-23 18:12:27,0.07616,1.64918
2023-10-23 18:12:28,0.07313,1.54980
2023-10-23 18:12:29,0.06667,1.53425
2023-10-23 18:12:30,0.06644,1.63129
2023-10-23 18:12:31,0.06961,1.51962
2023-10-23 18:12:32,0.07143,1.52920
2023-10-23 18:12:33,0.07117,1.44886
2023-10-23 18:12:34,0.07104,1.44090
2023-10-23 18:12:35,0.06678,1.47956
2023-10-23 18:12:36,0.07143,1.60957
2023-10-23 18:12:37,0.07260,1.46484
2023-10-23 18:12:38,0.08230,1.65217
2023-10-23 18:12:39,0.08511,1.47529
2023-10-23 18:12:40,0.08155,1.61928
2023-10-23 18:12:41,0.06140,1.36943
2023-10-23 18:12:42,0.06604,1.45054
2023-10-23 18:12:43,0.06787,1.74197
2023-10-23 18:12:44,0.06944,1.51042
2023-10-23 18:12:45,0.10023,1.54735
2023-10-23 18:12:46,0.07749,1.58288
2023-10-23 18:12:48,0.06818,1.40966
2023-10-23 18:12:49,0.07143,1.58994
2023-10-23 18:12:50,0.06947,1.55373
2023-10-23 18:12:51,0.07206,1.38341
2023-10-23 18:12:52,0.06250,1.35553
2023-10-23 18:12:53,0.06104,1.36719
2023-10-23 18:12:54,0.05952,1.38191
2023-10-23 18:12:55,0.07295,1.56771
2023-10-23 18:12:56,0.07863,1.58854
2023-10-23 18:12:57,0.07860,1.61306
2023-10-23 18:12:58,0.07642,1.43453
2023-10-23 18:12:59,0.08059,1.56109
2023-10-23 18:13:00,0.07288,1.56082
2023-10-23 18:13:01,0.06729,1.34760
2023-10-23 18:13:02,0.07841,1.54193
2023-10-23 18:13:03,0.07744,1.45547
2023-10-23 18:13:04,0.06633,1.52600
2023-10-23 18:13:05,0.07554,1.58241
2023-10-23 18:13:06,0.07212,1.43927
2023-10-23 18:13:07,0.07464,1.58419
2023-10-23 18:13:08,0.07167,1.53211
2023-10-23 18:13:09,0.07384,1.45415
2023-10-23 18:13:10,0.07240,1.43799
2023-10-23 18:13:11,0.07204,1.49645
2023-10-23 18:13:13,0.07910,1.55090
2023-10-23 18:13:14,0.06961,1.43184
2023-10-23 18:13:15,0.06650,1.30127
2023-10-23 18:13:16,0.08098,1.46881
2023-10-23 18:13:17,0.08116,1.38007
2023-10-23 18:13:18,0.07472,1.34085
2023-10-23 18:13:19,0.07031,1.47166
2023-10-23 18:13:20,0.07302,1.45264
2023-10-23 18:13:21,0.07552,1.64396
2023-10-23 18:13:22,0.07028,1.63957
2023-10-23 18:13:23,0.06866,1.47225
2023-10-23 18:13:24,0.07182,1.44905
2023-10-23 18:13:25,0.06706,1.41071
2023-10-23 18:13:26,0.07313,1.66625
2023-10-23 18:13:27,0.06853,1.45357
2023-10-23 18:13:28,0.07505,1.39877
2023-10-23 18:13:29,0.07414,1.38727
2023-10-23 18:13:30,0.07034,1.45898
2023-10-23 18:13:31,0.06949,1.54473
2023-10-23 18:13:32,0.07192,1.48032
2023-10-23 18:13:33,0.06826,1.34795
2023-10-23 18:13:34,0.06620,1.42076
2023-10-23 18:13:35,0.07948,1.71762
2023-10-23 18:13:36,0.07105,1.51210
2023-10-23 18:13:38,0.07106,1.42176
2023-10-23 18:13:39,0.07232,1.50293
2023-10-23 18:13:40,0.07535,1.64095
2023-10-23 18:13:41,0.06338,1.38825
2023-10-23 18:13:42,0.08039,1.53547
2023-10-23 18:13:43,0.07224,1.55859
2023-10-23 18:13:44,0.08254,1.62853
2023-10-23 18:13:45,0.08232,1.46430
2023-10-23 18:13:46,0.07155,1.54631
2023-10-23 18:13:47,0.06981,1.40977
2023-10-23 18:13:48,0.06842,1.45146
2023-10-23 18:13:49,0.06846,1.63771
2023-10-23 18:13:50,0.07974,1.50537
2023-10-23 18:13:51,0.07656,1.48637
2023-10-23 18:13:52,0.06911,1.65907
2023-10-23 18:13:53,0.07313,1.58594
2023-10-23 18:13:54,0.07391,1.45508
2023-10-23 18:13:55,0.07937,1.55225
2023-10-23 18:13:56,0.07813,1.48918
2023-10-23 18:13:57,0.07339,1.62985
2023-10-23 18:13:58,0.07118,1.56250
2023-10-23 18:13:59,0.07418,1.56917
