Date,CPU Utilization,CPU Power
2023-10-23 02:56:53,0.00334,1.02292
2023-10-23 02:56:54,0.03975,1.70080
2023-10-23 02:56:55,0.01186,1.54375
2023-10-23 02:56:56,0.00336,0.79112
2023-10-23 02:56:57,0.05490,3.10524
2023-10-23 02:56:58,0.11326,3.74574
2023-10-23 02:56:59,0.00758,0.71819
2023-10-23 02:57:00,0.00084,0.04582
2023-10-23 02:57:01,0.00168,0.22422
2023-10-23 02:57:02,0.00337,0.10210
2023-10-23 02:57:03,0.00084,0.06738
2023-10-23 02:57:04,0.00084,0.02423
2023-10-23 02:57:05,0.08725,2.90380
2023-10-23 02:57:06,0.03185,1.70156
2023-10-23 02:57:07,0.04527,1.84539
2023-10-23 02:57:08,0.04883,1.62540
2023-10-23 02:57:09,0.02654,2.48708
2023-10-23 02:57:10,0.08305,2.99473
2023-10-23 02:57:11,0.05717,3.20321
2023-10-23 02:57:12,0.00084,0.24561
2023-10-23 02:57:13,0.00084,0.98438
2023-10-23 02:57:14,0.00167,0.78594
2023-10-23 02:57:15,0.00084,0.21832
2023-10-23 02:57:16,0.00336,0.88715
2023-10-23 02:57:17,0.00087,0.32747
