Date,CPU Utilization,CPU Power
2023-10-23 02:44:15,0.01182,2.05758
2023-10-23 02:44:16,0.01400,1.40199
2023-10-23 02:44:17,0.02027,2.81392
2023-10-23 02:44:18,0.00093,0.35482
2023-10-23 02:44:19,0.09941,4.56861
2023-10-23 02:44:20,0.03484,2.57521
2023-10-23 02:44:21,0.07044,2.22922
2023-10-23 02:44:22,0.06098,1.83482
2023-10-23 02:44:23,0.06132,2.12086
2023-10-23 02:44:24,0.07865,2.39658
2023-10-23 02:44:25,0.05423,2.20262
2023-10-23 02:44:26,0.06731,2.11790
2023-10-23 02:44:27,0.10593,2.14844
2023-10-23 02:44:28,0.11000,2.77899
2023-10-23 02:44:29,0.08265,2.63939
2023-10-23 02:44:30,0.08914,2.84881
2023-10-23 02:44:31,0.06506,2.23722
2023-10-23 02:44:32,0.07056,2.50808
2023-10-23 02:44:33,0.06861,2.25959
2023-10-23 02:44:34,0.06158,2.04243
2023-10-23 02:44:35,0.08523,2.28221
2023-10-23 02:44:36,0.06550,1.95024
2023-10-23 02:44:37,0.07212,1.91483
2023-10-23 02:44:39,0.09108,2.92800
2023-10-23 02:44:40,0.10755,3.09492
2023-10-23 02:44:41,0.00304,0.26863
