Date,CPU Utilization,CPU Power
2023-10-23 04:46:32,0.04322,1.67578
2023-10-23 04:46:33,0.03898,1.39917
2023-10-23 04:46:34,0.04068,1.60326
2023-10-23 04:46:35,0.04223,1.59505
2023-10-23 04:46:36,0.04281,1.46361
2023-10-23 04:46:37,0.04471,1.40987
2023-10-23 04:46:38,0.03866,1.56605
2023-10-23 04:46:39,0.04252,1.80432
2023-10-23 04:46:40,0.04181,1.51573
2023-10-23 04:46:41,0.04613,1.68139
2023-10-23 04:46:42,0.04396,1.50000
2023-10-23 04:46:43,0.04348,1.51520
2023-10-23 04:46:44,0.04139,1.48651
2023-10-23 04:46:45,0.04110,1.60179
2023-10-23 04:46:46,0.03885,1.47196
2023-10-23 04:46:47,0.04397,1.75431
2023-10-23 04:46:48,0.04195,1.52608
2023-10-23 04:46:49,0.04310,1.60651
2023-10-23 04:46:50,0.04138,1.64773
2023-10-23 04:46:51,0.04096,1.44572
2023-10-23 04:46:52,0.04320,1.73103
2023-10-23 04:46:53,0.04504,1.57978
2023-10-23 04:46:54,0.04181,1.31759
2023-10-23 04:46:55,0.03674,1.13972
2023-10-23 04:46:56,0.04307,1.51096
2023-10-23 04:46:58,0.04286,1.37500
2023-10-23 04:46:59,0.04153,1.65124
2023-10-23 04:47:00,0.04670,1.71501
2023-10-23 04:47:01,0.04313,1.62132
2023-10-23 04:47:02,0.04225,1.42105
2023-10-23 04:47:03,0.04195,1.63821
2023-10-23 04:47:04,0.04927,1.65375
2023-10-23 04:47:05,0.04198,1.45577
2023-10-23 04:47:06,0.04396,1.38750
2023-10-23 04:47:07,0.04451,1.53081
2023-10-23 04:47:08,0.03716,1.21512
2023-10-23 04:47:09,0.04068,1.67614
2023-10-23 04:47:10,0.04153,1.54720
2023-10-23 04:47:11,0.04464,1.65874
2023-10-23 04:47:12,0.04313,1.62557
2023-10-23 04:47:13,0.04359,1.52608
2023-10-23 04:47:14,0.04428,1.55282
2023-10-23 04:47:15,0.04121,1.66295
2023-10-23 04:47:16,0.04273,1.56454
2023-10-23 04:47:17,0.03943,1.42958
2023-10-23 04:47:18,0.04054,1.50514
2023-10-23 04:47:19,0.03378,1.29709
2023-10-23 04:47:20,0.04167,1.61447
