Date,CPU Utilization,CPU Power
2023-10-23 14:36:30,0.10136,3.57992
2023-10-23 14:36:31,0.09343,3.10304
2023-10-23 14:36:32,0.09811,3.55482
2023-10-23 14:36:33,0.08441,3.64948
2023-10-23 14:36:34,0.09099,3.40336
2023-10-23 14:36:35,0.09511,3.13726
2023-10-23 14:36:37,0.08729,2.77835
2023-10-23 14:36:38,0.08923,2.63835
2023-10-23 14:36:39,0.09908,2.34397
2023-10-23 14:36:40,0.09362,2.20210
2023-10-23 14:36:41,0.09683,1.94621
2023-10-23 14:36:42,0.09375,1.58501
2023-10-23 14:36:43,0.08662,1.57586
2023-10-23 14:36:44,0.08915,1.44700
2023-10-23 14:36:45,0.09060,1.46077
2023-10-23 14:36:46,0.07866,1.38883
2023-10-23 14:36:47,0.08369,1.51086
2023-10-23 14:36:48,0.07990,1.47436
2023-10-23 14:36:49,0.08333,1.53861
2023-10-23 14:36:50,0.08814,1.60927
2023-10-23 14:36:51,0.07282,1.55694
2023-10-23 14:36:52,0.07541,1.55833
2023-10-23 14:36:53,0.07653,1.54089
2023-10-23 14:36:54,0.07797,1.53773
2023-10-23 14:36:55,0.08242,1.54730
2023-10-23 14:36:56,0.08663,1.53779
2023-10-23 14:36:57,0.08460,1.58420
2023-10-23 14:36:58,0.08262,1.65341
2023-10-23 14:37:00,0.07528,1.41345
2023-10-23 14:37:01,0.07904,1.59941
2023-10-23 14:37:02,0.09035,1.53666
2023-10-23 14:37:03,0.08786,1.56663
2023-10-23 14:37:04,0.08688,1.65142
2023-10-23 14:37:05,0.09372,1.52299
2023-10-23 14:37:06,0.07311,1.47427
2023-10-23 14:37:07,0.08735,1.52358
2023-10-23 14:37:08,0.08399,1.61577
2023-10-23 14:37:09,0.08637,1.60390
2023-10-23 14:37:10,0.08234,1.75175
2023-10-23 14:37:11,0.08139,1.69824
2023-10-23 14:37:12,0.08640,1.61631
2023-10-23 14:37:13,0.08766,1.61823
2023-10-23 14:37:14,0.08913,1.66877
2023-10-23 14:37:15,0.09545,1.73681
2023-10-23 14:37:16,0.09645,1.82740
2023-10-23 14:37:17,0.10127,1.75928
2023-10-23 14:37:18,0.08270,1.71619
2023-10-23 14:37:19,0.08844,1.76269
2023-10-23 14:37:20,0.08997,1.60243
2023-10-23 14:37:21,0.08440,1.57538
2023-10-23 14:37:23,0.08542,1.73964
2023-10-23 14:37:24,0.08577,1.74014
2023-10-23 14:37:25,0.08974,1.60398
2023-10-23 14:37:26,0.08514,1.59790
2023-10-23 14:37:27,0.08462,1.62575
2023-10-23 14:37:28,0.09100,1.54127
2023-10-23 14:37:29,0.07948,1.44955
2023-10-23 14:37:30,0.08433,1.54651
2023-10-23 14:37:31,0.08499,1.51915
2023-10-23 14:37:32,0.08325,1.45793
2023-10-23 14:37:33,0.08091,1.51737
2023-10-23 14:37:34,0.08390,1.58528
