Date,CPU Utilization,CPU Power
2023-10-23 03:54:20,0.02618,1.27373
2023-10-23 03:54:21,0.00646,0.27819
2023-10-23 03:54:22,0.00643,0.33097
2023-10-23 03:54:23,0.00276,0.12878
2023-10-23 03:54:24,0.00760,0.30882
2023-10-23 03:54:25,0.00181,0.06677
2023-10-23 03:54:26,0.01027,0.47736
2023-10-23 03:54:27,0.04412,3.51483
2023-10-23 03:54:29,0.00547,0.97321
2023-10-23 03:54:30,0.00179,0.21321
2023-10-23 03:54:31,0.00201,1.03125
2023-10-23 03:54:32,0.00299,0.94754
2023-10-23 03:54:33,0.00091,0.31362
2023-10-23 03:54:34,0.00182,0.16016
2023-10-23 03:54:35,0.00364,0.50735
2023-10-23 03:54:36,0.00362,0.29957
2023-10-23 03:54:37,0.00092,0.22917
2023-10-23 03:54:38,0.02957,1.41104
2023-10-23 03:54:39,0.03069,1.54755
2023-10-23 03:54:40,0.01075,1.35268
2023-10-23 03:54:41,0.00262,1.29167
2023-10-23 03:54:42,0.00272,1.44141
2023-10-23 03:54:43,0.00194,0.64974
2023-10-23 03:54:44,0.00172,0.70455
2023-10-23 03:54:45,0.00365,2.57292
