Date,CPU Utilization,CPU Power
2023-10-23 03:38:11,0.00168,0.09424
2023-10-23 03:38:12,0.00171,0.08880
2023-10-23 03:38:13,0.00253,0.09390
2023-10-23 03:38:14,0.00256,0.14139
2023-10-23 03:38:15,0.00339,0.24306
2023-10-23 03:38:16,0.00182,1.40885
2023-10-23 03:38:17,0.01000,1.37009
2023-10-23 03:38:18,0.08624,4.91237
2023-10-23 03:38:19,0.03704,4.15937
2023-10-23 03:38:20,0.00267,0.44208
2023-10-23 03:38:21,0.00085,0.84219
2023-10-23 03:38:22,0.00285,1.59375
2023-10-23 03:38:23,0.00182,0.76989
2023-10-23 03:38:24,0.00091,0.38494
2023-10-23 03:38:25,0.00182,0.30469
2023-10-23 03:38:26,0.00346,0.74321
2023-10-23 03:38:27,0.00282,3.17578
2023-10-23 03:38:28,0.03125,1.69010
2023-10-23 03:38:29,0.02885,1.45267
2023-10-23 03:38:31,0.01148,1.57986
2023-10-23 03:38:32,0.00274,2.12500
2023-10-23 03:38:33,0.00174,0.76705
2023-10-23 03:38:34,0.00182,1.05859
2023-10-23 03:38:35,0.00262,1.15270
2023-10-23 03:38:36,0.00274,2.13281
